BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSOIN;ADMIN;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2024;030785430;030009088;9999;1;1;18.41;20.41;2;22.3;14.7;21.2;20.2;;;;80.4;;1;1;14.16;2.7;118.67
Q24;2024;040000036;040780132;2000;0.36;;1.27;1.63;0.58;4.5;;3.21;6.04;;;0.45;14.78;;;;0.32;1.04;17.77
Q24;2024;040000036;040780132;2100;0.12;;0.43;0.55;0.28;1.5;;1.04;2;;;0.16;4.98;;;;0.12;0.38;6.03
Q24;2024;040000036;040780132;2400;0.24;;0.84;1.08;0.3;3;;2.17;4.04;;;0.29;9.8;;;;0.2;0.66;11.74
Q24;2024;040000036;040780132;9999;0.36;;1.27;1.63;0.58;4.5;;3.21;6.04;;;0.45;14.78;;;;0.32;1.04;17.77
Q24;2024;040000044;040780140;1000;;;1.43;1.43;;;;;;;;;;;;;;0.52;1.95
Q24;2024;040000044;040780140;2000;;;;;0.11;3;;1.81;1.79;;;;6.71;;;;;;6.71
Q24;2024;040000044;040780140;2100;;;;;0.05;1.32;;0.8;0.79;;;;2.96;;;;;;2.96
Q24;2024;040000044;040780140;2400;;;;;0.06;1.68;;1.01;1;;;;3.75;;;;;;3.75
Q24;2024;040000044;040780140;9999;;;1.43;1.43;0.11;3;;1.81;1.79;;;;6.71;;;;;0.52;8.66
Q24;2024;040000069;040780215;1000;;;0.01;0.01;;0.22;;1.08;0.23;0.06;;0.17;1.76;;;;;;1.77
Q24;2024;040000069;040780215;2000;;;2.44;2.44;0.94;13.36;;20.46;9.21;0.8;;14.28;59.05;;;;;2.4;63.89
Q24;2024;040000069;040780215;2100;;;;;;0.25;;;;;;6.3;6.55;;;;;;6.55
Q24;2024;040000069;040780215;2400;;;2.44;2.44;0.94;13.11;;20.46;9.21;0.8;;7.98;52.5;;;;;2.4;57.34
Q24;2024;040000069;040780215;9999;;;2.45;2.45;0.94;13.58;;21.54;9.44;0.86;;14.45;60.81;;;;;2.4;65.66
Q24;2024;040000093;040780215;1000;6.57;0.73;46.25;53.55;4.43;23.41;3.53;30.01;27.25;2.28;0.34;5.7;96.95;2.39;3.77;6.16;4.18;69.62;230.46
Q24;2024;040000093;040780215;2000;;;32.19;32.19;8.58;149.56;27.4;115.85;51.94;3.74;20.02;6.48;383.57;0.11;1.5;1.61;15.83;2.43;435.63
Q24;2024;040000093;040780215;2100;;;32.19;32.19;8.58;149.56;27.4;115.85;51.94;3.74;20.02;6.48;383.57;0.11;1.5;1.61;15.83;2.43;435.63
Q24;2024;040000093;040780215;9999;6.57;0.73;78.44;85.74;13.01;172.97;30.93;145.86;79.19;6.02;20.36;12.18;480.52;2.5;5.27;7.77;20.01;72.05;666.09
Q24;2024;040000119;040780231;1000;1;;2;3;;;;;;;;;;;;;;16.5;19.5
Q24;2024;040000119;040780231;2000;;;1;1;1.16;9.5;;6;3;;;1.71;21.37;;;;1.25;;23.62
Q24;2024;040000119;040780231;2100;;;0.8;0.8;0.93;4.8;;2.13;2;;;;9.86;;;;0.12;;10.78
Q24;2024;040000119;040780231;2400;;;0.2;0.2;0.23;4.7;;3.87;1;;;1.71;11.51;;;;1.13;;12.84
Q24;2024;040000119;040780231;9999;1;;3;4;1.16;9.5;;6;3;;;1.71;21.37;;;;1.25;16.5;43.12
Q24;2024;040000127;040780249;1000;0.2;;0.8;1;;;;;;;;;;;;;;0.32;1.32
Q24;2024;040000127;040780249;2000;;;;;0.1;1;;5.38;1.58;;;;8.06;;;;;;8.06
Q24;2024;040000127;040780249;2100;;;;;0.1;1;;5.38;1.58;;;;8.06;;;;;;8.06
Q24;2024;040000127;040780249;9999;0.2;;0.8;1;0.1;1;;5.38;1.58;;;;8.06;;;;;0.32;9.38
Q24;2024;040000135;050002948;1000;;;5.16;5.16;;4.49;;2.24;3.19;;0.03;0.06;10.01;;;;0.47;18.3;33.94
Q24;2024;040000135;050002948;2000;;;11.26;11.26;1.45;35.95;1.69;33.42;13.61;;0.37;2.99;89.48;0.26;;0.26;17.73;7.17;125.9
Q24;2024;040000135;050002948;2100;;;10.16;10.16;1.42;26.78;1.69;23.51;8.91;;0.37;2.23;64.91;0.13;;0.13;17.73;7.17;100.1
Q24;2024;040000135;050002948;2400;;;1.1;1.1;0.03;9.17;;9.91;4.7;;;0.76;24.57;0.13;;0.13;;;25.8
Q24;2024;040000135;050002948;9999;;;16.42;16.42;1.45;40.44;1.69;35.66;16.8;;0.4;3.05;99.49;0.26;;0.26;18.2;25.47;159.84
Q24;2024;040000911;040788879;1000;5.9;0.57;54.57;61.04;5.47;22.45;1.09;14.62;10.16;1.32;0.18;4.05;59.34;0.11;1.59;1.7;1.39;112.05;235.52
Q24;2024;040000911;040788879;2000;;;68.74;68.74;17.56;283.37;15.96;140.24;57.55;42.66;10.21;12.16;579.71;21.8;10.71;32.51;28.13;16.44;725.53
Q24;2024;040000911;040788879;2100;;;52.83;52.83;5.15;139.06;13.71;93.6;31.82;5.81;10.21;2.92;302.28;0.2;2.44;2.64;27.67;15.44;400.86
Q24;2024;040000911;040788879;2200;;;15.91;15.91;12.41;144.31;2.25;46.64;25.73;36.85;;9.24;277.43;21.6;8.27;29.87;0.46;1;324.67
