"FI";"FI_EJ";"AN";"LIT_MED";"LIT_CHI";"LIT_OBS";"LIT_MCO";"SEJHC_MED";"SEJHC_CHI";"SEJHC_OBS";"SEJHC_MCO";"JOU_MED";"JOU_CHI";"JOU_OBS";"JOU_MCO";"PLA_MED";"PLA_CHI";"PLA_OBS";"PLA_MCO";"SEJHP_MED";"SEJHP_CHI";"SEJHP_OBS";"SEJHP_MCO";"SEANCES_MED";"SPED";"UGER";"UNV";"USURV";"CAP_HC_GEN";"CAP_HC_INF";"CAP_HC_PEN";"CAP_HC_TOT";"SEJ_HTP_GEN";"SEJ_HTP_INF";"SEJ_HTP_PEN";"SEJ_HTP_TOT";"CAP_HDJ_GEN";"CAP_HDJ_INF";"CAP_HDJ_PEN";"CAP_HDJ_TOT";"VEN_HDJ_GEN";"VEN_HDJ_INF";"VEN_HDJ_PEN";"VEN_HDJ_TOT";"CAP_HDN_GEN";"CAP_HDN_INF";"CAP_HDN_TOT";"VEN_HDN_GEN";"VEN_HDN_INF";"VEN_HDN_TOT";"NB_CATTP_GEN";"NB_CATTP_INF";"NB_CATTP_TOT";"ACT_CATTP_GEN";"ACT_CATTP_INF";"ACT_CATTP_TOT";"NB_CMP_CONSULT_GEN";"NB_CMP_CONSULT_INF";"NB_CMP_CONSULT_TOT";"ACT_CMP_CONSULT_GEN";"ACT_CMP_CONSULT_INF";"ACT_CMP_CONSULT_TOT";"FIL_AMB_GEN";"FIL_AMB_INF";"FIL_AMB_PEN";"FIL_AMB_TOT";"FIL_TOT_GEN";"FIL_TOT_INF";"FIL_TOT_PEN";"FIL_TOT_TOT";"NB_USMP_1";"ACT_PEN";"NB_UHSA";"NB_SMPR";"NB_USMP_2";"LIT_SSR";"SEJHC_SSR";"JOUHC_SSR";"PLA_SSR";"JOUHP_SSR";"LIT_USLD";"ENT";"JOU_USLD";"PLATOT_HAD";"SEJ_HAD";"JOU_HAD";"FIL_HAD";"AUTGEN";"PASSU_GEN";"AUTPED";"PASSU_PED";"GEN";"PED";"ANT";"SAMU";"REA";"SEJ_REASI";"SEJ_SURV";"CPPR";"TYPE1";"SEJACC";"TYPE2";"SEJ_NEO";"TYPE3";"SEJ_REA";"TRT_HEMO_CENTRE";"SEAN_HEMO_CENTRE";"TRT_INSUFF_REN";"SEM_TRT_INSUFF_REN";"CHIMIO";"SEAN_CHIMIO";"RTH";"SEAN_RADIO";"CHIRCAR";"CARDIO_INT";"NEUROCHIR";"NEURO_INT";"GREFFE";"AMP";"PRIS";"EFFSAL_SPEMED";"EFFSAL_DT_MEDGEN";"EFFSAL_DT_URG";"EFFSAL_DT_ANESTREA";"EFFSAL_SPECHI";"EFFSAL_DT_GYNOBS";"EFFSAL_PSY";"EFFSAL_ODON";"EFFSAL_PHARMA";"EFFSAL_AUT";"EFFSAL_TOT";"EFFLIB_SPEMED";"EFFLIB_DT_MEDGEN";"EFFLIB_DT_URG";"EFFLIB_DT_ANESTREA";"EFFLIB_SPECHI";"EFFLIB_DT_GYNOBS";"EFFLIB_PSY";"EFFLIB_ODON";"EFFLIB_PHARMA";"EFFLIB_AUT";"EFFLIB_TOT";"ETPSAL_SPEMED";"ETPSAL_DT_MEDGEN";"ETPSAL_DT_URG";"ETPSAL_DT_ANESTREA";"ETPSAL_SPECHI";"ETPSAL_DT_GYNOBS";"ETPSAL_PSY";"ETPSAL_ODON";"ETPSAL_PHARMA";"ETPSAL_AUT";"ETPSAL_TOT";"EFF_INT";"ETP_INT";"EFFPNM_SAG";"EFFPNM_CAD";"EFFPNM_INFAVECSPE";"EFFPNM_INFSANSSPE";"EFFPNM_AID";"EFFPNM_ASH";"EFFPNM_PSYCHO";"EFFPNM_REEDU";"EFFPNM_SOINS";"EFFPNM_DIR";"EFFPNM_DIRSOI";"EFFPNM_AUTADM";"EFFPNM_EDU";"EFFPNM_DTSOC";"EFFPNM_PERSPHARMA";"EFFPNM_PERSLABO";"EFFPNM_PERSRADIO";"EFFPNM_AUTMEDTEC";"EFFPNM_TEC";"EFFPNM_TOT_HORS_SOINS";"EFFPNM_TOT_PNM";"ETPPNM_SAG";"ETPPNM_CAD";"ETPPNM_INFAVECSPE";"ETPPNM_INFSANSSPE";"ETPPNM_AID";"ETPPNM_ASH";"ETPPNM_PSYCHO";"ETPPNM_REEDU";"ETPPNM_SOINS";"ETPPNM_DIR";"ETPPNM_DIRSOI";"ETPPNM_AUTADM";"ETPPNM_EDU";"ETPPNM_DTSOC";"ETPPNM_PERSPHARMA";"ETPPNM_PERSLABO";"ETPPNM_PERSRADIO";"ETPPNM_AUTMEDTEC";"ETPPNM_TEC";"ETPPNM_TOT_HORS_SOINS";"ETPPNM_TOT_PNM";"BIOGENSPE";"MICROBIO";"HEMATO";"IMMUNO";"GENE";"ASSISTMED";"ANOTO";"PHARMA_A7";"PHARMA_B7";"PHARMA_C7";"PHARMA_D7";"PHARMA_E7";"PHARMA_A11";"PHARMA_A20";"PHARMA_A26";"NB_SCAN";"NB_IRM";"NB_CAM";"NB_TOMO";"NB_MAMM";"NB_LITHO";"NB_RADIO";"NB_VASC";"ACT_SCAN";"ACT_IRM";"ACT_CAM";"ACT_TOMO";"ACT_MAMM";"ACT_LITHO";"ACT_RADIO";"ACT_VASC";"SAL_INTERV";"SALTOT24";"SALAMBU";"ACT_BLOCS";"SURV_TOT";"POST_REVEIL"
"100006493";"100000017";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;660;24873;0;0;70;85;24297;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4,99;4,99;0;0;0;0;0;0;0;0;4,99;;1,68;0;3;0;29;74;22;1;3;132;0;0;4;3;2;0;0;0;0;0;7;139;0;3,45;0;28,26;72,32;19,83;1;3,79;128,65;0,36;0;2,97;2,35;1,65;0;0;0;0;0,67;6,35;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"100006550";"510000953";"2024";;;;;;;;;;;;;;;;;;;;;13557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;4793;0;;0;;;;;;;;;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;;;0;1;1;16;1;0;0;1;20;0;0;1;0;0;0;0;0;0;0;1;21;0;1;1;16;1;0;0;1;20;0;0;1;0;0;0;0;0;0;0;1;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"100007285";"100011287";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;60;461;17071;6;12934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;4;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;1;3;1;0;0;0;0;0;0;0;0;3;;;0;2;0;10;7;0;0;19;38;1;0;4;1;1;0;0;0;0;3;9;47;0;2;0;10;7;0;0;18,7;37,7;1;0;3,7;0,8;0,8;0;0;0;0;3;8,5;46,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"100007699";"100006279";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;343;5785;206;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0;0;0;0,5;;;0;1;0;11;7;0;0;0;19;0;0;1;1;1;0;0;0;0;1;3;22;0;0,35;0;11;7;0;0;0;18,35;0;0;1;0,16;0,16;0;0;0;0;0,97;2,13;20,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"100009364";"100000017";"2024";12;;;12;330;0;0;330;4193;0;0;4193;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2,25;2,25;0;0;0;0;0;0;0;0;2,25;1;1;0;1;0;11;11;2;1;0;26;0;0;2;0;0;0;0;0;0;0;2;28;0;1;0;10,93;10,91;2,5;0,87;0;26,21;0;0;1,5;0,3;0;0;0;0;0;0;1,8;28,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"100009380";"100000017";"2024";12;;;12;185;0;0;185;2289;0;0;2289;6;;;6;419;0;0;419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1,1;1,1;0;0;0;0;0;0;0;0;1,1;;0;0;0;0;8;1;0;1;0;10;0;0;1;0;0;0;0;0;0;0;1;11;0;0;0;7,53;1;0,01;0,91;0;9,45;0;0;1,2;0,08;0,03;0;0;0;0;0;1,28;10,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"100010206";"100000017";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"100010362";"100010347";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;65;440;20831;26;11327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;5;2;0;0;0;0;0;0;1;0;6;1;0;0;0;0;0;0;0;0;0;1;4,66;1,5;0;0;0;0;0;0;0,6;0;5,26;1;1,45;0;4;0;13;16;13;1;19;66;2;0;14;7;2;0;0;0;0;0;23;89;0;3,2;0;11,78;16;11,65;0,8;15,45;58,88;1,22;0;11,13;6;1;0;0;0;0;0;18,35;77,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"100010545";"310025010";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;92;891;32390;10;11496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;22;20;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;5,99;4,48;0;0;0;0;0;0;0;0;5,99;;;0;2;0;53;59;35;2;21;172;3;0;15;1;1;0;0;0;0;17;36;208;0;2,01;0;19,89;24,27;14,32;1,05;12,72;74,26;3;0;7,56;0,93;0,93;0;0;0;0;5,37;16,86;91,12;;;;;;;;;;92;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"100010578";"100010347";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;50;636;9780;290;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;;;0;7;0;9;9;0;0;0;25;2;0;4;1;1;0;0;0;0;0;7;32;0;6,5;0;8,5;8,25;0;0;0;23,25;1,5;0;3,2;0,5;0,5;0;0;0;0;0;5,2;28,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"100010818";"100010792";"2024";8;69;0;77;364;1361;1;1726;2014;2823;1;4838;;25;0;25;13;7489;8;7510;2177;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;77;;;0;;0;;0;;;;;1;2177;0;0;0;0;0;0;0;0;1;4;0;0;4;2;0;0;0;1;0;7;18;0;0;3;29;6;0;0;0;8;55;4;0;0;4;1,63;0;0;0;1;0;6,63;;;0;3;4;57;28;25;0;0;117;3;0;31;0;0;4;0;9;1;11;59;176;0;3;4;53,37;27,16;23,39;0;0;110,92;3;0;28,19;0;0;4;0;8,78;1;10,08;55,05;165,97;;;;;;;;;;;;;1;1;0;1;1;0;0;0;1;5;0;0;0;0;0;0;0;0;0;7;;;20568;1;7
"100011477";"100010347";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;48;247;16571;27;9393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;4;1;0;0;0;0;0;0;1;0;5;1;0;0;0;0;0;0;0;0;2;3;4,18;0,98;0;0;0;0;0;0;0,4;0;4,58;2;1,53;0;4;0;15;24;10;4;24;81;2;0;16;6;3;0;0;0;0;0;24;105;0;2,8;0;14,32;21,78;9,32;3,03;19,55;70,8;0,81;0;12,03;5,5;2,5;0;0;0;0;0;18,34;89,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"100013010";"100012996";"2024";;23;;23;0;333;0;333;0;886;0;886;;27;;27;0;1463;0;1463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;2;0;0;2;0;0;0;0;0;0;2;3;0;0;1;10;0;0;0;0;0;13;2;0;0;2;0;0;0;0;0;0;2;;;0;2;5;11;7;12;0;0;37;0;0;10;0;0;1;0;0;0;1;12;49;0;2;4,5;10,8;7;12;0;0;36,3;0;0;9,8;0;0;1;0;0;0;1;11,8;48,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;4;;2098;1;9
"110000023";"110780061";"2024";251;59;36;346;16194;2962;2546;21702;78931;16893;8287;104111;15;14;5;34;4668;1690;583;6941;34041;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;255;;;;;;;;;;;;;;;;1;41883;0;;1;0;0;1;1;1889;370;0;0;1431;1;364;0;0;1;12825;1;40;1;6416;1;14687;1;1;0;0;0;0;1;152;21;36;19;29;10;1;3;13;7;205;5;0;0;0;0;0;0;0;0;0;5;133,13;13,82;35,06;19,2;24,18;9;1,2;1,17;11,11;5,99;176,78;54;49,39;46;27;59;417;355;83;11;21;1019;7;1;243;9;8;26;27;63;6;259;641;1660;42,05;25,88;56,16;391,43;343,34;82,74;8,41;17,1;967,11;6,58;0,69;228,23;8,73;7,86;26,31;26,08;60,6;5,95;247,23;610,4;1577,51;;;;;;;;347;;;30;260;1;1;1;2;2;2;1;1;0;4;2;0;0;0;0;0;0;0;1;11;1;;12848;1;16
"110000049";"110780087";"2024";25;;;25;1541;0;0;1541;7912;0;0;7912;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;25;237;7443;0;0;30;27;10477;;;;;1;12407;0;;;;;;0;;;1;0;0;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;1;16;8;3;0;0;0;0;0;3;1;20;0;0;0;0;0;0;0;0;0;0;0;10,72;6,26;2,35;0;0;0;0;0;1,51;0,1;12,33;;;0;6;1;39;55;33;2;5;141;5;0;34;3;2;4;0;8;0;33;87;228;0;4,7;1;37,17;53,34;32,12;0,29;4,75;133,37;4,81;0;33,37;1,48;1,27;3,43;0;8,84;0;32,96;84,89;218,26;;;;;;;;25;;15;30;120;1;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;;;;;;
"110000056";"110780137";"2024";200;49;18;267;12279;2709;1878;16866;62208;12378;5203;79789;14;14;0;28;4846;3848;0;8694;707;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;1;49571;0;;1;0;0;0;1;1424;207;0;0;814;1;164;0;0;;;;;1;707;0;0;0;0;0;0;0;0;1;124;16;33;22;19;6;0;0;15;3;161;11;1;0;0;1;1;0;0;0;0;12;96,3;12,52;27,35;16,22;18,55;5,84;0;0;12,62;2,78;131,05;41;36,99;22;12;41;288;238;43;6;11;661;5;1;170;14;12;16;22;30;2;105;365;1026;19,87;11,8;38,42;285,88;236,79;42,72;5,38;9,96;650,82;5,11;0,83;161,73;11,56;10,5;15,41;23;28,89;2;103,85;352,38;1003,2;;;;;;;;;;;;;1;1;1;2;2;0;0;1;0;3;0;1;0;0;0;0;0;1;0;9;;;9997;1;12
"110000189";"110780707";"2024";30;;;30;457;0;0;457;8556;0;0;8556;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;29;351;10496;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;10;3;0;0;1;1;0;0;2;2;15;9;9;0;0;0;0;0;0;0;0;9;5,02;2,03;0;0;0,1;0,1;0;0;1,86;1,2;8,18;1;1;0;2;0;21;22;10;0;12;67;4;1;24;2;1;2;0;4;0;44;81;148;0;1,5;0;20,97;21,58;9;0;10,1;63,15;4;1;22,5;1,3;0,8;1,91;0;2,34;0;41,86;74,91;138,06;;;;;;;;30;;29;;;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;
"110000247";"110780772";"2024";37;;;37;1259;0;0;1259;9885;0;0;9885;2;;;2;127;0;0;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;37;247;12252;0;0;30;19;10980;20;101;3765;87;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;6;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3,07;2,87;0;0;0;0;0;0;0;0;3,07;;;0;5;0;44;61;15;2;4;131;1;0;18;2;1;3;0;0;0;32;56;187;0;4,67;0;43,01;59,46;14,86;0,79;2,18;124,97;1;0;16,29;1,12;0,78;2,54;0;0;0;30,08;51,03;176;;;;;;;;37;0;37;30;189;1;1;0;;;;;;;;;;;;;;;;;1;0;;697;1;4
"110000262";"110781010";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;40;335;11504;10;3625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;4;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1,87;0,6;0;0;0;0;0;0;0;0;1,87;;;0;1;0;12;12;14;1;12;52;0;0;7;2;0;1;0;0;0;6;16;68;0;1;0;11,52;11,54;12,77;0,13;9,92;46,88;0;0;7,25;2;0;0,91;0;0;0;5,72;15,88;62,76;;;;;;;;;;40;;60;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"110002953";"110780137";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;55;0;;55;332;;;332;20;18;;38;4040;2606;;6646;;;;;;;;;;;;;2;2;4;13075;10390;23465;1860;1089;;2925;2163;1196;;3328;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;0;0;0;0;0;0;7;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,73;0;0;0;7,73;3;4,3;0;3;1;58;5;12;16;11;106;0;0;7;9;1;1;0;0;0;0;17;123;0;1,7;1;55,53;5;11,7;12,92;9,72;97,57;0;0;6,82;6,92;0,5;1;0;0;0;0;14,74;112,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110003118";"110007341";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;73;821;25272;50;18752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;13;1;0;0;2;0;0;0;1;0;16;0;0;0;0;1;0;1;0;0;0;2;7,49;0,3;0;0;0,06;0;0;0;1,14;0;8,69;;;0;2;0;15;19;0;2;22;60;1;0;16;2;2;1;0;0;0;4;24;84;0;2;0;13,4;15,58;0;1,43;22,29;54,7;1;0;9,55;1,23;1,23;1,12;0;0;0;1,29;14,19;68,89;;;;;;;;;;73;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"110004413";"340000264";"2024";;;;;;;;;;;;;;;;;;;;;4812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0,3;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;3;3;0;0,42;0;0;0;0;0,09;0,09;0,6;0;0,03;0,43;0,1;0,1;0;0;0;0,63;0,46;1,65;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110004421";"340000264";"2024";;;;;;;;;;;;;;;;;;;;;2142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,24;0;0;0;0;0;0;0;0;0;0,24;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19;0;0;0;0;0,07;0,05;0,31;0;0,01;0,18;0,05;0,05;0;0;0;0,2;0,03;0,47;0,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110004439";"340000264";"2024";;;;;;;;;;;;;;;;;;;;;2680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,16;0;0;0;0;0;0;0;0;0;0,16;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,24;0;0;0;0;0,06;0,07;0,37;0;0,01;0,23;0,08;0,08;0;0;0;0,3;0,04;0,66;1,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110004942";"310021324";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;77;797;27022;3;6796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;5;3;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;4,5;3;0;0;0;0;0;0;0;0;4,5;;0;0;2;0;13;20;12;2;10;59;2;0;8;1;1;1;0;0;1;1;14;73;0;2;0;12,62;20;11,49;2;8,5;56,61;2;0;8,03;0,5;0,5;1;0;0;1;1;13,53;70,14;;;;;;;;;;77;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"110005048";"110000114";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;60;575;21767;395;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;;;;;;;;5;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2,2;2,2;0;0;0;0;0;0;0;0;2,2;;;0;1;0;15;15;0;1;0;32;1;1;2;1;1;0;0;0;0;0;5;37;0;1;0;10,7;10,7;0;0,2;0;22,6;0,1;0,1;2;0,2;0,2;0;0;0;0;0;2,4;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"110005246";"110780137";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;285;10620;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2,81;0;0;0;0;0;0;0;0;0;2,81;;;0;2;0;9;16;4;0;2;33;0;0;1;0;0;0;0;0;0;0;1;34;0;0,7;0;9,41;17,01;3,86;0;2,1;33,08;0;0;0,49;0;0;0;0;0;0;0;0,49;33,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
