FI;FI_EJ;AN;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFF_INT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRSOI;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRSOI;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL;BOR
010000214;010007987;2022;16;;;16;281;0;0;281;4114;0;0;4114;;;;;0;0;0;0;;1373;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;826;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;7;;;;;;;2;1;13;;;;;;;;;;;;;7;4.8;;;;;;;1;0.1;8.1;;;9;1;59;82;54;6;17;228;1;;31;3;3;4;;3;;64;106;334;;8.5;0.5;48.7;67.95;40.65;4.45;14.52;185.27;0.7;;29.53;1.45;1.45;3.7;;2.68;;58.75;96.81;282.08;;;;;;;;1;1;0;;;;;;;;;;;SYGEN
010000495;010783009;2022;;;;;;;;;;;;;;;;;;;;;;;;;304;11;;315;2938;201;;3139;87;14;;101;7319;2114;;9433;;;;;;;13;6;1;20;29292;7412;1010;37714;13;12;26;80331;25404;109520;9573;2612;856;12876;11422;2914;887;14865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;8;;;1;;36;1;3;2;54;;;;;;;;;;;;;8.3;6;;;0.02;;30.82;0.2;3.45;1.5;44.29;4.11;;44;3;416;104;102;89;26;784;8;;129;62;27;5;;;;67;271;1055;;45.17;2.82;388.23;95.85;95.53;59.13;18.44;705.17;8.62;;119.45;55.05;23.65;3.62;;;;66.55;253.29;958.46;;;;;;;;1;1;0;;;;;;;;;;;SYGEN
010002129;750056335;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;633;3412;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;8;;;;;;;;;15;;;;;;;;;;;;;4.17;2.33;;;;;;;;;4.17;;;3;;48;48;19;;20;138;2;;8;3;3;;;;;3;16;154;;3;;18.13;22.98;9.04;;10.41;63.56;1.98;;7.15;1.52;1.52;;;;;1;11.65;75.21;;;;;;;;1;1;0;;;;;;;;;;;SYGEN
010005239;010008407;2022;60;20;17;97;4068;1057;916;6041;20063;4697;2669;27429;7;8;1;16;1281;1385;95;2761;149;64738;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;326;0;;;;;;1;22583;0;;1;0;0;0;1;479;1;619;0;0;0;0;;;;;1;149;0;;0;0;0;0;0;0;1;40;21;1;5;16;3;;;3;2;61;5;0;0;0;0;0;0;;;0;0;0;30.8;17.03;1.03;4.8;12.92;3.23;;;3.73;2.25;49.7;1.15;22;6;18;111;147;27;4;5;340;2;1;78;2;1;14;9;7;;61;174;514;17.83;5.56;15.08;107.38;134.99;26.9;1.57;3.92;313.23;2.5;0.85;68.14;1.2;1;9.96;9.74;8.14;;54.83;155.36;468.59;;;;;;;;1;1;1;1;0;1;0;;;;;7;8;SYGEN
010005379;010010718;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;445;;;;;;;;;;;;;;;;;;;;;1;0;0;;;;;;;;;2;2;;;;;;;1;;3;;;;;;;;;;;;;1.46;1.46;;;;;;;0.5;;1.96;;;1;;5;;1;1;;8;;;2;2;2;3;;;;;7;15;;0.99;;4.86;;0.97;0.32;;7.14;;;1.37;0.68;0.68;1.86;;;;;3.91;11.05;;;;;;;;1;1;0;;;;;;;;;;;SYGEN
010006526;690796552;2022;;;;;;;;;;;;;;;;;;;;;3252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;0.25;;;;;;;;;;0.25;;;0;;6;;;0;;6;;;0;;;;;;;;0;6;;0.19;;5.46;;;0.03;;5.68;;;0.13;;;;;;;;0.13;5.81;;;;;;;;;;;;;;;;;;;;;SYGEN
010007300;010007292;2022;;;;;0;0;0;0;0;0;0;0;;2;;2;0;2038;0;2038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;4;7;;;;;;12;;;;;;;;;;;;;;;2;4;2;;;;8;1;;2;;;;;;;;3;11;;;0.58;3.2;1.09;;;;4.87;1.08;;1.75;;;;;;;;2.83;7.7;;;;;;;;;;;;;;;;;;;2;5;SYGEN
010008852;010783009;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56;328;2388;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;;;;;;1;;5;;;;;;;;;;;;;3.02;1.5;;;;;;;0.58;;3.6;;;4;;13;13;20;4;17;71;7;;14;3;2;3;;;;1;28;99;;4.5;;13.61;16.56;18.18;2.88;15.44;71.17;3.6;;9.96;2.93;2.23;1.5;;;;1;18.99;90.16;;;;;;;;1;1;0;;;;;;;;;;;SYGEN
010009314;010780054;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;461;3204;13;78;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;;;;;;;;;7;;;;;;;;;;;;;3.94;0.73;;;;;;;;;3.94;;;;;34;50;10;1;12;107;1;;5;2;2;;;;;5;13;120;;0.6;;26.18;47.46;12.22;0.77;3.61;90.84;0.3;;2.41;0.51;0.51;;;;;4.31;7.53;98.37;;;;;;;;;;;;;;;;;;;;;SYGEN
010009702;010780054;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;;;;;;;;;5;;;;;;;;;;;;;1.5;0.4;;;;;;;;;1.5;;;1;;4;9;3;1;2;20;;;;;;;;;;1;1;21;;0.4;;4.32;9.51;3.2;0.49;0.8;18.72;;;;;;;;;;0.98;0.98;19.7;;;;;;;;;;;;;;;;;;;;;SYGEN
