BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2022;040788440;040780215;2500;0.2;;0.61;;0.81;0.7;3.5;;16.39;4.37;0.11;;;25.07;0.4;;0.4;;1.95;28.23
Q24;2022;040788440;040780215;9999;0.2;;0.61;;0.81;0.7;3.5;;16.53;4.77;0.11;;;25.61;0.4;;0.4;;1.97;28.79
Q24;2022;050000041;130037815;2000;0.82;1;24.6;;26.42;2.08;27.93;;30.74;13.2;1.73;;23.18;98.86;1.4;2.49;3.89;;11.03;140.2
Q24;2022;050000041;130037815;2400;0.82;1;24.6;;26.42;2.08;27.93;;30.74;13.2;1.73;;23.18;98.86;1.4;2.49;3.89;;11.03;140.2
Q24;2022;050000041;130037815;9999;0.82;1;24.6;;26.42;2.08;27.93;;30.74;13.2;1.73;;23.18;98.86;1.4;2.49;3.89;;11.03;140.2
Q24;2022;050000058;050000033;2000;1.18;0.7;5.14;;7.02;0.81;16.22;;12.29;9.83;0.61;;3.09;42.85;;1.27;1.27;;7.42;58.56
Q24;2022;050000058;050000033;2400;1.18;0.7;5.14;;7.02;0.81;16.22;;12.29;9.83;0.61;;3.09;42.85;;1.27;1.27;;7.42;58.56
Q24;2022;050000058;050000033;9999;1.18;0.7;5.14;;7.02;0.81;16.22;;12.29;9.83;0.61;;3.09;42.85;;1.27;1.27;;7.42;58.56
Q24;2022;050000066;050000082;2000;1;;2.49;;3.49;0.8;6.5;;9.2;10.5;0.69;;2.29;29.98;;0.5;0.5;;2;35.97
Q24;2022;050000066;050000082;2400;1;;2.49;;3.49;0.8;6.5;;9.2;10.5;0.69;;2.29;29.98;;0.5;0.5;;2;35.97
Q24;2022;050000066;050000082;9999;1;;2.49;;3.49;0.8;6.5;;9.2;10.5;0.69;;2.29;29.98;;0.5;0.5;;2;35.97
Q24;2022;050000090;050006931;1000;9;;12;;21;;;;;;;;;;;;;;;21
Q24;2022;050000090;050006931;2000;;;;;;2;17;25;22;27;;;;93;;;;;4;97
Q24;2022;050000090;050006931;2100;;;;;;2;17;25;22;27;;;;93;;;;;4;97
Q24;2022;050000090;050006931;9999;9;;12;;21;2;17;25;22;27;;;;93;;;;;4;118
Q24;2022;050000132;050007145;1000;2.81;1;28.42;;32.23;1.21;9.93;;4.21;5;;;0.26;20.61;0.77;;0.77;0.04;48.72;102.37
Q24;2022;050000132;050007145;2000;;;10.33;;10.33;11.05;128.68;;34.09;40.49;15.87;;8.35;238.53;14.67;6.94;21.61;3.43;2.73;276.63
Q24;2022;050000132;050007145;2200;;;9.83;;9.83;10.74;121.64;;24.13;34.12;15.77;;8.09;214.49;14.36;6.94;21.3;3.43;1.79;250.84
Q24;2022;050000132;050007145;2500;;;0.5;;0.5;0.31;7.04;;9.96;6.37;0.1;;0.26;24.04;0.31;;0.31;;0.94;25.79
Q24;2022;050000132;050007145;9999;2.81;1;38.75;;42.56;12.26;138.61;;38.3;45.49;15.87;;8.61;259.14;15.44;6.94;22.38;3.47;51.45;379
Q24;2022;050000223;050000108;2000;1;;1.31;;2.31;0.09;4.03;;1.74;2.5;;;;8.36;;;;;2.66;13.33
Q24;2022;050000223;050000108;2100;1;;1.31;;2.31;0.09;4.03;;1.74;2.5;;;;8.36;;;;;2.66;13.33
Q24;2022;050000223;050000108;9999;1;;1.31;;2.31;0.09;4.03;;1.74;2.5;;;;8.36;;;;;2.66;13.33
Q24;2022;050000231;050000116;1000;2.66;;26.11;;28.77;1;15.65;0.95;10.84;8.13;;1.61;0.49;38.67;;;;3.07;54.68;125.19
Q24;2022;050000231;050000116;2000;;;34.6;;34.6;3.76;134.05;17.79;72.57;37.06;3.91;11.22;4.68;285.04;1.61;;1.61;36.01;4.27;361.53
Q24;2022;050000231;050000116;2100;;;30.35;;30.35;2.76;89.28;17.79;57.56;26.22;0.93;11.22;3.24;209;;;;36.01;2.87;278.23
Q24;2022;050000231;050000116;2200;;;3.64;;3.64;0.76;37.08;;;4.97;2.63;;;45.44;1.42;;1.42;;1;51.5
Q24;2022;050000231;050000116;2500;;;0.61;;0.61;0.24;7.69;;15.01;5.87;0.35;;1.44;30.6;0.19;;0.19;;0.4;31.8
Q24;2022;050000231;050000116;9999;2.66;;60.71;;63.37;4.76;149.7;18.74;83.41;45.19;3.91;12.83;5.17;323.71;1.61;;1.61;39.08;58.95;486.72
Q24;2022;050000256;050000124;1000;1;;21.79;;22.79;0.94;0.99;;2.09;1.51;0.02;;0.97;6.52;;1.06;1.06;0.11;42.37;72.85
Q24;2022;050000256;050000124;2000;;;6.48;;6.48;1.9;30.89;;44.83;17.31;0.38;1.1;3.85;100.26;;;;5.47;0.23;112.44
Q24;2022;050000256;050000124;2100;;;5.55;;5.55;0.85;18.1;;17.11;4.5;0.1;1.1;0.28;42.04;;;;5.47;;53.06
Q24;2022;050000256;050000124;2400;;;0.52;;0.52;0.62;8.36;;11.71;4.66;0.2;;2.84;28.39;;;;;;28.91
Q24;2022;050000256;050000124;2500;;;0.41;;0.41;0.43;4.43;;16.01;8.15;0.08;;0.73;29.83;;;;;0.23;30.47
Q24;2022;050000256;050000124;9999;1;;28.27;;29.27;2.84;31.88;;46.92;18.82;0.4;1.1;4.82;106.78;;1.06;1.06;5.58;42.6;185.29
Q24;2022;050000298;050000496;2000;2;;3.8;;5.8;;5;;;6;0.5;;2.55;14.05;13;0.1;13.1;;3;35.95
Q24;2022;050000298;050000496;2400;2;;3.8;;5.8;;5;;;6;0.5;;2.55;14.05;13;0.1;13.1;;3;35.95
Q24;2022;050000298;050000496;9999;2;;3.8;;5.8;;5;;;6;0.5;;2.55;14.05;13;0.1;13.1;;3;35.95
Q24;2022;050000348;050002948;1000;4.4;1;97.36;;102.76;4.48;20.98;2.18;25.25;10.09;0.02;1.03;5.25;69.28;;3.22;3.22;5.94;145.1;326.3
Q24;2022;050000348;050002948;2000;;;79.06;;79.06;12.37;278.14;48.47;235.71;88.52;7.22;20.57;13.51;704.51;1.25;4.1;5.35;80.12;13.41;882.45
Q24;2022;050000348;050002948;2100;;;76.51;;76.51;10.7;252.08;48.11;198.18;75.97;5.14;20.57;10.93;621.68;0.5;2.81;3.31;79.32;12.41;793.23
Q24;2022;050000348;050002948;2300;;;1.8;;1.8;1;5.74;;5.23;;0.45;;;12.42;;0.79;0.79;0.8;1;16.81
Q24;2022;050000348;050002948;2400;;;0.3;;0.3;0.42;11.24;0.18;16.09;4.6;0.75;;1.08;34.36;;0.5;0.5;;;35.16
Q24;2022;050000348;050002948;2500;;;0.45;;0.45;0.25;9.08;0.18;16.21;7.95;0.88;;1.5;36.05;0.75;;0.75;;;37.25
Q24;2022;050000348;050002948;9999;4.4;1;176.42;;181.82;16.85;299.12;50.65;260.96;98.61;7.24;21.6;18.76;773.79;1.25;7.32;8.57;86.06;158.51;1208.75
Q24;2022;050000454;050000645;2000;1;;1.65;;2.65;1;7.99;;6.09;2.85;2;;0.5;20.43;6.68;;6.68;;5.03;34.79
Q24;2022;050000454;050000645;2200;1;;1.65;;2.65;1;7.99;;6.09;2.85;2;;0.5;20.43;6.68;;6.68;;5.03;34.79
Q24;2022;050000454;050000645;9999;1;;1.65;;2.65;1;7.99;;6.09;2.85;2;;0.5;20.43;6.68;;6.68;;5.03;34.79
Q24;2022;050000488;050000678;2000;0.5;;6.3;;6.8;1;12.98;;1.5;12.61;1;;8.08;37.17;0.97;;0.97;0.57;4;49.51
