1er jour de la semaine,Semaine,Classe d'âge,Taux de passages aux urgences pour COVID-19,Taux d'hospitalisations après passages aux urgences pour COVID-19,Taux d'actes médicaux SOS médecins pour COVID-19
2020-11-09,2020-S46,00-04 ans,497.30625777,850.9064003,1621.7400833
2020-11-09,2020-S46,15-64 ans,4923.7647598,10161.328034,10157.10524
2020-11-09,2020-S46,65 ans ou plus,10661.705226,16544.986421,5614.8282098
2020-11-16,2020-S47,00-04 ans,306.50629267,681.30204391,1459.0592334
2020-11-16,2020-S47,15-64 ans,3185.0101508,6215.0109119,7187.6911192
2020-11-23,2020-S48,Tous âges,2468.6838045,5853.1056922,4341.4773132
2020-11-30,2020-S49,05-14 ans,168.22879116,224.61814915,4424.3500727
2020-12-07,2020-S50,65 ans ou plus,3936.2468877,6369.5343651,2681.4654749
2020-12-07,2020-S50,Tous âges,2019.2185582,4751.4409222,3796.4582237
2020-12-14,2020-S51,00-04 ans,162.51574371,274.44253859,881.63407821
2020-12-14,2020-S51,05-14 ans,233.9421301,368.49378167,4129.6928328
2020-12-14,2020-S51,65 ans ou plus,4123.7281503,6969.0071791,2648.2758621
2020-12-14,2020-S51,Tous âges,2222.8716964,5217.3272704,3868.7220288
2020-12-21,2020-S52,00-04 ans,149.15999372,420.75736325,669.82519196
2020-12-21,2020-S52,05-14 ans,248.13895782,240.38461538,2733.686067
2020-12-21,2020-S52,15-64 ans,2199.0257481,4092.3186417,4787.3694933
2020-12-28,2020-S53,65 ans ou plus,4393.397067,7500.2483526,3120.2380089
2020-12-28,2020-S53,Tous âges,2360.5007601,5617.2575822,3795.4206073
2021-01-04,2021-S01,00-04 ans,243.05880153,618.18181818,772.68195414
2021-01-04,2021-S01,65 ans ou plus,4666.514216,7779.2637881,2998.2206406
2021-01-11,2021-S02,05-14 ans,139.00065842,169.85138004,4489.9804128
2021-01-11,2021-S02,15-64 ans,2217.2551189,5061.3915416,6026.5484038
2021-01-18,2021-S03,65 ans ou plus,5813.9180288,9660.0503393,3048.1435761
2021-01-25,2021-S04,00-04 ans,323.17953655,634.73744951,1090.6887497
2021-02-01,2021-S05,15-64 ans,2838.792094,6861.8481244,6039.6124989
2021-02-01,2021-S05,Tous âges,3022.1228276,7890.8171975,4246.7066211
2021-02-08,2021-S06,00-04 ans,208.19563781,458.59185325,1043.5963937
