BOR;AN;FI;FI_EJ;DISCI;ETP_SAL;ETP_HU;ETP_MAD;ETP_INT;EFF_LIB
Q21;2019;010000024;010780054;1000;1.48;;;;
Q21;2019;010000024;010780054;2000;153.69;;4.81;65.03;11
Q21;2019;010000024;010780054;2100;151.59;;4.81;64.7;11
Q21;2019;010000024;010780054;2300;2.1;;;0.33;
Q21;2019;010000024;010780054;9999;155.17;;4.81;65.03;11
Q21;2019;010000032;010780062;1000;0.1;;;;
Q21;2019;010000032;010780062;2000;29.45;;;2.15;
Q21;2019;010000032;010780062;2100;26.68;;;2.15;
Q21;2019;010000032;010780062;2400;2.77;;;;
Q21;2019;010000032;010780062;9999;29.55;;;2.15;
Q21;2019;010000065;010780096;1000;0.41;;;;
Q21;2019;010000065;010780096;2000;14.02;;;1.16;
Q21;2019;010000065;010780096;2100;9.65;;;0.76;
Q21;2019;010000065;010780096;2400;4.37;;;0.4;
Q21;2019;010000065;010780096;9999;14.43;;;1.16;
Q21;2019;010000081;010780112;2000;2.31;;;;
Q21;2019;010000081;010780112;2400;1.85;;;;
Q21;2019;010000081;010780112;2500;0.46;;;;
Q21;2019;010000081;010780112;9999;2.31;;;;
Q21;2019;010000099;010780120;2000;0.91;;;;
Q21;2019;010000099;010780120;2100;0.4;;;;
Q21;2019;010000099;010780120;2400;0.51;;;;
Q21;2019;010000099;010780120;9999;0.91;;;;
Q21;2019;010000107;010780138;2000;2.33;;;;
Q21;2019;010000107;010780138;2100;1;;;;
Q21;2019;010000107;010780138;2400;1.33;;;;
Q21;2019;010000107;010780138;9999;2.33;;;;
Q21;2019;010000115;010009132;2000;2.3;;;;
Q21;2019;010000115;010009132;2100;0.45;;;;
Q21;2019;010000115;010009132;2400;1.02;;;;
Q21;2019;010000115;010009132;2500;0.83;;;;
Q21;2019;010000115;010009132;9999;2.3;;;;
Q21;2019;010000131;010009132;2000;1.43;;;;
Q21;2019;010000131;010009132;2100;0.42;;;;
Q21;2019;010000131;010009132;2400;1.01;;;;
Q21;2019;010000131;010009132;9999;1.43;;;;
Q21;2019;010000180;010007987;2000;1.36;;;;
Q21;2019;010000180;010007987;2100;0.26;;;;
Q21;2019;010000180;010007987;2400;1.1;;;;
Q21;2019;010000180;010007987;9999;1.36;;;;
Q21;2019;010000198;010007987;2000;4.49;;;0.5;
Q21;2019;010000198;010007987;2400;4.49;;;0.5;
Q21;2019;010000198;010007987;9999;4.49;;;0.5;
Q21;2019;010000214;010007987;2000;8.59;;;;
Q21;2019;010000214;010007987;2100;2;;;;
Q21;2019;010000214;010007987;2400;6.59;;;;
Q21;2019;010000214;010007987;9999;8.59;;;;
Q21;2019;010000495;010783009;1000;5.54;0.08;;0.85;
Q21;2019;010000495;010783009;2000;49.8;13.49;;3.14;
Q21;2019;010000495;010783009;2200;49.8;13.49;;3.14;
Q21;2019;010000495;010783009;9999;55.34;13.57;;3.99;
Q21;2019;010002129;750056335;2000;5.83;;;;2
Q21;2019;010002129;750056335;2400;5.83;;;;2
Q21;2019;010002129;750056335;9999;5.83;;;;2
Q21;2019;010005239;010008407;1000;1.4;0;;0;
Q21;2019;010005239;010008407;2000;42.44;0;;0;
Q21;2019;010005239;010008407;2100;41.28;0;;0;
Q21;2019;010005239;010008407;2400;1.16;0;;0;
Q21;2019;010005239;010008407;9999;43.84;0;;0;
Q21;2019;010005379;010010718;2000;1.4;;;;
Q21;2019;010005379;010010718;2300;1.4;;;;
Q21;2019;010005379;010010718;9999;1.4;;;;
Q21;2019;010006526;690796552;2000;0.25;;;;
Q21;2019;010006526;690796552;2100;0.25;;;;
Q21;2019;010006526;690796552;9999;0.25;;;;
Q21;2019;010007300;010007292;2000;;;;;15
Q21;2019;010007300;010007292;2100;;;;;15
Q21;2019;010007300;010007292;9999;;;;;15
Q21;2019;010008852;010783009;2000;1.3;;;;
Q21;2019;010008852;010783009;2400;1.3;;;;
Q21;2019;010008852;010783009;9999;1.3;;;;
Q21;2019;010009314;010780054;2000;5.56;;;;
Q21;2019;010009314;010780054;2400;3.81;;;;
Q21;2019;010009314;010780054;2500;1.75;;;;
Q21;2019;010009314;010780054;9999;5.56;;;;
Q21;2019;010010171;010011559;2000;1;;;;4
Q21;2019;010010171;010011559;2100;1;;;;
Q21;2019;010010171;010011559;2200;;;;;4
Q21;2019;010010171;010011559;9999;1;;;;4
Q21;2019;010780195;010000156;1000;2;;;;
Q21;2019;010780195;010000156;2000;;;;;96
Q21;2019;010780195;010000156;2100;;;;;96
Q21;2019;010780195;010000156;9999;2;;;;96
Q21;2019;010780203;010010718;2000;3.69;;;;43
Q21;2019;010780203;010010718;2100;3.69;;;;43
Q21;2019;010780203;010010718;9999;3.69;;;;43
Q21;2019;010780252;010783009;2000;3.63;;;;
Q21;2019;010780252;010783009;2400;3.63;;;;
Q21;2019;010780252;010783009;9999;3.63;;;;
Q21;2019;010780278;010783009;2000;4.81;;0.5;;
Q21;2019;010780278;010783009;2400;4.81;;0.5;;
Q21;2019;010780278;010783009;9999;4.81;;0.5;;
Q21;2019;010780294;690000278;2000;3.92;;;;0
Q21;2019;010780294;690000278;2100;3.92;;;;0
Q21;2019;010780294;690000278;9999;3.92;;;;0
Q21;2019;010780310;010000222;2000;1.55;;;;
Q21;2019;010780310;010000222;2400;1.55;;;;
Q21;2019;010780310;010000222;9999;1.55;;;;
Q21;2019;010780328;010000222;2000;2.14;;;;
Q21;2019;010780328;010000222;2400;2.14;;;;
Q21;2019;010780328;010000222;9999;2.14;;;;
Q21;2019;010780476;750005068;1000;0.1;;;;
Q21;2019;010780476;750005068;2000;4.53;;;;
Q21;2019;010780476;750005068;2400;4.53;;;;
Q21;2019;010780476;750005068;9999;4.63;;;;
Q21;2019;010780492;360000707;2000;6.94;;;;
Q21;2019;010780492;360000707;2400;6.94;;;;
Q21;2019;010780492;360000707;9999;6.94;;;;
Q21;2019;010780708;310021381;2000;3.5;;;;
Q21;2019;010780708;310021381;2400;3.5;;;;
Q21;2019;010780708;310021381;9999;3.5;;;;
Q21;2019;010780799;750721334;2000;1.5;;;;
Q21;2019;010780799;750721334;2400;1.5;;;;
Q21;2019;010780799;750721334;9999;1.5;;;;
Q21;2019;010786259;010008407;2000;0.7;0;;0;
Q21;2019;010786259;010008407;2500;0.7;0;;0;
Q21;2019;010786259;010008407;9999;0.7;0;;0;
Q21;2019;010789576;010780096;2000;0.7;;;;
Q21;2019;010789576;010780096;2500;0.7;;;;
Q21;2019;010789576;010780096;9999;0.7;;;;
Q21;2019;010789717;010008407;2000;0.7;0;;0;
Q21;2019;010789717;010008407;2500;0.7;0;;0;
Q21;2019;010789717;010008407;9999;0.7;0;;0;
Q21;2019;020000089;020000022;1000;0.17;0;0;0;0
Q21;2019;020000089;020000022;2000;5.72;0;0;0.36;0
Q21;2019;020000089;020000022;2100;3.23;0;0;0.36;0
Q21;2019;020000089;020000022;2300;0.1;0;0;0;0
Q21;2019;020000089;020000022;2400;1.94;0;0;0;0
Q21;2019;020000089;020000022;2500;0.45;0;0;0;0
Q21;2019;020000089;020000022;9999;5.89;0;0;0.36;0
Q21;2019;020000097;020000048;2000;7.8;;;;
Q21;2019;020000097;020000048;2100;6.3;;;;
Q21;2019;020000097;020000048;2400;1.5;;;;
Q21;2019;020000097;020000048;9999;7.8;;;;
Q21;2019;020000105;020000055;1000;0.37;;;;5
Q21;2019;020000105;020000055;2000;2.06;;;;1
Q21;2019;020000105;020000055;2100;1.03;;;;
Q21;2019;020000105;020000055;2300;;;;;1
Q21;2019;020000105;020000055;2400;1.03;;;;
Q21;2019;020000105;020000055;9999;2.43;;;;6
Q21;2019;020000162;020000063;1000;3.3;0;0;0;0
Q21;2019;020000162;020000063;2000;164.73;0;20.5;90;0
Q21;2019;020000162;020000063;2100;162.03;0;20.5;90;0
Q21;2019;020000162;020000063;2400;2.2;0;0;0;0
Q21;2019;020000162;020000063;2500;0.5;0;0;0;0
Q21;2019;020000162;020000063;9999;168.03;0;20.5;90;0
Q21;2019;020000246;020000071;1000;0.49;0;0;0;0
Q21;2019;020000246;020000071;2000;2.6;0;0;0;0
Q21;2019;020000246;020000071;2100;1.62;0;0;0;0
Q21;2019;020000246;020000071;2400;0.98;0;0;0;0
Q21;2019;020000246;020000071;9999;3.09;0;0;0;0
Q21;2019;020000303;750814030;1000;3.21;;;;
Q21;2019;020000303;750814030;2000;16.63;;0.24;;
Q21;2019;020000303;750814030;2400;16.63;;0.24;;
Q21;2019;020000303;750814030;9999;19.84;;0.24;;
Q21;2019;020000360;020014742;2000;1;;;;33
Q21;2019;020000360;020014742;2100;1;;;;33
Q21;2019;020000360;020014742;9999;1;;;;33
Q21;2019;020000386;020000600;1000;1.02;;;;
Q21;2019;020000386;020000600;2000;0.17;;;;5
Q21;2019;020000386;020000600;2100;0.11;;;;
Q21;2019;020000386;020000600;2200;0.06;;;;5
Q21;2019;020000386;020000600;9999;1.19;;;;5
Q21;2019;020000394;020000253;1000;5.2;0;0;0;0
Q21;2019;020000394;020000253;2000;85.59;0;0.5;30.1;0
Q21;2019;020000394;020000253;2100;84.59;0;0.5;30.1;0
Q21;2019;020000394;020000253;2400;1;0;0;0;0
Q21;2019;020000394;020000253;9999;90.79;0;0.5;30.1;0
Q21;2019;020000519;020000261;1000;0.5;;;;
Q21;2019;020000519;020000261;2000;123.12;;3.24;20;3
Q21;2019;020000519;020000261;2100;119.12;;3.24;19;2
Q21;2019;020000519;020000261;2200;;;;;1
Q21;2019;020000519;020000261;2400;4;;;1;
Q21;2019;020000519;020000261;9999;123.62;;3.24;20;3
Q21;2019;020000535;020000287;1000;0.5;;;;
Q21;2019;020000535;020000287;2000;40.46;;;9.76;11
Q21;2019;020000535;020000287;2100;38.56;;;9.46;11
Q21;2019;020000535;020000287;2400;0.69;;;0.14;
Q21;2019;020000535;020000287;2500;1.21;;;0.16;
Q21;2019;020000535;020000287;9999;40.96;;;9.76;11
Q21;2019;020000543;020000295;2000;48.9;3;;2;
Q21;2019;020000543;020000295;2200;48.9;3;;2;
Q21;2019;020000543;020000295;9999;48.9;3;;2;
Q21;2019;020000915;020003620;2000;9.99;;;;
Q21;2019;020000915;020003620;2400;9.99;;;;
Q21;2019;020000915;020003620;9999;9.99;;;;
Q21;2019;020001061;020004404;1000;0.6;;;;
Q21;2019;020001061;020004404;2000;72.11;;0.4;9.27;16
Q21;2019;020001061;020004404;2100;72.03;;0.4;9.27;16
Q21;2019;020001061;020004404;2200;0.08;;;;
Q21;2019;020001061;020004404;9999;72.71;;0.4;9.27;16
Q21;2019;020001087;020004495;1000;0.95;;1.4;0.95;
Q21;2019;020001087;020004495;2000;19.41;;3.63;;
Q21;2019;020001087;020004495;2100;17.99;;3.53;;
Q21;2019;020001087;020004495;2200;0.1;;0.1;;
Q21;2019;020001087;020004495;2400;1.32;;;;
Q21;2019;020001087;020004495;9999;20.36;;5.03;0.95;
Q21;2019;020001772;590799995;2000;0;;;;8
Q21;2019;020001772;590799995;2100;0;;;;8
Q21;2019;020001772;590799995;9999;0;;;;8
Q21;2019;020003877;020000253;2000;2.21;0;0;1.17;0
Q21;2019;020003877;020000253;2400;2.21;0;0;1.17;0
Q21;2019;020003877;020000253;9999;2.21;0;0;1.17;0
Q21;2019;020004156;590805065;2000;;;;;22
Q21;2019;020004156;590805065;2200;;;;;22
Q21;2019;020004156;590805065;9999;;;;;22
Q21;2019;020004297;020005179;2000;0.62;;;;
Q21;2019;020004297;020005179;2300;0.62;;;;
Q21;2019;020004297;020005179;9999;0.62;;;;
Q21;2019;020004677;020000261;2000;0.8;;;;
Q21;2019;020004677;020000261;2500;0.8;;;;
Q21;2019;020004677;020000261;9999;0.8;;;;
Q21;2019;020005476;020000253;2000;0.11;0;0;0.62;0
Q21;2019;020005476;020000253;2500;0.11;0;0;0.62;0
Q21;2019;020005476;020000253;9999;0.11;0;0;0.62;0
Q21;2019;020006664;020000063;2000;8.81;;;4;
Q21;2019;020006664;020000063;2200;8.81;;;4;
Q21;2019;020006664;020000063;9999;8.81;;;4;
Q21;2019;020009684;020002085;2000;0.59;;;;
Q21;2019;020009684;020002085;2500;0.59;;;;
Q21;2019;020009684;020002085;9999;0.59;;;;
Q21;2019;020010047;020001632;2000;2.8;;;;64
Q21;2019;020010047;020001632;2100;2.8;;;;64
Q21;2019;020010047;020001632;9999;2.8;;;;64
Q21;2019;020010310;750719361;2000;1.07;;;;
Q21;2019;020010310;750719361;2400;1.07;;;;
Q21;2019;020010310;750719361;9999;1.07;;;;
Q21;2019;020010898;750721334;2000;0.3;;;;53
Q21;2019;020010898;750721334;2300;0.3;;;;53
Q21;2019;020010898;750721334;9999;0.3;;;;53
Q21;2019;020014767;590805065;2000;0.2;;;;39
Q21;2019;020014767;590805065;2300;0.2;;;;39
Q21;2019;020014767;590805065;9999;0.2;;;;39
Q21;2019;020016366;020000063;2000;1;;;;
Q21;2019;020016366;020000063;2100;1;;;;
Q21;2019;020016366;020000063;9999;1;;;;
Q21;2019;030000012;030180020;2000;4.44;;;;
Q21;2019;030000012;030180020;2400;4.44;;;;
Q21;2019;030000012;030180020;9999;4.44;;;;
Q21;2019;030000061;030780092;1000;3.55;0;0.18;0;0
Q21;2019;030000061;030780092;2000;123.83;0;4.85;49.73;1
Q21;2019;030000061;030780092;2100;104.03;0;4;41.41;1
Q21;2019;030000061;030780092;2200;16.26;0;0.65;7.55;0
Q21;2019;030000061;030780092;2300;0.44;0;0;0;0
Q21;2019;030000061;030780092;2400;1.99;0;0.2;0.77;0
Q21;2019;030000061;030780092;2500;1.11;0;0;0;0
Q21;2019;030000061;030780092;9999;127.38;0;5.03;49.73;1
Q21;2019;030000079;030780100;1000;1.32;;;;
Q21;2019;030000079;030780100;2000;94.16;;;40.12;8
Q21;2019;030000079;030780100;2100;90.76;;;40.12;8
Q21;2019;030000079;030780100;2300;0.5;;;;
Q21;2019;030000079;030780100;2400;1.9;;;;
Q21;2019;030000079;030780100;2500;1;;;;
Q21;2019;030000079;030780100;9999;95.48;;;40.12;8
Q21;2019;030000087;030780118;1000;1.6;;;;
Q21;2019;030000087;030780118;2000;138.13;;7.3;51.26;7
Q21;2019;030000087;030780118;2100;119.72;;7.3;45.06;7
Q21;2019;030000087;030780118;2200;9.65;;;6.2;
Q21;2019;030000087;030780118;2300;1.29;;;;
Q21;2019;030000087;030780118;2400;6.35;;;;
Q21;2019;030000087;030780118;2500;1.12;;;;
Q21;2019;030000087;030780118;9999;139.73;;7.3;51.26;7
Q21;2019;030000095;030780126;1000;1.23;;;;
Q21;2019;030000095;030780126;2000;1.96;;;;
Q21;2019;030000095;030780126;2100;0.66;;;;
Q21;2019;030000095;030780126;2400;1.3;;;;
Q21;2019;030000095;030780126;9999;3.19;;;;
Q21;2019;030000160;030780282;2000;8.85;;1;0.35;
Q21;2019;030000160;030780282;2200;8.05;;1;0.35;
Q21;2019;030000160;030780282;2500;0.8;;;;
Q21;2019;030000160;030780282;9999;8.85;;1;0.35;
Q21;2019;030001689;030005821;2000;;;;;2
Q21;2019;030001689;030005821;2100;;;;;2
Q21;2019;030001689;030005821;9999;;;;;2
Q21;2019;030002208;030002158;1000;1.04;;;;
Q21;2019;030002208;030002158;2000;7.5;;;;
Q21;2019;030002208;030002158;2400;7.5;;;;
Q21;2019;030002208;030002158;9999;8.54;;;;
Q21;2019;030003669;630000990;2000;0.95;;;;
Q21;2019;030003669;630000990;2100;0.95;;;;
Q21;2019;030003669;630000990;9999;0.95;;;;
Q21;2019;030003719;630000990;2000;0.7;;;;
Q21;2019;030003719;630000990;2100;0.7;;;;
Q21;2019;030003719;630000990;9999;0.7;;;;
Q21;2019;030003768;630000990;2000;1.61;;;;
Q21;2019;030003768;630000990;2100;1.61;;;;
Q21;2019;030003768;630000990;9999;1.61;;;;
Q21;2019;030007942;030002158;2000;1.15;;;;6
Q21;2019;030007942;030002158;2400;1.15;;;;6
Q21;2019;030007942;030002158;9999;1.15;;;;6
Q21;2019;030780548;030000194;1000;1;;;;
Q21;2019;030780548;030000194;2000;4.99;;;;56
Q21;2019;030780548;030000194;2100;0.1;;;;56
Q21;2019;030780548;030000194;2400;4.89;;;;
Q21;2019;030780548;030000194;9999;5.99;;;;56
Q21;2019;030781116;030000426;2000;4.7;;;1;59
Q21;2019;030781116;030000426;2100;2.7;;;1;59
Q21;2019;030781116;030000426;2400;2;;;;
Q21;2019;030781116;030000426;9999;4.7;;;1;59
Q21;2019;030781637;030780100;2000;6.4;;;5.63;
Q21;2019;030781637;030780100;2200;6.4;;;5.63;
Q21;2019;030781637;030780100;9999;6.4;;;5.63;
Q21;2019;030785430;030785422;2000;0.83;;;;39
Q21;2019;030785430;030785422;2100;0.83;;;;39
Q21;2019;030785430;030785422;9999;0.83;;;;39
Q21;2019;040000028;040780124;2000;;;;;2
Q21;2019;040000028;040780124;2100;;;;;2
Q21;2019;040000028;040780124;9999;;;;;2
Q21;2019;040000036;040780132;2000;0.51;;;;10
Q21;2019;040000036;040780132;2100;;;;;10
Q21;2019;040000036;040780132;2400;0.51;;;;
Q21;2019;040000036;040780132;9999;0.51;;;;10
Q21;2019;040000044;040780140;2000;;;;;2
Q21;2019;040000044;040780140;2400;;;;;2
Q21;2019;040000044;040780140;9999;;;;;2
Q21;2019;040000069;040780181;2000;2.5;;;;
Q21;2019;040000069;040780181;2400;2.5;;;;
Q21;2019;040000069;040780181;9999;2.5;;;;
Q21;2019;040000093;040780215;1000;1.8;0;;0;0
Q21;2019;040000093;040780215;2000;56.94;0;;10.13;0
Q21;2019;040000093;040780215;2100;56.74;0;;10.13;0
Q21;2019;040000093;040780215;2500;0.2;0;;0;0
Q21;2019;040000093;040780215;9999;58.74;0;;10.13;0
Q21;2019;040000119;040780231;2000;0.68;;;;7
Q21;2019;040000119;040780231;2100;0.14;;;;2
Q21;2019;040000119;040780231;2400;0.54;;;;5
Q21;2019;040000119;040780231;9999;0.68;;;;7
Q21;2019;040000127;040780249;2000;;;;;3
Q21;2019;040000127;040780249;2100;;;;;3
Q21;2019;040000127;040780249;9999;;;;;3
Q21;2019;040000135;050002948;1000;0.43;0;0;0;0
Q21;2019;040000135;050002948;2000;17.68;0;0;1.17;0
Q21;2019;040000135;050002948;2100;16.38;0;0;1.17;0
Q21;2019;040000135;050002948;2400;1.3;0;0;0;0
Q21;2019;040000135;050002948;9999;18.11;0;0;1.17;0
Q21;2019;040000911;040788879;1000;6.11;;;;
Q21;2019;040000911;040788879;2000;74.42;;;5.45;
Q21;2019;040000911;040788879;2100;57.43;;;4.74;
Q21;2019;040000911;040788879;2200;16.99;;;0.71;
Q21;2019;040000911;040788879;9999;80.53;;;5.45;
Q21;2019;040780389;040000192;2000;3.8;;;;3
Q21;2019;040780389;040000192;2400;3.8;;;;3
Q21;2019;040780389;040000192;9999;3.8;;;;3
Q21;2019;040780405;040000168;2000;4.75;;;;
Q21;2019;040780405;040000168;2400;3.35;;;;
Q21;2019;040780405;040000168;2500;1.4;;;;
Q21;2019;040780405;040000168;9999;4.75;;;;
Q21;2019;040780470;040000192;2000;0.8;;;;23
Q21;2019;040780470;040000192;2100;0.8;;;;23
Q21;2019;040780470;040000192;9999;0.8;;;;23
Q21;2019;040780488;040000200;2000;4.58;;;;6
Q21;2019;040780488;040000200;2400;4.58;;;;6
Q21;2019;040780488;040000200;9999;4.58;;;;6
Q21;2019;040780520;750056335;2000;1.2;;;;
Q21;2019;040780520;750056335;2400;1.2;;;;
Q21;2019;040780520;750056335;9999;1.2;;;;
Q21;2019;040782021;130037815;2000;2.3;;;;
Q21;2019;040782021;130037815;2400;2.3;;;;
Q21;2019;040782021;130037815;9999;2.3;;;;
Q21;2019;040784860;920033503;2000;0.8;;;;4
Q21;2019;040784860;920033503;2100;0.8;;;;4
Q21;2019;040784860;920033503;9999;0.8;;;;4
Q21;2019;050000041;130037815;2000;6.18;;;;
Q21;2019;050000041;130037815;2400;6.18;;;;
Q21;2019;050000041;130037815;9999;6.18;;;;
Q21;2019;050000058;050000033;2000;2.38;;;;
Q21;2019;050000058;050000033;2400;2.38;;;;
Q21;2019;050000058;050000033;9999;2.38;;;;
Q21;2019;050000066;050000082;2000;2.6;;;;1
Q21;2019;050000066;050000082;2400;2.6;;;;1
Q21;2019;050000066;050000082;9999;2.6;;;;1
Q21;2019;050000090;050006931;2000;;;;;52
Q21;2019;050000090;050006931;2100;;;;;52
Q21;2019;050000090;050006931;9999;;;;;52
Q21;2019;050000132;050007145;1000;0.57;;;;
Q21;2019;050000132;050007145;2000;18.58;;;;
Q21;2019;050000132;050007145;2100;0.19;;;;
Q21;2019;050000132;050007145;2200;17.26;;;;
Q21;2019;050000132;050007145;2400;0.33;;;;
Q21;2019;050000132;050007145;2500;0.8;;;;
Q21;2019;050000132;050007145;9999;19.15;;;;
Q21;2019;050000223;050000108;2000;0.6;;;;
Q21;2019;050000223;050000108;2100;0.6;;;;
Q21;2019;050000223;050000108;9999;0.6;;;;
Q21;2019;050000231;050000116;1000;0.69;0;0;0;0
Q21;2019;050000231;050000116;2000;83.22;0;0;4.91;0
Q21;2019;050000231;050000116;2100;79.21;0;0;4.91;0
Q21;2019;050000231;050000116;2200;3;0;0;0;0
Q21;2019;050000231;050000116;2500;1.01;0;0;0;0
Q21;2019;050000231;050000116;9999;83.91;0;0;4.91;0
Q21;2019;050000256;050000124;2000;10.73;;;3.72;
Q21;2019;050000256;050000124;2100;7.75;;;3.72;
Q21;2019;050000256;050000124;2400;1.51;;;;
Q21;2019;050000256;050000124;2500;1.47;;;;
Q21;2019;050000256;050000124;9999;10.73;;;3.72;
Q21;2019;050000298;050000496;2000;0.68;;;;
Q21;2019;050000298;050000496;2400;0.68;;;;
Q21;2019;050000298;050000496;9999;0.68;;;;
Q21;2019;050000306;050000538;2000;0.8;;;;
Q21;2019;050000306;050000538;2400;0.8;;;;
Q21;2019;050000306;050000538;9999;0.8;;;;
Q21;2019;050000330;050007145;2000;0.52;;;;
Q21;2019;050000330;050007145;2100;0.19;;;;
Q21;2019;050000330;050007145;2400;0.33;;;;
Q21;2019;050000330;050007145;9999;0.52;;;;
Q21;2019;050000348;050002948;1000;2.71;0;0;0;0
Q21;2019;050000348;050002948;2000;128.89;0;0;20.1;0
Q21;2019;050000348;050002948;2100;126.57;0;0;20.1;0
Q21;2019;050000348;050002948;2300;1.2;0;0;0;0
Q21;2019;050000348;050002948;2400;1.12;0;0;0;0
Q21;2019;050000348;050002948;9999;131.6;0;0;20.1;0
Q21;2019;050000371;050003508;2000;0.47;;;;
Q21;2019;050000371;050003508;2400;0.47;;;;
Q21;2019;050000371;050003508;9999;0.47;;;;
Q21;2019;050000454;050000645;2000;1.3;;;;
Q21;2019;050000454;050000645;2200;1.3;;;;
Q21;2019;050000454;050000645;9999;1.3;;;;
Q21;2019;050000488;050000678;2000;4.2;;;;
Q21;2019;050000488;050000678;2400;4.2;;;;
Q21;2019;050000488;050000678;9999;4.2;;;;
Q21;2019;050000637;050001163;2000;2.9;;;;0
Q21;2019;050000637;050001163;2400;2.9;;;;0
Q21;2019;050000637;050001163;9999;2.9;;;;0
Q21;2019;050000991;050000546;1000;0.6;;;;
Q21;2019;050000991;050000546;2000;9.86;;;;
Q21;2019;050000991;050000546;2200;2.64;;;;
Q21;2019;050000991;050000546;2400;7.22;;;;
Q21;2019;050000991;050000546;9999;10.46;;;;
Q21;2019;050001064;050000561;2000;5.62;;;;2
Q21;2019;050001064;050000561;2400;5.62;;;;2
Q21;2019;050001064;050000561;9999;5.62;;;;2
Q21;2019;050002351;130037815;2000;1.69;;;;
Q21;2019;050002351;130037815;2400;1.69;;;;
Q21;2019;050002351;130037815;9999;1.69;;;;
Q21;2019;050007533;130784127;2000;1.66;;;;
Q21;2019;050007533;130784127;2100;1.66;;;;
Q21;2019;050007533;130784127;9999;1.66;;;;
Q21;2019;060000163;060780327;2000;0.1;;;;
Q21;2019;060000163;060780327;2100;0.04;;;;
Q21;2019;060000163;060780327;2400;0.06;;;;
Q21;2019;060000163;060780327;9999;0.1;;;;
Q21;2019;060000296;060780640;2000;5.19;0;0;0;
Q21;2019;060000296;060780640;2400;5.19;0;0;0;
Q21;2019;060000296;060780640;9999;5.19;0;0;0;
Q21;2019;060000304;060780657;2000;0.1;;;1;6
Q21;2019;060000304;060780657;2100;0.03;;;0.33;6
Q21;2019;060000304;060780657;2200;0.07;;;;
Q21;2019;060000304;060780657;2400;;;;0.67;
Q21;2019;060000304;060780657;9999;0.1;;;1;6
Q21;2019;060000411;060780780;2000;0.52;0;0;0;0
Q21;2019;060000411;060780780;2100;0.52;0;0;0;0
Q21;2019;060000411;060780780;9999;0.52;0;0;0;0
Q21;2019;060000478;060780897;1000;10.55;0;;0;0
Q21;2019;060000478;060780897;2000;91.07;0;;22.75;0
Q21;2019;060000478;060780897;2100;81.75;0;;21.43;0
Q21;2019;060000478;060780897;2200;7.49;0;;0.99;0
Q21;2019;060000478;060780897;2400;1.83;0;;0.33;0
Q21;2019;060000478;060780897;9999;101.62;0;;22.75;0
Q21;2019;060000486;060780905;2000;;;;;5
Q21;2019;060000486;060780905;2100;;;;;5
Q21;2019;060000486;060780905;9999;;;;;5
Q21;2019;060000494;060780921;2000;0.35;;;;5
Q21;2019;060000494;060780921;2100;0.35;;;;5
Q21;2019;060000494;060780921;9999;0.35;;;;5
Q21;2019;060000510;060780954;1000;1.93;;;;
Q21;2019;060000510;060780954;2000;177;;2;27.75;2
Q21;2019;060000510;060780954;2100;151.93;;2;26.05;2
Q21;2019;060000510;060780954;2200;23.25;;;1.7;
Q21;2019;060000510;060780954;2400;1.52;;;;
Q21;2019;060000510;060780954;2500;0.3;;;;
Q21;2019;060000510;060780954;9999;178.93;;2;27.75;2
Q21;2019;060000528;060780962;1000;1.2;;;;
Q21;2019;060000528;060780962;2000;89.93;8.61;;30.67;
Q21;2019;060000528;060780962;2100;89.93;8.61;;30.67;
Q21;2019;060000528;060780962;9999;91.13;8.61;;30.67;
Q21;2019;060000536;060006889;2000;0.11;0;0;0;1
Q21;2019;060000536;060006889;2100;0.11;0;0;0;1
Q21;2019;060000536;060006889;9999;0.11;0;0;0;1
Q21;2019;060000544;060780988;1000;2.84;;;;
Q21;2019;060000544;060780988;2000;157.97;;;47.19;7
Q21;2019;060000544;060780988;2100;143.27;;;47.03;7
Q21;2019;060000544;060780988;2200;14.34;;;0.16;
Q21;2019;060000544;060780988;2300;0.36;;;;
Q21;2019;060000544;060780988;9999;160.81;;;47.19;7
Q21;2019;060000551;060781010;2000;0.6;;;;
Q21;2019;060000551;060781010;2500;0.6;;;;
Q21;2019;060000551;060781010;9999;0.6;;;;
Q21;2019;060001625;060006889;2000;1.4;;;;
Q21;2019;060001625;060006889;2400;1.4;;;;
Q21;2019;060001625;060006889;9999;1.4;;;;
Q21;2019;060002102;060791761;1000;0.5;;;;
Q21;2019;060002102;060791761;2000;40.7;;1.4;12.32;13
Q21;2019;060002102;060791761;2100;36.4;;1.4;11.16;13
Q21;2019;060002102;060791761;2400;4;;;1.16;
Q21;2019;060002102;060791761;2500;0.3;;;;
Q21;2019;060002102;060791761;9999;41.2;;1.4;12.32;13
Q21;2019;060005469;920030269;2000;6.03;;;;1
Q21;2019;060005469;920030269;2200;;;;;1
Q21;2019;060005469;920030269;2400;6.03;;;;
Q21;2019;060005469;920030269;9999;6.03;;;;1
Q21;2019;060006558;060798865;2000;0.81;;;;
Q21;2019;060006558;060798865;2300;0.81;;;;
Q21;2019;060006558;060798865;9999;0.81;;;;
Q21;2019;060010899;060785011;2000;10.34;1.85;;4.33;
Q21;2019;060010899;060785011;2100;10.34;1.85;;4.33;
Q21;2019;060010899;060785011;9999;10.34;1.85;;4.33;
Q21;2019;060010949;060790540;2000;0.2;;;;4
Q21;2019;060010949;060790540;2100;0.2;;;;4
