BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
CHIRCAR_P;2019;130000409;130041916;N2120;;;0.29;;
CHIRCAR_P;2019;130000409;130041916;N2200;4;2;5.56;;
CHIRCAR_P;2019;130000409;130041916;N4130;4;;4.12;;
CHIRCAR_P;2019;130000409;130041916;NAUT;;;0.77;;
CHIRCAR_P;2019;130002827;130789274;M2140;0;1;0.2;;
CHIRCAR_P;2019;130002835;130789316;M1040;;7;0.1;;1
CHIRCAR_P;2019;130002835;130789316;N2200;;3;0.1;;
CHIRCAR_P;2019;130041767;130041262;M103X;;18;1;0;1
CHIRCAR_P;2019;130041767;130041262;M1040;3;2;3.3;0;1
CHIRCAR_P;2019;130041767;130041262;N2120;1;;1;;
CHIRCAR_P;2019;130041767;130041262;N2200;3;;2.76;;
CHIRCAR_P;2019;130041767;130041262;N4130;4;3;4.26;;
CHIRCAR_P;2019;130041767;130041262;NAUT;4;;4;;
CHIRCAR_P;2019;130042096;130042062;M103X;5;;5;1;0
CHIRCAR_P;2019;130042096;130042062;M1040;11;;11;1;0
CHIRCAR_P;2019;130042096;130042062;N2120;1;0;1;;
CHIRCAR_P;2019;130042096;130042062;N2200;5;0;5;;
CHIRCAR_P;2019;130042096;130042062;N4130;4;0;4;;
CHIRCAR_P;2019;130042096;130042062;NAUT;1;0;1;;
CHIRCAR_P;2019;130780521;130786049;M1040;3;8;5.79;;
CHIRCAR_P;2019;130780521;130786049;M104H;3;8;5.79;;
CHIRCAR_P;2019;130780521;130786049;M2140;;2;0.43;;
CHIRCAR_P;2019;130780521;130786049;MAUT;2;2;0.98;;
CHIRCAR_P;2019;130780521;130786049;N2120;1;1;1.5;;
CHIRCAR_P;2019;130780521;130786049;N2200;39;18;46.28;;
CHIRCAR_P;2019;130780521;130786049;N2510;25;15;32.06;;
CHIRCAR_P;2019;130780521;130786049;N4130;5;1;5.98;;
CHIRCAR_P;2019;130780521;130786049;NAUT;6;15;12.78;;
CHIRCAR_P;2019;130781479;130000599;M103X;2;;2;1;1
CHIRCAR_P;2019;130781479;130000599;M1040;10;14;17;1;1
CHIRCAR_P;2019;130781479;130000599;M1160;;;;0;1
CHIRCAR_P;2019;130781479;130000599;MAUT;;;;0;1
CHIRCAR_P;2019;130781479;130000599;N2120;1;;1;;
CHIRCAR_P;2019;130781479;130000599;N2200;4;;4;;
CHIRCAR_P;2019;130781479;130000599;N2510;1;;1;;
CHIRCAR_P;2019;130781479;130000599;N4130;1;;1;;
CHIRCAR_P;2019;130782147;130000979;M103X;3;4;5;1;1
CHIRCAR_P;2019;130782147;130000979;M1040;2;2;3;1;1
CHIRCAR_P;2019;130782147;130000979;M1160;;5;2.5;0;1
CHIRCAR_P;2019;130782147;130000979;MAUT;;;;1;1
CHIRCAR_P;2019;130782147;130000979;N2120;;1;0.5;;
CHIRCAR_P;2019;130782147;130000979;N2200;1;1;1.5;;
CHIRCAR_P;2019;130782147;130000979;N4130;;7;2;;
CHIRCAR_P;2019;130782147;130000979;NAUT;;1;0.5;;
CHIRCAR_P;2019;130783293;130786049;M1040;3;1;2.86;;
CHIRCAR_P;2019;130783293;130786049;M104H;3;1;2.86;;
CHIRCAR_P;2019;130783293;130786049;M2140;;2;0.6;;
CHIRCAR_P;2019;130783293;130786049;N2120;1;;1.42;;
CHIRCAR_P;2019;130783293;130786049;N2200;23;7;25.29;;
CHIRCAR_P;2019;130783293;130786049;N2510;18;2;20.28;;
CHIRCAR_P;2019;130783293;130786049;NAUT;3;2;4;;
CHIRCAR_P;2019;130784051;130037823;M103X;8;6;6;;
CHIRCAR_P;2019;130784051;130037823;M1040;5;5;7.5;;
CHIRCAR_P;2019;130784051;130037823;M104H;2;2;3;;
CHIRCAR_P;2019;130784051;130037823;M1160;;6;0.3;;
CHIRCAR_P;2019;130784051;130037823;M2140;3;;4;;
CHIRCAR_P;2019;130784051;130037823;N2120;4;;3.85;;
CHIRCAR_P;2019;130784051;130037823;N2200;37;1;44.67;;
CHIRCAR_P;2019;130784051;130037823;N2320;;1;0.78;;
CHIRCAR_P;2019;130784051;130037823;N2510;11;1;16.99;;
CHIRCAR_P;2019;130784051;130037823;N4130;7;;6.97;;
CHIRCAR_P;2019;130784713;130038847;M103X;3;5;5.5;;1
CHIRCAR_P;2019;130784713;130038847;M1040;;5;2.5;;1
CHIRCAR_P;2019;130784713;130038847;M1160;1;1;1.5;;1
CHIRCAR_P;2019;130784713;130038847;N2200;3;1;3.98;;
CHIRCAR_P;2019;130784713;130038847;N2310;;1;0.51;;
CHIRCAR_P;2019;130784713;130038847;N4130;2;;2;;
CHIRCAR_P;2019;130785652;130014228;M103X;5;1;5.5;1;0
CHIRCAR_P;2019;130785652;130014228;M1040;4;29;16.4;1;0
CHIRCAR_P;2019;130785652;130014228;M104H;4;1;4.3;1;0
CHIRCAR_P;2019;130785652;130014228;M1140;;;;1;0
CHIRCAR_P;2019;130785652;130014228;M1160;;;;1;0
CHIRCAR_P;2019;130785652;130014228;M2140;3;3;4.6;1;0
CHIRCAR_P;2019;130785652;130014228;N2120;;2;0.66;;
CHIRCAR_P;2019;130785652;130014228;N2200;7;;5.95;;
CHIRCAR_P;2019;130785652;130014228;N2310;1;;1;;
CHIRCAR_P;2019;130785652;130014228;N4130;5;;5.2;;
CHIRCAR_P;2019;130785652;130014228;NAUT;3;;3.02;;
CHIRCAR_P;2019;130804297;130786049;M1040;;2;0.54;;
CHIRCAR_P;2019;130804297;130786049;M104H;;2;0.54;;
CHIRCAR_P;2019;130804297;130786049;NAUT;2;;2;;
CHIRCAR_P;2019;140000209;140000100;M1040;5;;2.98;1;1
CHIRCAR_P;2019;140000209;140000100;M2140;5;;4.65;1;0
CHIRCAR_P;2019;140000209;140000100;N2120;3;;2.24;;
CHIRCAR_P;2019;140000209;140000100;N2200;24;18;35.59;;
CHIRCAR_P;2019;140000209;140000100;N2510;17;15;27;;
CHIRCAR_P;2019;140000209;140000100;NAUT;16;1;14.74;;
CHIRCAR_P;2019;140017237;140003278;M103X;18;;18;;
CHIRCAR_P;2019;140017237;140003278;M1040;9;2;10.6;;
CHIRCAR_P;2019;140017237;140003278;M2140;3;;3;;
CHIRCAR_P;2019;140017237;140003278;N2120;2;0;2;;
CHIRCAR_P;2019;140017237;140003278;N2200;26;7;31.8;;
CHIRCAR_P;2019;140017237;140003278;N2320;8;31;22.28;;
