BOR;AN;FI;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP
SSR;2019;010780492;360000707;SSR_E52;1;29;;6;;4077;;2038
SSR;2019;010780492;360000707;SSR_E57;1;32;;12;;4744;;4602
SSR;2019;010780492;360000707;SSR_TOT;;67;24455;40;1760;11083;8;9368
SSR;2019;010780708;310021381;SSR_A;;65;23725;10;773;20026;12;1468
SSR;2019;010780708;310021381;SSR_A50;1;65;;10;;20026;;1468
SSR;2019;010780708;310021381;SSR_TOT;;65;23725;10;773;20026;12;1468
SSR;2019;010780799;750721334;SSR_A;;30;8915;;264;8915;8;0
SSR;2019;010780799;750721334;SSR_A50;1;20;;;;8391;;0
SSR;2019;010780799;750721334;SSR_A51;1;10;;;;524;;0
SSR;2019;010780799;750721334;SSR_TOT;;30;8915;;264;8915;8;0
SSR;2019;020000089;020000022;SSR_A;;42;15330;;489;13253;20;0
SSR;2019;020000089;020000022;SSR_A50;1;22;;;;6796;;0
SSR;2019;020000089;020000022;SSR_A59;1;20;;;;6457;;0
SSR;2019;020000089;020000022;SSR_TOT;;42;15330;;489;13253;20;0
SSR;2019;020000097;020000048;SSR_A;;31;11315;;278;9908;14;0
SSR;2019;020000097;020000048;SSR_A50;1;31;;;;9908;;0
SSR;2019;020000097;020000048;SSR_A59;1;;;;;;;0
SSR;2019;020000097;020000048;SSR_TOT;;31;11315;;278;9908;14;0
SSR;2019;020000105;020000055;SSR_A;;15;5475;;247;3767;1;0
SSR;2019;020000105;020000055;SSR_A50;1;15;;;;3767;;0
SSR;2019;020000105;020000055;SSR_TOT;;15;5475;;247;3767;1;0
SSR;2019;020000162;020000063;SSR_A;;56;19096;;605;17005;27;0
SSR;2019;020000162;020000063;SSR_A50;1;7;;;;1712;;0
SSR;2019;020000162;020000063;SSR_A51;1;8;;;;3521;;0
SSR;2019;020000162;020000063;SSR_A52;1;11;;;;2648;;0
SSR;2019;020000162;020000063;SSR_A59;1;30;;;;9124;;0
SSR;2019;020000162;020000063;SSR_TOT;;56;19096;;605;17005;27;0
SSR;2019;020000246;020000071;SSR_A;;33;12045;;259;6533;8;0
SSR;2019;020000246;020000071;SSR_A50;1;33;;;;6533;;0
SSR;2019;020000246;020000071;SSR_TOT;;33;12045;;259;6533;8;0
SSR;2019;020000303;750814030;SSR_A;;307;106411;16;4102;92571;176;8130
SSR;2019;020000303;750814030;SSR_A50;1;20;;;;7075;;0
SSR;2019;020000303;750814030;SSR_A51;1;113;;6;;31539;;3169
SSR;2019;020000303;750814030;SSR_A52;1;30;;5;;8155;;2768
SSR;2019;020000303;750814030;SSR_A53;1;9;;0;;2705;;0
SSR;2019;020000303;750814030;SSR_A54;1;27;;0;;9019;;
SSR;2019;020000303;750814030;SSR_A55;1;47;;1;;14063;;551
SSR;2019;020000303;750814030;SSR_A59;1;61;;4;;20015;;1642
SSR;2019;020000303;750814030;SSR_TOT;;307;106411;16;4102;92571;176;8130
SSR;2019;020000394;020000253;SSR_A;;;;16;0;0;0;2595
SSR;2019;020000394;020000253;SSR_A53;1;;;16;;0;;2595
SSR;2019;020000394;020000253;SSR_TOT;;;;16;0;0;0;2595
SSR;2019;020000519;020000261;SSR_A;;60;21210;;754;18563;20;0
SSR;2019;020000519;020000261;SSR_A50;1;60;;;;18563;;0
SSR;2019;020000519;020000261;SSR_A59;1;;;;;0;;0
SSR;2019;020000519;020000261;SSR_TOT;;60;21210;;754;18563;20;0
SSR;2019;020000535;020000287;SSR_A;;38;13870;;194;6134;4;0
SSR;2019;020000535;020000287;SSR_A50;1;38;;;;6134;;0
SSR;2019;020000535;020000287;SSR_A54;1;;;;;0;;0
SSR;2019;020000535;020000287;SSR_A59;1;;;;;;;0
SSR;2019;020000535;020000287;SSR_TOT;;38;13870;;194;6134;4;0
SSR;2019;020000915;020003620;SSR_A;;184;61516;16;1525;49447;149;5496
SSR;2019;020000915;020003620;SSR_A50;1;184;;16;;49447;;5496
SSR;2019;020000915;020003620;SSR_A51;1;;;;;0;;0
SSR;2019;020000915;020003620;SSR_A52;1;;;;;0;;0
SSR;2019;020000915;020003620;SSR_A55;1;;;;;0;;0
SSR;2019;020000915;020003620;SSR_TOT;;184;61516;16;1525;49447;149;5496
SSR;2019;020001087;020004495;SSR_A;;30;10950;0;290;9472;24;0
SSR;2019;020001087;020004495;SSR_A50;1;30;;0;;9472;;0
SSR;2019;020001087;020004495;SSR_TOT;;30;10950;0;290;9472;24;0
SSR;2019;020003877;020000253;SSR_A;;40;14600;;454;12978;12;0
SSR;2019;020003877;020000253;SSR_A59;1;40;;;;12978;;0
SSR;2019;020003877;020000253;SSR_TOT;;40;14600;;454;12978;12;0
SSR;2019;020010310;750719361;SSR_A;;14;4725;0;100;4725;11;0
SSR;2019;020010310;750719361;SSR_A58;1;14;;0;;4725;;0
SSR;2019;020010310;750719361;SSR_TOT;;14;4725;0;100;4725;11;0
SSR;2019;020016341;750814030;SSR_A;;;;8;0;0;0;3387
SSR;2019;020016341;750814030;SSR_A51;1;;;6;;0;;3043
SSR;2019;020016341;750814030;SSR_A52;1;;;1;;0;;284
SSR;2019;020016341;750814030;SSR_A54;1;;;1;;0;;60
SSR;2019;020016341;750814030;SSR_TOT;;;;8;0;0;0;3387
SSR;2019;030000012;030180020;SSR_A;;59;21535;10;500;16246;22;2655
SSR;2019;030000012;030180020;SSR_A51;1;56;;9;;15431;;2519
SSR;2019;030000012;030180020;SSR_A52;1;3;;1;;815;;136
SSR;2019;030000012;030180020;SSR_TOT;;59;21535;10;500;16246;22;2655
SSR;2019;030000061;030780092;SSR_A;;40;14600;7;373;13621;22;1775
SSR;2019;030000061;030780092;SSR_A50;1;18;;1;;7480;;299
SSR;2019;030000061;030780092;SSR_A59;1;22;;6;;6141;;1476
SSR;2019;030000061;030780092;SSR_TOT;;40;14600;7;373;13621;22;1775
SSR;2019;030000079;030780100;SSR_A;;30;10950;;485;10568;1;0
SSR;2019;030000079;030780100;SSR_A50;1;;;;;0;;0
SSR;2019;030000079;030780100;SSR_A59;1;30;;;;10568;;0
SSR;2019;030000079;030780100;SSR_TOT;;30;10950;;485;10568;1;0
SSR;2019;030000087;030780118;SSR_A;;70;25550;5;779;25165;46;1502
SSR;2019;030000087;030780118;SSR_A50;1;24;;5;;8590;;1502
SSR;2019;030000087;030780118;SSR_A59;1;46;;;;16575;;0
SSR;2019;030000087;030780118;SSR_TOT;;70;25550;5;779;25165;46;1502
SSR;2019;030000095;030780126;SSR_A;;40;14600;2;348;13849;33;58
SSR;2019;030000095;030780126;SSR_A50;1;40;;2;;13849;;58
SSR;2019;030000095;030780126;SSR_TOT;;40;14600;2;348;13849;33;58
SSR;2019;030002208;030002158;SSR_A;;89;32485;0;484;21131;60;0
SSR;2019;030002208;030002158;SSR_A50;1;61;;0;;19611;;0
SSR;2019;030002208;030002158;SSR_A58;1;28;;0;;1520;;0
SSR;2019;030002208;030002158;SSR_TOT;;89;32485;0;484;21131;60;0
SSR;2019;030007942;030002158;SSR_A;;36;13140;5;407;9826;18;752
SSR;2019;030007942;030002158;SSR_A50;1;36;;5;;9826;;752
SSR;2019;030007942;030002158;SSR_TOT;;36;13140;5;407;9826;18;752
SSR;2019;030780548;030000194;SSR_A;;55;20075;10;459;14249;14;7324
SSR;2019;030780548;030000194;SSR_A50;1;30;;10;;8822;;7324
SSR;2019;030780548;030000194;SSR_A59;1;25;;;;5427;;0
SSR;2019;030780548;030000194;SSR_TOT;;55;20075;10;459;14249;14;7324
SSR;2019;030781116;030000426;SSR_A;;67;24455;;580;17848;11;0
SSR;2019;030781116;030000426;SSR_A50;1;67;;;;17848;;0
SSR;2019;030781116;030000426;SSR_TOT;;67;24455;;580;17848;11;0
SSR;2019;040000028;040780124;SSR_A;;20;7300;;118;3034;3;0
SSR;2019;040000028;040780124;SSR_A50;1;20;;;;3034;;0
SSR;2019;040000028;040780124;SSR_TOT;;20;7300;;118;3034;3;0
SSR;2019;040000036;040780132;SSR_A;;10;3650;;115;2715;1;0
SSR;2019;040000036;040780132;SSR_A50;1;10;;;;2715;;0
