BOR;AN;FI;FI_EJ;TELEMED_A1;TELEMED_A20;TELEMED_A21;TELEMED_A22;TELEMED_B1;TELEMED_B20;TELEMED_B21;TELEMED_B22;TELEMED_A2;TELEMED_A23;TELEMED_B2;TELEMED_B23;TELEMED_A3;TELEMED_A24;TELEMED_A25;TELEMED_B3;TELEMED_B24;TELEMED_B25;TELEMED_A4;TELEMED_B4;TELEMED_A17;TELEMED_A18;TELEMED_A19;TELEMED_A6;TELEMED_A26;TELEMED_A27;TELEMED_A28;TELEMED_A29;TELEMED_A30;TELEMED_A31;TELEMED_A32;TELEMED_A33;TELEMED_A34;TELEMED_A35;TELEMED_A36;TELEMED_A37;TELEMED_A38
TELEMED;2019;050000223;050000108;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;050000231;050000116;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
TELEMED;2019;050000256;050000124;1;1;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;050000348;050002948;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;10;1;0;0;0;0;1;1;1;1;0;0;0;0;0
TELEMED;2019;060000411;060780780;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;2;1;0;1;1;1;0;1;0;1;0;1;1;0;0
TELEMED;2019;060000478;060780897;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;060000528;060780962;1;1;0;1;1;1;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;060000544;060780988;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;1
TELEMED;2019;060019213;060005188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;060780491;060790797;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;060780947;060800174;0;;;;0;;;;1;1;0;0;0;;;0;;;0;0;1;0;;1;0;0;1;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;060780996;630786754;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;060785003;060785011;1;0;0;1;0;;;;1;1;0;0;0;;;0;;;0;0;1;0;;0;0;0;0;1;1;1;0;0;0;0;0;0;0
TELEMED;2019;060789195;060785011;1;0;1;0;0;;;;1;1;0;;0;;;0;;;0;0;1;0;;0;0;0;0;0;1;1;0;0;0;1;1;0;0
TELEMED;2019;060790177;060785011;0;;;;0;;;;0;1;0;;0;;;0;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;060794013;060790797;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;060800174;;0;;;;0;;;;1;1;1;0;0;;;0;;;0;0;1;0;;1;0;0;1;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;070000013;070002878;0;;;;0;;;;0;;0;;0;;;0;;;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;070000021;070007927;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0
TELEMED;2019;070000070;070780150;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;;0;0;0;0;1;0;1;0;0;0;0;0;0;0
TELEMED;2019;070000096;070780184;0;0;0;0;0;;;;0;0;1;0;0;0;0;0;;;0;0;1;0;;1;0;1;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;070000112;070007927;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0
TELEMED;2019;070000187;070780366;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;1;0;1;0;0;0;0;0;0;0;0;0;0;1
TELEMED;2019;070000609;070005566;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;;0;0;1;0;0;0;1;0;0;1;0;0;0;1
TELEMED;2019;080000110;080000037;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;080000219;080001969;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;080000276;080001969;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;080000425;080000615;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;090000019;090180019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;1;0;0
TELEMED;2019;090000175;090781774;0;;;;0;;;;1;1;1;1;0;;;0;;;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;090000183;090781816;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;100000090;100000017;1;1;1;1;1;1;0;0;0;;0;1;0;;0;1;1;0;0;0;1;1;34;0;0;0;0;1;1;1;0;0;0;1;1;0;0
TELEMED;2019;100000116;100000041;0;;;;1;0;0;0;0;;0;;0;;;0;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;110000023;110780061;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;;0;0;1;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;110000049;110780087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;110000247;110780772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;110005048;110000114;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;110780194;110000080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2019;120000054;120780069;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;;0;0;1;1;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;120000153;120780291;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;120000237;120780481;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;120001748;340000264;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;0;0;0;0;0;0
TELEMED;2019;120004569;120004528;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;120004668;120004619;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;120780135;120000104;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;0;1;0;0;0;0;1;0;0
TELEMED;2019;120780283;630786754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;0;0;0;1;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;130000409;130041916;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;
TELEMED;2019;130001225;130782634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;130001647;130784127;0;0;;;0;;;;1;1;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
