BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;COMEHPAD
USLD_P;2019;010000081;010780112;M1320;;2;0.17;1
USLD_P;2019;010000081;010780112;MEDCH;1;6;0.36;1
USLD_P;2019;010000081;010780112;N2210;4;2;3.7;1
USLD_P;2019;010000081;010780112;N2410;2;;0.06;1
USLD_P;2019;010000081;010780112;N2460;;1;0.07;1
USLD_P;2019;010000081;010780112;N2510;15;11;5.45;1
USLD_P;2019;010000081;010780112;N3120;;1;0.05;1
USLD_P;2019;010000081;010780112;NAUT;;21;11.2;1
USLD_P;2019;010000115;010009132;MEDCH;;1;0.83;
USLD_P;2019;010000115;010009132;N2210;1;1;1.09;
USLD_P;2019;010000115;010009132;N2410;;1;1;
USLD_P;2019;010000115;010009132;N2460;;1;0.14;
USLD_P;2019;010000115;010009132;N2510;;3;0.3;
USLD_P;2019;010000115;010009132;N3120;;1;0.11;
USLD_P;2019;010000115;010009132;NAUT;;2;0.17;
USLD_P;2019;010009314;010780054;M1320;;5;1.72;
USLD_P;2019;010009314;010780054;MEDCH;;5;1.75;
USLD_P;2019;010009314;010780054;N2210;13;3;14.92;
USLD_P;2019;010009314;010780054;N2510;19;8;22.19;
USLD_P;2019;010009314;010780054;NAUT;9;3;10.07;
USLD_P;2019;010009702;010780054;N2210;3;2;4.7;
USLD_P;2019;010009702;010780054;N2460;;1;0.3;
USLD_P;2019;010009702;010780054;N2510;7;5;9.41;
USLD_P;2019;010009702;010780054;NAUT;1;4;3.61;
USLD_P;2019;010786259;010008407;MEDCH;0;1;0.65;
USLD_P;2019;010786259;010008407;N2210;5;3;3;
USLD_P;2019;010786259;010008407;N2510;4;1;5.11;
USLD_P;2019;010786259;010008407;NAUT;3;2;4.92;
USLD_P;2019;010789576;010780096;M1320;;1;0.5;1
USLD_P;2019;010789576;010780096;MEDCH;;1;0.5;1
USLD_P;2019;010789576;010780096;N2210;3;9;7.47;0
USLD_P;2019;010789576;010780096;N2410;;1;0.3;0
USLD_P;2019;010789576;010780096;N2460;;1;0.3;1
USLD_P;2019;010789576;010780096;N2510;3;10;8.1;0
USLD_P;2019;010789576;010780096;N3120;;;0.1;1
USLD_P;2019;010789576;010780096;NAUT;5;11;8.17;1
USLD_P;2019;010789717;010008407;MEDCH;0;1;0.65;
USLD_P;2019;010789717;010008407;N2210;3;3;3.62;
USLD_P;2019;010789717;010008407;N2510;7;0;7;
USLD_P;2019;010789717;010008407;NAUT;2;1;3.39;
USLD_P;2019;020000089;020000022;M1320;0;1;0.17;0
USLD_P;2019;020000089;020000022;MEDCH;0;1;0.45;0
USLD_P;2019;020000089;020000022;N2210;6;0;6;0
USLD_P;2019;020000089;020000022;N2510;12;3;11.95;0
USLD_P;2019;020000089;020000022;N3120;0;2;0.22;0
USLD_P;2019;020000089;020000022;NAUT;8;2;8.74;0
USLD_P;2019;020000162;020000063;M1320;0;2;0.5;1
USLD_P;2019;020000162;020000063;MEDCH;0;2;0.5;1
USLD_P;2019;020000162;020000063;N2210;7;5;9.83;1
USLD_P;2019;020000162;020000063;N2510;32;4;31.56;1
USLD_P;2019;020000162;020000063;NAUT;11;11;15.11;1
USLD_P;2019;020000535;020000287;M1320;;;;1
USLD_P;2019;020000535;020000287;MEDCH;0;2;1.2;1
