BOR;AN;FI;FI_EJ;EQUIPSSR;SANSEQ;EQPL;EQAU
SSR2;2019;010000198;010007987;ASSMAR;1;;
SSR2;2019;010000198;010007987;ASSMEM;1;;
SSR2;2019;010000198;010007987;EXPEQU;1;;
SSR2;2019;010000198;010007987;EXPURO;1;;
SSR2;2019;010000198;010007987;IDRACH;1;;
SSR2;2019;010000198;010007987;ISOCIN;1;;
SSR2;2019;010000198;010007987;LABMAR;1;;
SSR2;2019;010000198;010007987;PISCIN;;1;
SSR2;2019;010000198;010007987;SALINT;1;;
SSR2;2019;010000198;010007987;SIMESP;1;;
SSR2;2019;010000198;010007987;STICON;1;;
SSR2;2019;010000198;010007987;VEHADP;1;;
SSR2;2019;010000214;010007987;APTAUT;1;;
SSR2;2019;010000214;010007987;ASSMAR;1;;
SSR2;2019;010000214;010007987;ASSMEM;1;;
SSR2;2019;010000214;010007987;EXPEQU;1;;
SSR2;2019;010000214;010007987;EXPURO;1;;
SSR2;2019;010000214;010007987;IDRACH;1;;
SSR2;2019;010000214;010007987;ISOCIN;1;;
SSR2;2019;010000214;010007987;LABMAR;1;;
SSR2;2019;010000214;010007987;PISCIN;;;1
SSR2;2019;010000214;010007987;SALINT;1;;
SSR2;2019;010000214;010007987;SIMESP;1;;
SSR2;2019;010000214;010007987;STICON;1;;
SSR2;2019;010000214;010007987;VEHADP;1;;
SSR2;2019;010002129;750056335;APTAUT;1;;
SSR2;2019;010002129;750056335;ASSMAR;1;;
SSR2;2019;010002129;750056335;ASSMEM;1;;
SSR2;2019;010002129;750056335;EXPEQU;;;1
SSR2;2019;010002129;750056335;EXPURO;;;1
SSR2;2019;010002129;750056335;IDRACH;1;;
SSR2;2019;010002129;750056335;ISOCIN;;;1
SSR2;2019;010002129;750056335;LABMAR;;;1
SSR2;2019;010002129;750056335;PISCIN;;1;
SSR2;2019;010002129;750056335;SALINT;1;;
SSR2;2019;010002129;750056335;SIMESP;1;;
SSR2;2019;010002129;750056335;STICON;;;1
SSR2;2019;010002129;750056335;VEHADP;;;1
SSR2;2019;010005239;010008407;APTAUT;1;;
SSR2;2019;010005239;010008407;ASSMAR;1;;
SSR2;2019;010005239;010008407;ASSMEM;1;;
SSR2;2019;010005239;010008407;EXPEQU;1;;
SSR2;2019;010005239;010008407;EXPURO;1;;
SSR2;2019;010005239;010008407;IDRACH;1;;
SSR2;2019;010005239;010008407;ISOCIN;1;;
SSR2;2019;010005239;010008407;LABMAR;1;;
SSR2;2019;010005239;010008407;PISCIN;1;;
SSR2;2019;010005239;010008407;SALINT;1;;
SSR2;2019;010005239;010008407;SIMESP;1;;
SSR2;2019;010005239;010008407;STICON;1;;
SSR2;2019;010005239;010008407;VEHADP;1;;
