BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;INTURG;FFI;INTTOT
Q22;2019;610000119;610780165;5;0;0;4;0;15;24
Q22;2019;610780116;610790594;1;;;;;;1
Q22;2019;620000026;620003814;;;;;;2;2
Q22;2019;620000034;620100057;36;3;0;27;6;6;78
Q22;2019;620000224;620100651;12;4;0;19;7;0;42
Q22;2019;620000240;620100677;10;0;0;3;0;0;13
Q22;2019;620000257;620100685;74;3;0;27;0;11;115
Q22;2019;620000281;620101287;11;;;6;0;9;26
Q22;2019;620000323;620101337;23;;1;;7;7;38
Q22;2019;620000349;620101360;3;;;6;;12;21
Q22;2019;620000653;620103440;35;;;13;1;9;58
Q22;2019;620002154;620112607;1;;;;;;1
Q22;2019;620003202;620103432;11;;;18;5;;34
Q22;2019;620003350;620001834;1;0;0;0;0;0;1
Q22;2019;620003376;620001834;4;;;;;;4
Q22;2019;620003475;620100685;3;0;0;1;0;1;5
Q22;2019;620018143;620100057;3;0;0;0;0;0;3
Q22;2019;620025346;620001834;1;;;;;;1
Q22;2019;620026690;620027839;1;;;;;;1
Q22;2019;620027664;620003814;;;;;;3;3
Q22;2019;620100099;620014779;;1;;;;;1
Q22;2019;620100347;590039863;2;;;;;;2
Q22;2019;630000131;630003168;;;;;1;;1
Q22;2019;630000149;630780302;3;;;;;;3
Q22;2019;630000404;630780989;196;20;;8;;17;241
Q22;2019;630000412;630780997;;;;2;;1;3
Q22;2019;630000420;630781003;4;1;;5;;4;14
Q22;2019;630000438;630781011;6;1;;6;2;;15
Q22;2019;630000446;630781029;;1;;7;;;8
Q22;2019;630000479;630781110;42;4;0;0;0;1;47
Q22;2019;630000487;630781136;1;;;;;;1
Q22;2019;630010296;630001188;1;;;;;;1
Q22;2019;630780195;630786754;19;;;;;;19
Q22;2019;630781268;630780989;129;8;13;11;;9;170
Q22;2019;630781755;630011518;2;;;;;;2
Q22;2019;630781771;630780989;22;;;;;1;23
Q22;2019;630781839;630000826;3;;;;;;3
Q22;2019;630783538;630780989;6;;;;;1;7
Q22;2019;630785756;630001188;1;;;;;;1
Q22;2019;640000162;640780417;50;;;35;;;85
Q22;2019;640000402;640780813;;;;5;2;1;8
Q22;2019;640000410;640780821;;;;7;;;7
