BOR;AN;FI;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A12;GCS_PM;GHT_PM;AUT_PM;GCS_PARA;GHT_PARA;AUT_PARA;GCS_ADMTECLOG;GHT_ADMTECLOG;AUT_ADMTECLOG
ORG;2019;020009684;020002085;;;;1;B;;;;;;;;1;B;;;;;1;;;24;;;;;;0;;;;;;;0;;;;;;;;;
ORG;2019;020010047;020001632;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;5;;
ORG;2019;020010310;750719361;;;;;;;;;;;;;;;;;;;;;;13;C;D;;;;0;;;;;;;0;;;;;;;;;
ORG;2019;030000012;030180020;;;;1;A;;;;;;;;1;B;;;;;;;;4;C;D;;;;;;;;;;;1;;;0.4;;;1.67;;;1.01
ORG;2019;030000061;030780092;1;C;;4;A;C;;;;;;;;;;1;D;;;;;168;A;C;;;;0;;;;;;;;0;0;5.03;0;0;10.09;43;0;2.74
ORG;2019;030000079;030780100;;;;;;;;;;;;;;;;;;;;;;20;C;D;;;;1;1;TERRITOIRES D'AUVERGNE;;;;;0.5;;;;;;;;;
ORG;2019;030000087;030780118;;;;3;D;G;;;;;;;1;A;;;;;1;C;;;;;;;;1;1;TERRITOIRES D'AUVERGNE;;;;;1;;;7.3;;;16.68;;1.8;38.3
ORG;2019;030000095;030780126;;;;2;C;;;;;;;;;;;;;;;;;22;A;C;3;A;C;;;;;;;;0.1;;;0.1;;;0.46;;;0.33
ORG;2019;030000160;030780282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;;;;0.1;
ORG;2019;030002208;030002158;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2019;030007942;030002158;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2019;030780548;030000194;;;;;;;;;;;;;;;;;;;;;;13;C;D;;;;0;;;;;;;;;;;;;;;;
ORG;2019;030781637;030780100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;TERRITOIRES D'AUVERGNE;;;;;0;;;;;;;;;
ORG;2019;030785430;030785422;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;;;7.21;;;7;;
