BOR;AN;FI;FI_EJ;AUTSU;AUTGEN;AUTSAIS;AUTPED;EMG
URGENCES;2019;010000024;010780054;1;1;0;0;1
URGENCES;2019;010000032;010780062;1;1;0;0;0
URGENCES;2019;010005239;010008407;1;1;0;0;
URGENCES;2019;010780195;010000156;1;1;0;0;1
URGENCES;2019;010780203;010010718;1;1;0;0;0
URGENCES;2019;020000162;020000063;1;1;0;1;1
URGENCES;2019;020000394;020000253;1;1;0;1;1
URGENCES;2019;020000519;020000261;1;1;0;1;1
URGENCES;2019;020000535;020000287;1;1;0;0;1
URGENCES;2019;020001061;020004404;1;1;0;0;1
URGENCES;2019;020001087;020004495;1;1;0;0;0
URGENCES;2019;020010047;020001632;1;1;0;0;0
URGENCES;2019;030000061;030780092;1;1;0;0;1
URGENCES;2019;030000079;030780100;1;1;0;0;1
URGENCES;2019;030000087;030780118;1;1;0;0;1
URGENCES;2019;030781116;030000426;1;1;0;0;0
URGENCES;2019;040000093;040780215;1;1;0;0;0
URGENCES;2019;040000135;050002948;1;1;0;0;1
URGENCES;2019;040000911;040788879;1;1;0;0;
URGENCES;2019;050000231;050000116;1;1;0;0;
URGENCES;2019;050000256;050000124;1;1;0;0;
URGENCES;2019;050000348;050002948;1;1;0;0;1
URGENCES;2019;060000478;060780897;1;1;0;0;
URGENCES;2019;060000510;060780954;1;1;0;0;1
URGENCES;2019;060000544;060780988;1;1;0;0;
URGENCES;2019;060002102;060791761;1;1;0;0;
URGENCES;2019;060780491;060790797;1;1;0;0;0
URGENCES;2019;060780517;060000239;1;1;0;0;0
URGENCES;2019;060780715;060000361;1;1;0;0;0
URGENCES;2019;060780723;060004959;1;1;0;0;0
URGENCES;2019;060780947;060800174;1;0;0;1;0
URGENCES;2019;060785003;060785011;1;1;0;0;1
URGENCES;2019;070000013;070002878;1;1;0;0;1
URGENCES;2019;070000179;070780358;1;1;0;0;1
URGENCES;2019;070000609;070005566;1;1;0;0;1
URGENCES;2019;070780424;070000245;1;1;0;0;0
URGENCES;2019;080000110;080000037;1;1;0;0;
URGENCES;2019;080000219;080001969;1;1;0;0;0
URGENCES;2019;080000276;080001969;1;1;0;0;
URGENCES;2019;080000425;080000615;1;1;0;0;
URGENCES;2019;090000175;090781774;1;1;0;0;1
URGENCES;2019;090000183;090781816;1;1;0;0;1
URGENCES;2019;090001629;090781774;1;1;0;0;0
URGENCES;2019;100000090;100000017;1;1;0;0;0
URGENCES;2019;100000199;100006279;1;1;0;0;0
URGENCES;2019;110000023;110780061;1;1;0;0;1
URGENCES;2019;110000049;110780087;1;1;0;0;0
URGENCES;2019;110000056;110780137;1;1;0;0;1
URGENCES;2019;110780228;110000114;1;1;0;0;0
URGENCES;2019;110780483;110000155;1;1;0;0;0
URGENCES;2019;120000039;120780044;1;1;0;0;0
URGENCES;2019;120000054;120780069;1;1;0;0;1
URGENCES;2019;120000070;120780085;1;1;0;0;0
URGENCES;2019;120004569;120004528;1;1;0;0;1
URGENCES;2019;120004668;120004619;1;1;0;0;0
URGENCES;2019;130000409;130041916;1;1;0;0;
URGENCES;2019;130000565;130781446;1;1;0;0;1
URGENCES;2019;130001225;130782634;1;1;0;0;1
URGENCES;2019;130002215;130785512;1;1;0;0;0
URGENCES;2019;130002827;130789274;1;1;0;0;1
URGENCES;2019;130002835;130789316;1;1;0;0;1
URGENCES;2019;130043664;130002157;1;1;0;0;
URGENCES;2019;130780521;130786049;1;1;0;0;
URGENCES;2019;130781479;130000599;1;1;0;0;0
URGENCES;2019;130782071;130002454;1;1;0;0;0
URGENCES;2019;130782147;130000979;1;1;0;0;0
URGENCES;2019;130783293;130786049;1;1;0;0;1
URGENCES;2019;130784713;130038847;1;1;0;0;0
URGENCES;2019;130785652;130014228;1;1;0;0;0
URGENCES;2019;130786361;130002447;1;1;0;0;0
URGENCES;2019;130786742;750821092;1;1;0;0;1
URGENCES;2019;130804297;130786049;1;0;0;1;0
URGENCES;2019;140000027;140000035;1;1;0;0;1
URGENCES;2019;140000209;140000100;1;1;0;1;
URGENCES;2019;140000233;140000118;1;1;0;0;0
URGENCES;2019;140000373;140000159;1;1;0;0;0
URGENCES;2019;140002452;140025800;1;1;0;0;0
URGENCES;2019;140016759;140003146;1;1;0;0;0
URGENCES;2019;140017237;140003278;1;1;0;0;0
URGENCES;2019;140024886;140000092;1;1;0;0;0
URGENCES;2019;140026410;140026279;1;1;0;0;
URGENCES;2019;150000032;150780088;1;1;0;0;0
URGENCES;2019;150000040;150780096;1;1;0;0;0
URGENCES;2019;150000164;150780468;1;1;0;0;0
URGENCES;2019;160000253;160000451;1;1;0;0;1
URGENCES;2019;160000303;160006037;1;1;0;0;1
URGENCES;2019;160000311;160000485;1;1;0;0;1
URGENCES;2019;160000337;160000493;1;1;0;0;0
URGENCES;2019;160015368;160014411;1;1;0;0;1
URGENCES;2019;170000038;170780050;1;1;0;0;0
URGENCES;2019;170000087;170024194;1;1;0;0;
URGENCES;2019;170000095;170780167;1;1;0;0;0
URGENCES;2019;170000103;170780175;1;1;0;0;1
URGENCES;2019;170000152;170780225;1;1;0;0;1
URGENCES;2019;170022065;170022057;1;1;0;0;
URGENCES;2019;170022818;170022057;1;1;0;0;0
URGENCES;2019;170022826;170022057;1;1;0;0;
URGENCES;2019;180000010;180000028;1;1;0;0;1
URGENCES;2019;180000200;180000051;1;1;0;0;1
URGENCES;2019;180000283;180000069;1;1;0;0;
URGENCES;2019;190000018;190000042;1;1;0;0;1
URGENCES;2019;190000026;190000059;1;1;0;0;1
URGENCES;2019;190000091;190000075;1;1;0;0;1
URGENCES;2019;210012670;210011367;1;1;0;0;0
URGENCES;2019;210987558;210780581;1;1;0;1;0
URGENCES;2019;210987657;210012175;1;1;0;0;1
URGENCES;2019;210987665;210012142;1;1;0;0;
URGENCES;2019;210987699;210780706;1;1;0;0;0
URGENCES;2019;220000012;220000020;1;1;0;0;1
URGENCES;2019;220000095;220000046;1;1;0;0;1
URGENCES;2019;220000343;220000079;1;1;0;0;0
URGENCES;2019;220000368;220000103;1;1;0;0;1
URGENCES;2019;220000541;220000152;1;1;0;0;1
URGENCES;2019;230000820;230780041;1;1;0;0;0
URGENCES;2019;230004657;230780058;1;1;0;0;0
URGENCES;2019;240000190;240000596;1;1;0;0;0
URGENCES;2019;240000372;240000059;1;1;0;0;1
URGENCES;2019;240000489;240000117;1;1;0;0;1
URGENCES;2019;240000687;240000448;1;1;0;0;
URGENCES;2019;250000700;250000452;1;1;0;0;0
URGENCES;2019;250006954;250000015;1;1;0;1;1
URGENCES;2019;260000013;260000021;1;1;0;0;1
URGENCES;2019;260000120;260016910;1;1;0;0;
URGENCES;2019;260000138;260000047;1;1;0;0;1
URGENCES;2019;260000146;260000054;1;1;0;0;
URGENCES;2019;260000203;260016910;1;1;0;0;
URGENCES;2019;260000286;260000104;1;1;0;0;0
URGENCES;2019;270000045;270000060;1;1;0;0;0
URGENCES;2019;270000326;270000680;1;1;0;0;0
URGENCES;2019;270000359;270023724;1;1;0;0;1
URGENCES;2019;270000367;270000086;1;1;0;0;0
