BOR;AN;FI;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2019;690797873;690043237;30;10171;43;14;0;0;1;13;0;0;23;0;0;0;0;0;6;0;0;0;0;0;15;9;2
USLD;2019;690801709;690802715;60;21900;23;21;0;;2;;3;;10;;0;;0;;8;0;3;2;0;0;;;
USLD;2019;690802251;690782222;40;14408;29;27;;;2;1;;;12;4;;;;;10;;;1;;10;2;;
USLD;2019;690802913;690044714;60;21747;21;19;;;;4;;;;7;;;;;10;;;4;;;1;;
USLD;2019;690803093;690780564;30;10462;13;16;;;;;;;;;;;;;;;;;;57;151;;
USLD;2019;700784341;700004096;30;10766;11;22;;;;;;;;;6;;;;5;;;;;;4;;
USLD;2019;710972365;710780644;70;24815;39;28;;;;;3;;21;6;;;;;6;;;;;;2;;
USLD;2019;710972423;710780263;79;27391;24;11;;;1;;1;;2;1;;;;;17;;;;;;12;1;
USLD;2019;710978248;710781451;54;17747;47;;;;8;1;5;;26;1;;;;;6;;;;;;2;;
USLD;2019;720000033;720000025;64;23266;27;13;0;;7;;2;;14;;0;;0;;4;0;0;0;4;0;3;0;0
USLD;2019;720000124;720000066;30;10406;24;12;;;13;;;;3;;;;;;8;;;;;;;;
USLD;2019;720000314;720000090;20;7211;11;6;;;;;;;7;;;;;;4;;;;;;4;;
USLD;2019;720000470;610780082;30;10432;12;9;;;;;;;3;;;1;;;8;;;;;;;;
USLD;2019;720000520;720000140;55;17936;18;16;;;;5;;;8;;;;;;5;;;;;;2;;
USLD;2019;720000801;720002054;30;10867;15;15;;;;4;;;;2;;;;;8;;;;;;;;
USLD;2019;720005909;720000025;126;45397;49;40;0;;10;1;9;;10;9;0;;;;10;0;0;0;1;0;4;0;0
USLD;2019;730000049;730002839;30;10745;32;23;;;4;;7;;11;;;;;;10;0;0;0;9;0;7;;
USLD;2019;730000080;730780103;30;11051;30;28;;;16;2;;;1;6;;;;;5;;;;23;;;;1
USLD;2019;730000098;730000015;30;10950;29;;;;4;;2;;5;0;;;;;1;;;;;;2;;
USLD;2019;730783552;730000015;53;29181;64;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;730785276;730002839;30;10847;22;17;;;2;1;1;2;6;;;;;;10;0;0;0;0;0;0;0;0
USLD;2019;740000286;740781190;30;10051;42;29;;;;;;;;;;;;;;;;;;;;;
USLD;2019;740000302;740781133;30;1036;0;2;0;0;0;0;5;0;0;0;0;0;0;0;0;;;;;;1;;
USLD;2019;740000401;740781893;50;17128;30;27;;;;13;;;;12;;;;5;;;;;;;3;;
USLD;2019;740001847;740780168;40;10856;11;12;0;0;1;3;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0
USLD;2019;740011481;740781133;80;21852;50;20;0;0;1;0;8;0;5;0;0;0;0;0;1;;;3;4;;2;0;0
USLD;2019;740788070;740790381;30;10613;20;12;;;;;5;;;;;;;;10;;;;;;;;
USLD;2019;740789532;740781208;45;15340;23;25;;;;;;;14;2;;;;;7;;;;;;;;
USLD;2019;750041543;750712184;60;20972;35;;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;8;0;0
USLD;2019;750100042;750712184;78;26988;32;;3;;4;;2;;26;;;;;;;;;;;;;;
USLD;2019;750100083;750712184;32;10764;11;17;;;;;;;11;;;;;;;;;;;;5;;
USLD;2019;750100125;750712184;37;13262;11;;;;;;;;11;;;;;;;;;;;;;;
USLD;2019;750100216;750712184;137;43286;60;34;;;;;;;;;;;;;;;;;;;2;;
USLD;2019;750100299;750712184;261;65446;76;91;1;;12;2;12;;42;5;;;;;2;;;;;;2;;2
USLD;2019;750150377;750721334;78;25720;71;44;;;;;;;;;;;;;;;;;;;;;
USLD;2019;750801441;750712184;246;95555;103;92;;;;;;;;;;;;;;;;;;;;;
USLD;2019;760000133;760780213;39;13689;19;20;0;0;0;3;0;0;12;0;0;0;0;0;4;0;0;0;0;0;3;0;0
USLD;2019;760000141;760780239;145;52572;31;29;;;7;;;;15;;;;;;9;;;0;0;;;;
USLD;2019;760000356;760780726;154;49604;84;68;0;;38;;5;;46;;6;;;;34;;;50;5;;7;4;0
USLD;2019;760000380;760780759;35;12679;26;24;;;;2;;;7;;;;;;17;2;;;2;;;;
USLD;2019;760023671;760780239;70;25152;29;27;;;2;;;;14;;;1;;;12;;;;2;;;;
USLD;2019;760783530;760780239;90;32307;33;32;;;2;;;;13;;;1;;;16;;;8;1;;;;
USLD;2019;760800938;760780023;130;45814;92;66;0;;2;;12;;19;;5;;0;;10;;;;;;1;0;0
USLD;2019;760806950;760780734;40;14334;25;24;;;3;1;;;14;;;;;;7;;;;;;;;
USLD;2019;770000156;770110054;41;13099;30;26;;;;;4;1;;1;;;;;24;;;;;;;;
USLD;2019;770000164;770021152;51;18344;49;;;;1;1;1;;7;1;;;;;4;;;;;;1;;
USLD;2019;770150027;750720575;12;71;1;0;;;;;;;;1;;;;;;0;0;0;0;0;0;0;0
USLD;2019;770813814;770021145;114;30200;37;37;;;4;;2;1;11;4;;;;;15;;;;;;1;;
USLD;2019;770814622;770021145;57;19391;48;;;;;;;;26;;;;;;3;;;5;2;;;;
USLD;2019;780000287;780110011;50;16890;19;16;0;0;1;0;0;0;5;5;0;;0;;8;0;0;0;0;0;;;
USLD;2019;780000303;780024113;64;20336;34;25;0;0;0;0;1;6;14;3;0;0;0;0;10;;;;22;;1;1;0
USLD;2019;780000311;780001236;90;31013;27;25;;;2;1;;;12;8;;;4;;;;;;;;5;1;
USLD;2019;780000337;780001236;20;7187;8;9;;;;;;;2;1;;;;;5;;;;;;0;0;0
USLD;2019;780000352;780110094;42;13815;0;11;;;;;;;;;;;;;;;;;;;;;
USLD;2019;780000360;780130019;40;13599;34;32;;;;11;;;;10;;;;;13;2;;5;10;;2;;2
USLD;2019;780000378;780130027;30;10210;43;35;0;0;9;11;0;0;0;0;0;0;0;0;19;0;0;0;0;0;1;0;0
USLD;2019;780150033;780020715;40;10071;33;;;;30;;;;;;;;3;;33;;;;;;;;
USLD;2019;780822748;780002697;32;11060;22;23;;;1;;1;;8;1;0;4;;;2;0;0;0;7;0;0;0;0
USLD;2019;790000087;790000012;71;16337;22;20;;;2;;1;;11;;6;;;;;;;;11;;;1;
USLD;2019;790000103;790006654;67;22419;66;35;1;;8;;;;25;;;;;;22;;;;;;6;10;
USLD;2019;790000111;790019491;35;12178;29;24;;5;6;;39;;;;;;;;10;;;;;;4;;
USLD;2019;790000145;790000079;30;9019;35;29;0;0;0;0;0;0;29;5;0;0;0;0;1;0;0;0;0;0;2;0;0
USLD;2019;800000200;800000051;30;9825;36;29;0;0;12;3;0;13;0;5;0;0;0;0;16;;;;;;;;
USLD;2019;800000226;800000069;35;12775;20;17;;;;;1;;10;3;;;;;5;0;0;0;0;0;;;
USLD;2019;800000275;800000077;30;10187;24;25;;;3;;;;16;1;;;;;20;;;;;;14;;3
USLD;2019;800000390;800000085;30;10903;36;13;1;0;2;1;0;0;9;0;0;0;0;0;23;;;;;;0;1;0
USLD;2019;800000432;800000093;30;10600;12;;;;;1;;;6;;;;;;5;;;;;;2;;
USLD;2019;800000507;800000135;98;34299;44;37;;;17;13;;;8;3;;;;;3;;;;;;;;
USLD;2019;800000614;800000044;190;61993;92;83;;;9;5;3;;45;11;;;;;19;;;;;;;;
USLD;2019;800009417;800000085;35;11659;12;9;0;0;0;0;0;0;5;0;0;0;0;0;7;0;0;0;0;0;0;0;0
USLD;2019;810000505;810000331;74;25028;61;54;;;6;9;10;;;21;;13;;;6;;;;;;9;;
USLD;2019;810000513;810000349;30;8885;25;18;;;11;2;;;;;1;;;;11;;;;;;3;1;
USLD;2019;810000562;810000455;60;21691;36;33;0;0;1;0;0;0;5;2;0;0;0;0;28;4;0;0;0;0;3;;
USLD;2019;810099838;810000380;50;17731;30;21;;;12;;;;13;;;;;;5;;;;;;8;;
USLD;2019;810100370;810000380;70;25394;18;15;;;1;;;;11;;;;;;6;;;;;;4;;
USLD;2019;820000032;820000016;30;9994;31;34;0;;14;;16;;5;;;;;;25;0;0;0;0;0;2;0;0
USLD;2019;820000438;820000214;35;11254;54;17;;;;18;;;;10;;;;;26;;;;;;9;10;
USLD;2019;820000461;820000248;25;9012;29;19;;;;;;;9;1;;;;;19;;;2;2;;3;;
USLD;2019;820009611;820004950;30;10406;15;13;;;2;1;;;3;;;;7;;7;;;;;;1;1;
USLD;2019;830000279;830100517;46;15737;11;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;830000337;830100590;40;13607;34;35;0;0;22;2;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;4;0
USLD;2019;830009528;830100566;30;10255;16;11;;;;;3;;7;1;;;;;5;;;;;;;1;
USLD;2019;830013629;130002041;26;9269;7;2;;;1;;;;4;;;;2;;;;;;;;;;
USLD;2019;830017372;750721235;100;34705;41;31;;;;5;;12;19;;;;;1;4;;;;;;3;;
USLD;2019;830100608;830100616;14;4971;5;1;1;;10;;;;2;;;;;;3;;;;;;1;;
USLD;2019;830100764;440052041;40;14550;18;20;;;;2;;;13;;;;;3;;;;;;;;;
USLD;2019;830202743;830100616;36;12601;20;15;1;;10;;;;2;;;;;;7;;;;47;;6;;
USLD;2019;830206983;830008819;30;10235;23;12;;0;;6;;0;6;3;;;8;;;;;;;;;;
USLD;2019;830212783;830002432;23;8047;6;5;;;;;;1;;3;;;;;2;;;;;;2;;2
USLD;2019;830213989;830100525;35;12610;16;15;;;2;2;;;;4;;;;;4;35;;;2;;4;;
USLD;2019;840000392;840000046;30;10884;28;22;;;13;1;4;;;8;;;;;2;;;;;;6;;
USLD;2019;840000418;840004659;33;11467;58;17;0;0;1;1;0;0;18;2;0;0;0;0;2;;;;;;0;0;0
USLD;2019;840000483;840000087;30;10774;23;16;;;14;;;;4;;;;;;5;;;;;;4;;
USLD;2019;840000491;130041916;50;17837;27;18;;;2;;;;13;;;;;;12;;;;;;;1;
USLD;2019;840001861;840006597;67;24299;16;14;;;;;;;;;;;;;;;;;;;;;
USLD;2019;840007579;840000012;40;13942;61;16;1;;2;;;;11;1;;;;;4;;1;;1;;13;2;
USLD;2019;850000142;850000019;80;28954;30;32;0;;0;;0;;28;;0;;0;;1;;;7;11;;;1;
USLD;2019;850000209;850000019;30;10527;16;17;;;4;;1;;10;1;;;;;;;;;;;;;
USLD;2019;850000233;850009010;30;10576;23;1;0;0;2;0;1;0;5;0;0;0;0;0;0;0;2;2;0;0;18;0;0
USLD;2019;850000647;850025867;42;14480;34;19;;;3;4;;;13;3;;3;;;8;;;;;18;;;
USLD;2019;850003377;850009010;30;10731;14;3;0;0;1;0;1;0;3;0;0;0;0;0;2;0;1;3;2;0;;;
USLD;2019;850021049;850000084;60;20800;57;50;0;;9;;2;;34;;0;;0;;12;0;0;0;1;0;4;0;0
USLD;2019;850021866;850000092;25;8878;6;3;;;;;;;;;4;;;;2;;9;32;;;3;;
USLD;2019;850022013;850000100;21;6693;15;;;;;4;;;16;;;;;;11;;;;;;;;
USLD;2019;860000025;860013382;60;21372;75;58;;;10;1;8;;26;;;1;1;;20;;;;;;5;4;
USLD;2019;860000033;860013382;30;10473;16;10;;;2;;;;8;;;;;;6;;;;;;;1;
USLD;2019;860000058;860014208;32;10176;30;31;;;15;1;;;8;1;;;;;5;;;;;;2;1;
USLD;2019;860000223;860014208;61;21166;66;56;;;3;;1;;58;;;;;;4;;;;;;6;5;
USLD;2019;860011014;860014208;30;10111;26;21;;;1;;4;;9;2;;;;;10;;;;;;3;1;
USLD;2019;870000270;870000031;40;14303;50;40;;;7;3;;;31;;;1;;;8;0;0;0;1;0;6;4;
USLD;2019;870000551;870014503;39;12940;26;22;;0;9;2;;;8;2;;1;;;4;;;;15;;4;;
USLD;2019;870000601;870014248;30;10616;55;26;;6;40;;;;7;;;;;;2;;;;;;28;2;
USLD;2019;870001567;870014503;45;15504;48;25;;;7;3;;;11;2;;6;;;18;;;;2;;12;;
USLD;2019;870003514;870000015;80;28985;68;52;0;0;2;0;0;0;58;0;0;0;0;0;8;7;0;0;3;0;5;1;1
USLD;2019;870005931;870000023;60;21020;52;44;;;3;4;;;26;2;;2;;;14;;;;;;7;;
USLD;2019;870008042;870000015;168;60800;122;104;0;0;5;2;3;0;90;3;0;1;0;0;18;12;0;0;5;0;;;
USLD;2019;880000039;880780069;24;8441;18;18;;;2;;4;;8;;;;;;4;;;;;;;;
USLD;2019;880000070;880007299;30;9611;31;28;;;9;;;;18;;;;;;4;;;2;26;;2;4;
USLD;2019;880000104;880780259;30;9591;18;18;;;;2;;3;6;;;;;;7;;;;7;;2;;
USLD;2019;880000336;880007059;30;9353;23;21;;;4;;;;15;;;;;;2;;;;17;;;;
USLD;2019;880786637;880780093;24;8332;24;21;;;;;;;;;;;;;;;;;;;;;
USLD;2019;880786645;880780077;30;9547;33;20;;;;;3;;5;;;;;;25;;;;;;;;
USLD;2019;890971583;890000417;64;21262;32;30;0;0;5;3;4;0;3;4;0;0;0;0;13;;;;;;;;
USLD;2019;890975527;890000037;29;8871;15;12;;;2;;;;10;2;;;;1;;;;;;;;;
USLD;2019;900000647;900004698;123;43908;55;64;;;;;;8;;38;;;;;9;;;;;;;;
USLD;2019;910000272;910110014;48;16472;16;12;;;2;1;2;;6;;;;;;5;;;;;;;;
USLD;2019;910000280;910019447;30;7817;9;12;;;1;;;;4;;;;;;4;;;;;;;;1
USLD;2019;910001973;910019447;40;11558;20;15;;;2;;0;;14;;;;;;4;;;;;;1;1;
USLD;2019;910100015;750712184;166;40062;41;33;;;;;;;18;;;;;;22;;;;32;;21;;
USLD;2019;910100023;750712184;54;15094;15;6;;;;;9;;;;;;6;;;;;17;128;;4;;
USLD;2019;910150069;910000033;60;21573;40;33;;;4;1;;;25;3;;;;;7;;;;;;2;;
USLD;2019;920000577;920110020;80;21459;7;11;1;;;1;;;1;;;;;;1;5;0;0;8;0;;;
USLD;2019;920000593;920026374;88;29820;49;45;;;13;;;;28;;;;;;8;;;;;;;;
USLD;2019;920000619;920009909;70;24117;47;31;0;0;9;27;4;;11;7;;;;;19;;;;;;;;
USLD;2019;920001369;920710654;75;25717;32;28;;;;16;;;;;;;;;16;;;;;;1;1;1
USLD;2019;920024205;920808037;110;40018;42;30;;;;7;;;11;2;;;;;7;;;12;;;1;;
USLD;2019;920100047;750712184;40;13084;9;12;;;;;;;7;1;1;;;;;;;10;5;;;;
USLD;2019;920100062;750712184;103;38911;21;29;;;;;;;;;;;;;;;;;;;3;;
USLD;2019;930000294;930021480;41;14642;17;14;;;;;;2;10;0;;;;;5;;;;;;1;1;
USLD;2019;930100011;750712184;179;57970;40;;;;1;;;;22;1;;;;;;;;;;;7;;2
USLD;2019;930150057;750034589;35;11136;22;19;;;;4;5;9;;1;;1;;;2;0;0;0;0;0;0;0;0
USLD;2019;930706239;930110051;100;35484;53;33;;;;;;;;;;;;;;;;;;;;;
USLD;2019;930815501;750062036;114;41686;16;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;940000615;940140023;42;14935;8;3;0;0;0;0;0;0;0;0;11;4;0;0;33;0;0;48;0;0;;;
USLD;2019;940100027;750712184;24;8499;2;3;;;1;;;;;;;;;;;;;;;;;;
USLD;2019;940100035;750712184;152;54063;39;39;;;;;;;39;;;;;;;0;0;0;0;0;8;;
USLD;2019;940100050;750712184;390;102674;140;95;;;;;;;138;2;;;;;;;;;9;;52;;
USLD;2019;940100068;750712184;183;65446;41;44;0;;20;;0;;21;;0;;0;;0;;;;;;6;;1
USLD;2019;940812506;940110042;46;15765;20;22;;;22;30;;;;;;;;;40;;;;;;1;;1
USLD;2019;950000307;950110015;94;33040;37;36;;;4;;2;;22;5;;;;;4;;;;8;;;;
USLD;2019;950000323;950013870;101;31448;58;57;0;0;12;2;0;0;21;14;2;7;0;0;6;0;0;0;22;0;0;0;0
USLD;2019;950000331;950110049;120;41429;39;43;0;0;2;2;2;0;23;6;0;0;0;0;4;0;0;0;4;0;1;0;0
USLD;2019;950000406;950150037;40;14069;29;25;;;5;;;;15;9;;;;;;;;;;;;;
USLD;2019;950000695;950001370;43;14114;22;8;;;;;;;19;2;;;;;;;;;;;;;
USLD;2019;950016139;950015289;60;21328;28;19;;;;;;2;18;2;;;;;6;;;2;12;;5;;
USLD;2019;970100418;970100194;30;10208;7;5;0;0;0;2;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0
USLD;2019;970100459;970100244;15;5082;8;7;;;;1;;;2;2;;;;;3;;;;;;;;
USLD;2019;970112033;970100210;120;39220;21;30;;;;12;;;;;;;;;9;;;;;;33;;
USLD;2019;970211215;970211207;90;26263;49;45;;;;;13;;;;;;;;;;;;;1000;;;7
USLD;2019;970211223;970211207;20;7296;10;9;;;3;;;;;;;;;;;;;;;;;;
USLD;2019;970211231;970211207;25;8375;3;2;;;;;;;;;;;;;;;;;;;;;
USLD;2019;970300026;970302022;30;10714;16;11;;;;;;;;;;;;;;;;;;;;;
USLD;2019;970400156;970403606;55;15731;14;12;;;4;;;;6;;;;3;;;;;;;;;;
USLD;2019;970463139;970408589;40;11358;14;10;;;;;;;;;;;;;;;;;;;;;
