BOR;AN;FI;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2019;440007607;440000057;74;26186;49;47;;;13;2;;;16;12;;;;;5;;1;0;1;1;;;1
USLD;2019;440021202;850009010;30;9651;15;2;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;;;
USLD;2019;440032399;440041531;28;9955;23;22;;;;;;;20;;;;;;3;;;;;;4;;
USLD;2019;440050458;440000289;10;1418;1;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;440050466;440000289;160;51355;45;;;;;;;5;39;;;;1;;;;;;;;;;
USLD;2019;450000062;450000104;50;15341;27;25;2;;1;;4;;11;1;;;;;7;;;;3;;5;;
USLD;2019;450000070;450000112;48;17256;24;9;;;;;;;18;;;;;;6;;;;;;;;
USLD;2019;450000336;450000179;40;14329;22;23;;;1;1;;;6;3;;;;;4;;;;;;;;
USLD;2019;450010442;450000088;160;56766;80;67;;4;4;;14;;19;14;;1;;;24;;;;;;7;4;2
USLD;2019;450019799;450000104;32;11430;15;6;;;1;;;;1;;2;;;;11;;;;18;;4;;
USLD;2019;460000052;460780091;50;18034;29;28;;;14;3;;;4;;;2;;;6;;;;;;;;
USLD;2019;460785595;460780216;60;20209;22;24;2;;3;;13;;;1;;3;;;;;;;;;;;
USLD;2019;470000431;470000324;41;14286;32;26;;;7;;17;;6;;;;1;;;;;;9;;2;2;
USLD;2019;470000571;470000407;30;10482;38;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;470008780;470016171;36;13086;8;19;;;;;3;;5;;;;;;;4;3;1;1;;;;
USLD;2019;470012931;470001660;27;9691;15;7;;;4;;;;1;;3;;;;;;;;;;3;;
USLD;2019;480000017;480780097;30;9697;23;29;0;0;3;0;2;0;8;1;0;0;0;0;8;0;0;1;9;0;3;0;0
USLD;2019;480000041;480780139;25;7327;19;6;;;3;;;;2;;;;;;;;;;;;;;
