AN;FI;FI_EJ;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;INTTOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A19;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
2019;010000099;010780120;9;;;9;135;0;0;135;1828;0;0;1828;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;340;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;3;;;;;;;;;;;;;0.09;;;;;;;;;0.82;0.91;;;1;;9;17;8;;4;39;1;;10;;;2;;;;12;25;64;;1;;8.55;14.18;6.05;;2.92;32.7;0.05;;3.95;;;0.69;;;;6.49;11.18;43.88;;;;;;;;;;;;;;;;;;;;;
2019;010000107;010780138;15;;;15;164;0;0;164;1911;0;0;1911;0;;;0;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;291;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;1;;4;;;;;;;;;;;;;1.85;;;;;;;;0.48;;2.33;;;1;;12;16;5;1;4;39;1;;11;1;1;2;;;;21;36;75;;0.51;;9.44;14.32;3.68;0.28;0.82;29.05;0.17;;2.77;0.49;0.49;0.32;;;;3.71;7.46;36.51;;;;;;;;;;;;;;;;;;;;;
2019;010000115;010009132;12;;;12;146;0;0;146;3102;0;0;3102;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;212;0;;30;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;1;;5;;;;;;;;;;;;;2.23;;;;;;;;0.07;;2.3;;;4;;23;43;35;2;4;111;2;;6;3;1;2;;;;16;29;140;;4.25;;10.02;25.67;17.9;0.9;2.35;61.09;0.52;;3.16;1.85;0.25;1.76;;;;14.33;21.62;82.71;;;;;;;;;;;;;;;;;;;;;
2019;010000131;010009132;8;;;8;191;0;0;191;2878;0;0;2878;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;421;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;2;;;;;;;;;;;;;1.36;;;;;;;;0.07;;1.43;;;2;;9;11;10;1;3;36;1;;10;2;1;1;;;;19;33;69;;1.3;;10.82;9.99;9.39;0.4;0.41;32.31;0.3;;4.37;0.28;0.04;0.5;;;;12.6;18.05;50.36;;;;;;;;;;;;;;;;;;;;;
2019;020000089;020000022;28;0;0;28;1031;0;0;1031;7533;0;0;7533;0;0;0;0;0;0;0;0;;16492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;489;0;;30;8;15;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;3;;;1;;;;2;;10;1;0;0;;;0;;;;0;;0;3.79;2.1;;;0.1;;;;2;;5.89;0.36;;5;1;42;73;33;2;1;157;;;22;3;3;4;;1;1;21;52;209;;4.35;0.86;40.65;71.84;31.83;0.7;0.85;151.08;;;19.79;2.22;2.22;3.03;;0.92;1;21.09;48.05;199.13;;;;;;;;;;;;;;;;;;;;;
2019;020000097;020000048;38;;;38;769;0;0;769;10813;0;0;10813;;;;;0;0;0;0;;1244;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;278;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;2;;1;;1;1;11;;;;;;;;;;;;;4.8;;;;0.6;;1;;1;0.4;7.8;;;3;;33;49;17;3;2;107;;;13;3;1;2;;;;18;36;143;;3;;32.07;48.07;16.35;2.35;2;103.84;;;13;3;1;2;;;;17.22;35.22;139.06;;;;;;;;;;;;;;;;;;;;;
2019;020000105;020000055;15;;;15;381;0;0;381;4114;0;0;4114;;;;;0;0;0;0;;1800;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;247;0;;;;15;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;;;;;;;;2;8;;1;1;;;1;;;;;4;6;2.31;2.06;;;;;;;;0.12;2.43;;;1;;15;24;11;1;3;55;2;;9;1;1;;;;;18;30;85;;0.75;;14.39;21.97;9.43;0.5;1.63;48.67;2;;9.27;0.9;0.9;;;;;17.79;29.96;78.63;;;;;;;;;;;;;;;;;;;;;
2019;020000246;020000071;36;;;36;581;0;0;581;7376;0;0;7376;;;;;0;0;0;0;;1290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;259;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;1;4;;0;0;;;;;;;;0;0;2.6;1.62;;;;;;;;0.49;3.09;0;;3;;20;25;13;2;3;66;1;;10;1;1;1;;;;16;29;95;;2.5;;16.68;25.19;12.97;1.01;2.1;60.45;0.2;;9.54;0.9;0.9;1.14;;;;17.08;28.86;89.31;;;;;;;;;;;;;;;;;;;;;
2019;020001087;020004495;60;;;60;2942;0;0;2942;16224;0;0;16224;4;;;4;715;0;0;715;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;290;0;0;;;;;1;14281;0;;1;0;0;0;0;;0;0;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;0;24;4;10;;;;1;;2;4;31;;0;0;0;;;;;;;;0;16.78;3.96;8.65;;;;0.1;;1.93;1.55;20.36;0.95;1;3;;52;49;19;2;5;131;2;;40;2;1;3;3;5;1;35;91;222;1;3.03;;50.6;46.35;19.85;1;4.89;126.72;1.97;;37.48;1.5;0.5;3;3;5.45;0.25;31.77;84.42;211.14;;;;;;;;;;;;1;0;;;;;;;;
2019;030000095;030780126;8;0;0;8;96;0;0;96;2425;0;0;2425;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;348;58;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;;;;;;2;;6;;;;;;;;;;;;;1.96;1.66;;;;;;;1.23;;3.19;;;2;;11;18;19;;3;53;;;19;2;1;;;;4;27;52;105;;1.96;;10.13;15.84;17.49;;2.58;48;;;15.14;1.8;0.8;;;;3.36;24.07;44.37;92.37;;;;;;;;;;;;;;;;;;;;;
