BOR;AN;FI;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2019;060788957;060785011;1;1425;15;1134;3.41;1;50;4;2056;581;17977;9;1;7;3;12.59;3.75;0;0;1;1;7;1;;;58;2;;;;13;6.84;0.82;;;56.52
MCOGER;2019;060789195;060785011;0;;;;;1;10;0;226;0;3875;1;0;2;0;1.12;0;0;;0;;31;43;;;294;13;4;;;89;38.74;43.14;;;314.82
MCOGER;2019;070000013;070002878;1;;;;0.6;1;28;;677;0;8589;3;;1;;3.2;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;070000179;070780358;1;651;527;218;3.7;1;20;0;703;0;7137;33;2;7;0;25.22;1.8;0;0;0;0;13;19;0;0;76;20;16;0;0;60;24.83;29.17;0;0;104.66
MCOGER;2019;070000609;070005566;1;598;287;;5.49;1;30;;799;0;8882;1;0;4;1;2.41;0.03;;;;;9;12;0;0;3;1;3;0;0;5;8.52;13.09;0;0;4.1
MCOGER;2019;080000110;080000037;1;24;3;27;0.77;1;30;1;893;37;10161;3;3;1;1;3.26;3.26;0;0;1;1;12;8;;;2;;4;;1;3;11.29;11.07;;0.9;2.66
MCOGER;2019;080000425;080000615;1;77;184;199;3.59;1;29;3;814;368;11233;5;3;1;;4.78;1.7;;;;;10;15;;;2;6;5;;;6;14.59;20.15;;;4.28
MCOGER;2019;090000175;090781774;1;203;148;330;2.9;1;24;;646;0;8570;2;;;;1.6;;0;0;1;1;11;10;;;;1;2;;;;13.18;13.86;;;
MCOGER;2019;090000183;090781816;1;202;47;207;2.76;1;10;;330;0;3179;1;1;;;0.15;0.15;0;1;1;1;11;3;;;4;;;;;2;7.02;3;;;2.34
MCOGER;2019;100000090;100000017;1;887;1;248;1.95;1;40;;1231;0;14212;3;3;4;4;4.75;4.75;0;0;1;1;19;28;0;0;4;6;5;1;0;4;14.53;18.97;0.77;0;2.76
MCOGER;2019;100000199;100006279;0;;;;;1;19;;570;0;6418;;;;;;;;;;;7;12;;;1;;3;;;;8.24;13.15;;;0.87
MCOGER;2019;110000023;110780061;1;2413;0;749;3.15;1;28;2;1260;342;9943;;;6;5;4.6;4.57;;;;;11;16;;;1;8;9;;;4;17.02;19.55;;;2.61
MCOGER;2019;110000056;110780137;1;432;431;;2.7;1;25;0;897;0;8883;3;2;2;2;1.46;1.36;0;0;1;1;15;29;;;3;3;;;;;11.33;18.9;;;1.53
MCOGER;2019;120000039;120780044;1;2217;1085;1585;3.2;1;29;1;1141;96;10187;3;0;1;0;2.46;0;0;0;1;1;17;13;0;0;1;3;8;1;0;5;17.72;16.87;0.4;0;3.73
MCOGER;2019;120000054;120780069;1;327;8;328;1.8;1;20;;637;0;5783;1;1;10;1;4.95;1.01;;;1;1;11;10;0;0;1;2;3;0;0;2;11.58;13.43;0;0;2.09
MCOGER;2019;120000096;120780101;1;246;109;196;2.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;120004569;120004528;1;99;198;256;1.9;1;10;;514;0;4044;2;1;;;2;1;0;;1;0;8;6;1;;;2;3;;;;5.13;4.81;0.5;;
MCOGER;2019;120004668;120004619;0;;;;;1;13;0;463;0;4378;;;1;;0.22;0.01;0;0;1;0;6;9;;;;2;1;;;2;6.42;9.2;0.04;0.01;0.67
MCOGER;2019;130000409;130041916;1;1416;0;1036;5.75;1;32;;1038;0;11149;0;0;2;0;3;0;0;0;1;1;13;13;;;6;4;3;;;3;14.65;20.17;;;9.66
MCOGER;2019;130000565;130781446;1;0;300;477;1.5;1;25;0;1089;0;8284;;;2;1;1.63;0.8;0;0;0;0;9;11;;;2;5;4;;;2;13.61;14.49;;;2.38
MCOGER;2019;130001225;130782634;1;1597;0;900;3.7;1;16;0;689;0;5895;1;;1;;1.97;;0;0;0;0;;;;;;19;24;1;;7;5.98;6.46;0.1;;2.02
MCOGER;2019;130002827;130789274;1;1029;0;845;3.16;1;28;;966;0;10115;0;0;3;0;1.8;0;;;1;;7;11;0;0;3;5;7;0;0;5;11.25;14.24;0.03;0;4.94
