BOR;AN;FI;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFPL_PM;USP_EFFPL_PMPAL;USP_EFFPL_CADRES;USP_EFFPL_IDE;USP_EFFPL_IDEPAL;USP_EFFPL_AIDES;USP_EFFPL_PSY;USP_EFFPL_PNMAUT;USP_EFFPA_PM;USP_EFFPA_PMPAL;USP_EFFPA_CADRES;USP_EFFPA_IDE;USP_EFFPA_IDEPAL;USP_EFFPA_AIDES;USP_EFFPA_PSY;USP_EFFPA_PNMAUT;USP_ETP_PM;USP_ETP_PMPAL;USP_ETP_CADRES;USP_ETP_IDE;USP_ETP_IDEPAL;USP_ETP_AIDES;USP_ETP_PSY;USP_ETP_PNMAUT;EMSP_EFFPL_PM;EMSP_EFFPL_PMPAL;EMSP_EFFPL_CADRES;EMSP_EFFPL_IDE;EMSP_EFFPL_IDEPAL;EMSP_EFFPL_AIDES;EMSP_EFFPL_PSY;EMSP_EFFPL_PNMAUT;EMSP_EFFPA_PM;EMSP_EFFPA_PMPAL;EMSP_EFFPA_CADRES;EMSP_EFFPA_IDE;EMSP_EFFPA_IDEPAL;EMSP_EFFPA_AIDES;EMSP_EFFPA_PSY;EMSP_EFFPA_PNMAUT;EMSP_ETP_PM;EMSP_ETP_PMPAL;EMSP_ETP_CADRES;EMSP_ETP_IDE;EMSP_ETP_IDEPAL;EMSP_ETP_AIDES;EMSP_ETP_PSY;EMSP_ETP_PNMAUT
PALIA;2019;130000516;130781339;1;2;0;0;33;0;;;;;;;1;541;11;5;229;45;179;5;150;;420;75;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;1;;1;;;;3;;;2;;0.5;;0.7;2.9;;0.13;1;0.33
PALIA;2019;130000565;130781446;1;2;0;0;16;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130001225;130782634;1;6;3;;82;1;1;8;227;0;0;13;1;3294;;;;;;;1212;4;20;;2;2;;;;4;;;1;1;1;6;;5;1;6;1.8;1.8;0.3;4.76;;7.06;0.5;1.9;;;;;;;;;2;2;1;5;1;;1;2;1;1;0.1;1;0.2;;0.5;0.75
PALIA;2019;130001647;130784127;1;16;;;503;0;;;;;;;1;0;;;;;;;1106;;10;0;;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;2;;;2;5;1;1;;;;;;;2.8;2.5;0.1;2;;;1;3.3
PALIA;2019;130002827;130789274;1;4;;;118;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130002835;130789316;1;3;0;0;70;0;;;;;;;1;1862;19;23;10;0;10;0;215;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;2;1;0.8;;;2;;;1.3;0.5
PALIA;2019;130043664;130002157;1;16;0;0;187;0;;;;;;;1;12117;0;0;0;0;0;0;453;5;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;3;2;1;2;;;1;3;1.9;1.6;0.25;2.3;1;;0.8;1.5
PALIA;2019;130045263;130007487;0;;;;;1;1;14;91;;;108;0;;;;;;;;;;;;;;1;;;;;1;2;;;10;;9;1;1;0.85;;1;9.4;;8.55;0.57;1.6;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130780521;130786049;1;8;0;0;0;0;;;;;;;1;4522;0;0;0;0;0;0;1449;6;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;1;2;;;;1;1;;0.55;2.06;;;1;0.6
PALIA;2019;130781255;220020739;0;;;;;1;1;10;312;;;;1;1;35;0;473;0;75;398;208;0;0;0;0;0;0;6;0;6;0;2;2;2;1;0;0;1;1;1;1;1;0.8;6;0;6.6;0.5;2.1;0;0;0;2;0;0;0;;1;1;1;0;0;0;1;;0.5;0.5;0.1;2;0;0;0.5;
PALIA;2019;130781289;130002447;1;3;;;31;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130782451;130001118;1;2;2;;40;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130783152;130001365;1;10;10;0;167;1;1;12;419;0;0;16;1;0;3;1;614;0;6;608;241;0;9;20;0;0;0;5;0;8;0;;4;2;2;12;1;7;3;10;2.21;0.8;1.07;10.72;0.98;12.96;0.7;8.32;0;0;0;1;1;0;0;0;2;2;2;3;3;0;2;1;0.8;0.8;0.25;2.5;2.5;0;0.5;0.5
PALIA;2019;130783293;130786049;0;;;;;1;1;7;148;;;8;1;3915;;;;;;;1158;8;;;5;;;2;;;1;4;5;;;0;;;;;3.09;;;1;;;0.5;1.95;5;;;2;;;1;4;5;;;;;;;;3.09;;;1;;;0.5;1.95
PALIA;2019;130783475;690795331;1;8;8;0;163;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130784051;130037823;1;8;0;0;111;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130785652;130014228;1;4;;;27;1;1;12;323;;;;1;2618;;;485;;;;872;10;153;26;2;2;1;11;2;8;1;7;1;;;5;;1;;;1.5;1;0.35;13.53;2;8.53;0.8;5.87;2;2;;3;2;;2;;;;;2;1;;;;1.4;1.4;;4.6;2.5;;1;
PALIA;2019;130785975;310021340;1;13;13;0;72;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130785983;130002306;1;14;14;;176;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130786361;130002447;1;3;;;30;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130786742;750821092;1;6;0;0;140;0;;;;;;;1;524;0;0;0;0;0;0;179;97;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;1;0;0;0;0.05;0.05;0.1;1;0.05;;;
PALIA;2019;130804297;130786049;1;3;;3;60;0;;;;;;;1;800;0;7;90;50;10;30;72;0;210;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130808843;920030152;0;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;;;;;;;;;;;;;1;1;;2;;
PALIA;2019;130809015;130001928;1;4;2;;39;0;;;;;;;1;39;70;2;427;16;411;;442;;39;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;4;1;;;;;2;2;1.34;0.4;;2;2;;0.9;1.14
PALIA;2019;130811102;130007487;0;;;;;1;1;24;367;;;151;1;;3;;707;;12;695;;;;40;3;;2;;;;1;;;;1;21;;18;1;3;3;;2.8;18.56;;15.91;1.74;2.11;1;;1;3;;;;1;;;;;;;1;;0.75;;0.5;3;;;0.5;0.5
PALIA;2019;140000027;140000035;1;8;0;0;267;0;;;;;;;1;2299;1;0;6;0;3;3;421;0;80;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;1;1;0;0;0;2;1;1.6;0.6;0.2;1;1;0;1.4;0.5
PALIA;2019;140000076;140000092;1;3;3;0;23;0;;;;;;;1;890;1;0;35;0;35;0;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;1;;;;0.4;;;0.5;0.5;;;
PALIA;2019;140000209;140000100;1;17;0;0;422;0;;;;;;;1;5584;1;0;64;58;0;0;904;0;164;208;;;;;;;;;;;;;;;;;;;;;;;;;2;;;5;;;1;1;3;;;1;;;2;2;2.51;;;4.62;;;2.2;1.7
PALIA;2019;140000233;140000118;1;1;0;0;12;1;1;10;241;;;;1;1162;4;1;108;9;19;80;244;;60;32;;;;2;;3;;;2;;1;5;;4;;2;2.04;;0.44;6.43;;6.25;0.4;1;;;;;;;;;;;1;1;;1;1;1;0.18;;0.05;0.55;;0.14;0.9;0.2
PALIA;2019;140000308;140000134;1;3;3;0;28;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;140000340;140025800;0;;;;;1;1;12;204;;;;1;63;;;699;;;326;292;;;;;;1;;;;;;3;3;;;;;;;1.8;1.8;0.8;;;;;;;;1;;;;;;2;2;;;;;;;0.6;0.6;0.2;;;;;
PALIA;2019;140000373;140000159;1;2;0;0;16;0;;;;;;;1;1083;4;2;180;49;100;31;209;0;38;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;1;;0.5;;;1;1;;0.6;1
PALIA;2019;140000555;140000639;1;24;0;0;252;0;;;;;;;1;1138;0;0;0;;;;345;;36;37;1;;1;12;;15;;1;1;1;;;;2;;4;0.99;0.8;1;13.77;;16.23;;2.59;2;1;;1;;;0;0;;;;1;;;3;4;0.5;0.17;;1.5;;;1.2;1
PALIA;2019;140016759;140003146;1;7;;;108;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;140024886;140000092;1;4;0;0;122;0;;;;;;;1;3254;17;0;1030;197;323;510;501;;42;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;2;;;;;2;1;1.3;0.9;;0.42;;;0.8;1.5
PALIA;2019;150000032;150780088;1;2;0;0;27;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;150000040;150780096;1;8;0;0;106;0;;;;;;;1;946;13;8;15;3;9;3;280;4;48;7;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;3;;2;4;2;;1;1;1.97;;0.23;1.4;0.8;;0.15;0.2
PALIA;2019;150000164;150780468;1;3;;;14;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;150000180;150780500;1;4;;;800;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;150780732;150000271;1;4;;;141;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;160000188;160000121;1;6;;;54;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;160000253;160000451;1;8;1;1;44;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;160000303;160006037;1;3;3;;59;0;;;;;;;1;135;18;15;373;159;80;134;184;;59;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;;;;1;;;0;0;;;0.09;2.13;;;0.5;0.87
PALIA;2019;160000311;160000485;1;2;;;65;0;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;160000337;160000493;1;3;;;49;0;;;;;;;1;281;23;3;900;357;265;278;311;;5;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;3;1;;;1;;;1;;0.47;;;1.07;;;0.41;1.4
PALIA;2019;160000360;160000519;0;;;;;1;1;10;153;;;;0;;;;;;;;;;;;;;1;14;;11;2;3;2;;;;;;;;2.12;;0.82;9.45;;8.62;1.82;1.12;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;160013207;160001632;1;4;;;88;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;160015368;160014411;1;6;;;80;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;170000038;170780050;1;2;0;0;17;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;170000087;170024194;1;19;9;;144;0;;;;;;;1;1916;43;;1425;368;186;871;348;;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;3;1;1;;;;;1;;0.5;0.5;0.2;1.02;;;0.63;1.87
PALIA;2019;170000095;170780167;1;4;0;0;18;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;170000103;170780175;1;6;;;196;1;1;12;322;;;10;1;2115;62;12;2506;1591;344;571;1225;10;;;3;0;3;11;0;17;1;4;0;0;0;5;0;4;1;1;1.9;0;0.93;9.85;0;9.22;1.16;2.21;4;0;1;4;0;0;2;3;0;0;0;0;0;0;0;1;1.31;0;0.36;3.33;0;0;1.66;2.74
PALIA;2019;170000152;170780225;1;5;;;136;0;;;;;;;1;454;;;582;;;128;131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;1;;;;;;;;1.2;;;0.44;
PALIA;2019;180000010;180000028;1;15;3;;275;0;;;;;;;1;3336;26;5;434;8;126;300;800;28;42;159;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;3;3;;;1;2;2;;1;1;;2;3;1.97;1.97;;3.77;3.77;;0.92;1.91
PALIA;2019;180000200;180000051;1;12;0;0;68;0;;;;;;;1;1724;4;2;54;0;36;18;1724;4;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4;0;0.33;1;0;0;0.41;0.3
PALIA;2019;180000283;180000069;1;8;;;50;0;;;;;;;1;605;;;49;39;10;;147;8;4;5;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;1;;;;1;2;0.2;;0.05;1;;;0.25;0.45
PALIA;2019;180000333;180000093;1;3;;;28;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;180000358;180000739;1;2;0;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;180003287;180000028;1;3;3;0;52;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;180004145;180000887;1;6;;;172;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;190000018;190000042;1;13;0;0;55;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;190000026;190000059;1;10;2;;113;0;;;;;;;1;1763;39;18;818;329;202;234;383;;27;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;;1;2;;1;;2;1.01;;0.5;2.99;;0.59;;1.17
PALIA;2019;190000034;190000067;1;6;0;0;561;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;190000091;190000075;1;4;0;0;52;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;190000224;190000901;1;2;;;55;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;190005694;750056335;1;3;;;90;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;210780789;210003208;1;4;;;64;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;210987558;210780581;1;13;0;1;4;1;1;15;252;0;0;;1;399;34;9;814;501;87;226;849;0;108;90;;;;8;1;9;;;3;3;1;1;1;2;2;1;2.1;2.1;0.8;8.8;1;9.95;1.2;0.25;;;;;;;;;4;3;1;3;1;;1;1;1.4;1;0.1;2.4;0.5;;0.2;0.25
PALIA;2019;210987574;210012175;1;1;0;;1;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;210987582;210780631;1;2;;;39;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;210987590;210012175;1;2;0;0;9;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;210987616;210012175;1;2;;;10;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;210987657;210012175;1;5;0;0;52;0;;;;;;;1;1674;19;4;599;140;90;369;459;0;80;108;;;;;;;;;;;;;;;;;;;;;;;;;1;;;4;;;;;;;;;;;2;1;1.08;;;2.79;;;0.77;0.2
PALIA;2019;210987665;210012142;1;3;0;0;69;0;;;;;;;1;2332;10;4;1483;0;147;1336;270;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;0.4;;;1.05;;;;0.5
PALIA;2019;210987673;210012142;1;3;0;0;28;0;;;;;;;1;1696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;0.4;;;1.05;;;;0.5
PALIA;2019;210987681;210012142;1;2;0;0;25;0;;;;;;;1;157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;0.4;;;1.05;;;;0.5
PALIA;2019;210987699;210780706;1;5;0;0;38;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;210987731;210780417;1;4;0;0;634;0;;;;;;;1;2000;;;;;;;410;;28;6;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;0.3;;1;;;;0.3;
PALIA;2019;220000012;220000020;1;9;0;0;178;0;;;;;;;1;1849;18;1;104;2;102;0;281;0;76;234;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;2;2;0;2;2;0;1;0;0.8;0.8;0;1.7;1.7;0;0.7;0
PALIA;2019;220000095;220000046;1;14;4;0;354;0;;;;;;;1;1334;26;5;141;10;64;67;589;8;177;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;0;0;2;2;;0;;;1;1;1;1;;2.05;;;0.5;0.47
PALIA;2019;220000343;220000079;1;4;0;0;62;1;1;10;145;0;0;0;0;;;;;;;;;;;;0;;1;5;;5;;;1;;1;4;;4;1;1;0.8;;0.5;9.12;;7.98;0.3;0.46;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;220000368;220000103;0;;;;;0;;;;;;;1;1406;15;2;39;5;22;12;313;;69;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;1;1;;;1;;0.5;0.5;0.04;1.34;;;0.7;1
PALIA;2019;220000483;560014748;1;3;3;0;32;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;220000541;220000152;1;4;0;0;92;0;;;;;;;1;1391;10;0;586;0;281;305;244;0;111;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;1;;0.38;;;0.5;;0.32;0.3;
PALIA;2019;220000574;220021968;1;2;0;0;45;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;220001259;220005045;1;3;0;0;68;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;220022800;220000673;1;12;0;0;270;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;230000820;230780041;1;9;0;0;79;0;;;;;;;1;328;30;7;601;476;211;152;215;0;105;6;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;2;1;;;2;;;;;;;1;;0.6;;0.31;2;1;;0.46;1.3
PALIA;2019;230000846;230780066;1;4;0;0;15;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;230004657;230780058;1;2;0;0;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;230780082;750005068;1;5;2;;129;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;230780157;230000861;1;2;;;0;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;240000091;240000034;1;5;5;;22;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;240000307;330056540;1;5;5;;57;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;240000372;240000059;1;5;0;0;165;0;;;;;;;1;943;17;10;522;151;181;190;238;0;2;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;1;;;;1;;0.6;;0.25;2;;;0.5;
PALIA;2019;240000414;240000067;1;3;;;48;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;240000471;240000109;1;4;0;0;42;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;240000489;240000117;1;5;;;35;1;1;12;339;;;;1;1313;;;159;6;47;106;713;;;;2;1;0;9;0;10;0;2;1;;0;0;0;0;2;1;1.5;0.5;0;8.39;0;9.08;1.12;2.9;2;1;0;1;0;0;2;1;;;0;0;0;0;0;0;1;0.5;0;1;0;0;0.72;0.25
PALIA;2019;240000521;240016055;1;5;5;;29;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;240000687;240000448;1;5;0;0;172;0;;;;;;;1;94;11;2;73;;51;22;106;;76;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;1;;0.5;;;;;;0.5;
PALIA;2019;250000270;250000643;1;3;0;0;52;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;250000288;250000643;1;2;2;0;22;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;250000627;250000221;1;4;0;0;66;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;250000635;250000239;1;4;1;0;36;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;250000700;250000452;0;;;;;1;1;0;79;;;;0;;;;;;;;;;;;;;;1;;;1;1;1;;;1;;;;;0.9;;;1.36;;;0.62;0.51;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;250000726;250000478;1;4;2;0;35;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;250000759;250000569;1;2;2;0;13;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;250006954;250000015;1;8;0;0;541;1;1;15;421;0;0;0;1;1413;14;11;113;59;36;18;982;0;222;159;0;;1;9;;11;0;4;7;7;0;8;;6;3;5;2.81;2.81;0.8;16.52;;15.12;1.5;6.68;1;1;1;0;;0;0;1;3;3;0;2;;0;1;1;2.78;2.78;1;1.03;;0;0.35;1.49
PALIA;2019;260000013;260000021;1;5;0;0;74;1;1;10;357;;;;1;2432;19;11;99;24;28;47;717;;37;10;1;1;1;6;;7;;1;;;;4;;;1;;1;1;0.8;8.4;;7;0.8;1;;;;2;;;;;3;2;1;1;0;;3;1;1.6;1.2;0.2;2.8;0;;0.8;1
PALIA;2019;260000120;260016910;1;8;0;0;190;0;;;;;;;1;1493;14;6;320;145;0;175;745;;8;15;;;;2;;3;;;;;;2;;4;;;;;;3.9;;6.22;;;;;;0;;;;;2;;;1;;;1;;1.25;;;1.35;;;1.05;
PALIA;2019;260000138;260000047;0;;;;;0;;;;;;;1;673;13;4;249;207;15;27;210;0;26;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;1.58;0;0;0;0.75
PALIA;2019;260000146;260000054;0;;;;;1;1;8;184;;;;1;465;19;4;373;48;87;238;167;;48;112;2;;1;9;;16;1;5;1;;;5;;1;;1;0.85;;0.5;8.65;;9.31;0.75;3.37;1;;;;;;1;1;;;;2;;;;1;0.5;;;1.61;;;0.51;1.06
PALIA;2019;260003017;260000781;1;3;;;17;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;260006267;070000245;1;4;0;0;103;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;0.8;;1;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;270000045;270000060;1;2;;;5;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;270000326;270000680;1;2;;;85;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
