BOR;AN;FI;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFPL_PM;USP_EFFPL_PMPAL;USP_EFFPL_CADRES;USP_EFFPL_IDE;USP_EFFPL_IDEPAL;USP_EFFPL_AIDES;USP_EFFPL_PSY;USP_EFFPL_PNMAUT;USP_EFFPA_PM;USP_EFFPA_PMPAL;USP_EFFPA_CADRES;USP_EFFPA_IDE;USP_EFFPA_IDEPAL;USP_EFFPA_AIDES;USP_EFFPA_PSY;USP_EFFPA_PNMAUT;USP_ETP_PM;USP_ETP_PMPAL;USP_ETP_CADRES;USP_ETP_IDE;USP_ETP_IDEPAL;USP_ETP_AIDES;USP_ETP_PSY;USP_ETP_PNMAUT;EMSP_EFFPL_PM;EMSP_EFFPL_PMPAL;EMSP_EFFPL_CADRES;EMSP_EFFPL_IDE;EMSP_EFFPL_IDEPAL;EMSP_EFFPL_AIDES;EMSP_EFFPL_PSY;EMSP_EFFPL_PNMAUT;EMSP_EFFPA_PM;EMSP_EFFPA_PMPAL;EMSP_EFFPA_CADRES;EMSP_EFFPA_IDE;EMSP_EFFPA_IDEPAL;EMSP_EFFPA_AIDES;EMSP_EFFPA_PSY;EMSP_EFFPA_PNMAUT;EMSP_ETP_PM;EMSP_ETP_PMPAL;EMSP_ETP_CADRES;EMSP_ETP_IDE;EMSP_ETP_IDEPAL;EMSP_ETP_AIDES;EMSP_ETP_PSY;EMSP_ETP_PNMAUT
PALIA;2019;020010047;020001632;1;4;;;254;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;030000061;030780092;1;6;0;0;61;0;;;;;;;1;4083;2;2;87;19;13;55;603;0;48;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2;0;0;0;0;1;0;1;2;0;0;1;3;0.5;0;0.25;3.47;0;0;0.11;0.78
PALIA;2019;030000079;030780100;1;8;0;0;168;0;;;;;;;1;3303;3;;79;3;27;49;696;;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;1;1;1;1;;;;;;1;0.3;0.3;;2;2;;0.78;0.6
PALIA;2019;030000087;030780118;1;6;4;0;117;0;;;;;;;1;7276;22;1;831;583;26;222;652;69;57;0;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;1.5;1.5;;;;;;
PALIA;2019;030000095;030780126;1;1;1;0;15;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;030781116;030000426;1;7;0;0;102;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;3;3;;;
PALIA;2019;040000093;040780215;1;3;;;156;0;;;;;;;0;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PALIA;2019;040000911;040788879;1;10;4;0;256;0;;;;;;;1;1088;32;8;503;84;112;307;958;0;170;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;2;1;2;2;;1;1;;1;1;0.89;0.89;;2.72;2.72;;1.8;1.5
PALIA;2019;040782021;130037815;1;4;4;;58;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;050000058;050000033;1;4;4;0;37;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;050000231;050000116;1;4;;;48;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;050000256;050000124;1;2;;;42;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;050000348;050002948;1;4;4;0;25;1;1;10;283;0;0;;1;1143;19;28;2888;1851;574;463;742;;22;76;4;2;2;8;1;7;0;3;2;1;0;6;3;3;1;0;1.97;1.6;0.55;9.33;2.6;9.92;0.5;2;4;2;1;4;1;0;0;2;0;0;0;1;0;0;2;1;0.64;0.4;0.5;2.68;0.8;0;1.3;2.2
PALIA;2019;050000991;050000546;1;4;4;;65;0;;;;;;;0;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;0.2;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060000478;060780897;1;10;2;0;32;0;;;;;;;0;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PALIA;2019;060000510;060780954;1;10;0;0;297;1;1;12;172;0;0;0;1;819;72;4;1339;1116;223;;926;;16;105;;;;;;;;;4;;;;;;;;2.4;;;;;;;;1;;;;;;;;4;;;;;;;;2.5;;;;;;;
