BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2019;030007942;030002158;;1;;;;;;1;;;;;0;0;0;0;0;0;;;;1;030000061;0.6;0.1
INFOMED;2019;030780548;030000194;;;1;;;;;;1;;;;0;0;1;1;0;1;1;0;1;1;;1;0.01
INFOMED;2019;030781116;030000426;;1;;;;;;1;;;;;1;1;1;1;1;1;1;1;1;0;;3;
INFOMED;2019;030785430;030785422;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;1;0;;1.87;0.23
INFOMED;2019;040000044;040780140;;1;;;;;;1;;;;;0;1;1;1;1;0;;;;;;;
INFOMED;2019;040000093;040780215;;1;;;;;;;;;;;0;0;0;0;0;1;1;1;0;0;;2.82;0.8
INFOMED;2019;040000135;050002948;1;;;1;;;1;;;;;;0;0;0;0;0;1;1;0;0;1;050000348;0;0
INFOMED;2019;040000911;040788879;1;;;;;;;;;1;;;0;0;0;0;1;1;1;0;1;1;040780215;3.46;0.95
INFOMED;2019;040780389;040000192;;;;;;;;1;;;;;0;0;0;1;1;0;1;0;0;0;;0.3;
INFOMED;2019;040780405;040000168;;;;;;;;;1;;;;0;0;0;1;1;1;1;0;0;0;;0.5;0.1
INFOMED;2019;040780470;040000192;;1;;;;;;;;;;;0;0;0;1;1;1;0;0;0;1;130810740;0.75;0.5
INFOMED;2019;040780488;040000200;;;;;;;;;1;;;;0;0;0;1;0;0;0;0;0;0;;1;0.11
INFOMED;2019;040782021;130037815;;;;;;;;;1;;;;0;0;0;1;1;0;;;0;0;;0.5;
INFOMED;2019;040784860;920033503;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.05;0.05
INFOMED;2019;050000041;130037815;;;;;;;;;1;;;;0;0;0;1;1;1;1;1;0;0;;1;0.1
INFOMED;2019;050000066;050000082;1;;;;;;;;1;;;;0;0;0;0;0;;;;;;;0.06;0.17
INFOMED;2019;050000090;050006931;;1;;;;;;;;;;;0;0;1;1;1;1;0;1;1;0;;3;0.1
INFOMED;2019;050000132;050007145;1;;;;;;1;;;1;;;0;0;0;0;0;1;1;0;1;0;;1.1;0.2
INFOMED;2019;050000231;050000116;;;;;;;;;;;;;;;;;;;;;;;;1.8;1
INFOMED;2019;050000256;050000124;;;1;;;;1;;;;;;0;0;0;0;0;1;1;0;0;0;;1;
INFOMED;2019;050000306;050000538;;;;;;;;;1;;;;0;0;0;0;0;1;0;1;0;0;;2;0.69
INFOMED;2019;050000330;050007145;1;;;;;;1;;;1;;;0;0;0;0;0;1;1;0;1;0;;1.1;0.2
INFOMED;2019;050000348;050002948;1;;;1;;;1;;;;;;0;0;0;0;0;1;1;0;0;1;050000348;4.41;0.67
INFOMED;2019;050000371;050003508;;;;;;;;;1;;;;0;0;0;0;0;1;1;0;1;0;;0.1;0.05
INFOMED;2019;050000454;050000645;;;;;;;;;;;;1;0;0;0;0;0;1;1;1;0;0;;0.05;0.05
INFOMED;2019;050000488;050000678;;;;;;;;;1;;;;0;0;0;1;1;0;;;;0;;1;0.1
INFOMED;2019;050000637;050001163;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0.1;0.1
