BOR;AN;FI;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL_PA;NB_CMP_SEUL_PL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_ASS;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_ASS;HPLETP_REE;HPLETP_EDU
PSY;2019;380780312;750720575;TOT;0;;;0;100;;;;;;36500;20;;;520;27271;;;;;;;4656;;;;;;;;;;;;;;368;;;;2;5;5.77;;;;;;;;101.05;58;6.62;3.9;;2.49;3.71;1;4;;;;;;;;;;;;;
PSY;2019;380784462;750005068;GEN;;;;;;;;;;;;24;;;;;;;;;;;7704;;;;;;;;;;;;;;280;132;;;1;3;2;;;;0;0;2;9;8.28;4.57;;1.15;;2.06;0.5;;;;;;;;;;;;;;;
PSY;2019;380784462;750005068;TOT;0;;;0;;;;;;;;24;;;;;;;;;;;7704;;;;;;;;;;;;;;280;;;;1;3;2;;;;;;2;9;8.28;4.57;;1.15;;2.06;0.5;;;;;;;;;;;;;;;
PSY;2019;380794297;;GEN;;5;;;140;9;30;;;;51100;60;2;;2267;47215;1458;6719;;;;;11407;0;;1;6;8;2;41333;3647;4138;1389;676;3432;4;6554;5534;808;239;8;10;15.41;10;5;12.04;0;0;262;95;321.44;201.5;38.65;19.36;;2.75;16.99;3;5;5.9;5;3;6.39;164;40;184.8;112.25;34.76;2.83;;;5.64
PSY;2019;380794297;;INF;;1;;;;;;;;;;12;;;;;;;;;;;1222;0;;;2;4;1;10279;255;1097;13;20;249;47;655;632;;;;2;0.94;;1;0.79;0;0;30;16;38.41;13.39;;7.47;;5.02;8.8;;;;;;;;;;;;;;;
PSY;2019;380794297;;TOT;1;;0;0;140;9;30;;;;51100;72;2;;2267;47215;1458;6719;;;;;12629;0;;1;8;12;3;51612;3902;5235;1402;696;3681;51;7194;6151;808;239;8;12;16.35;10;6;12.83;;;292;111;359.85;214.89;38.65;26.83;;7.77;25.79;3;5;5.9;5;3;6.39;164;40;184.8;112.25;34.76;2.83;;;5.64
PSY;2019;380795773;380795765;GEN;;;;;;;;;;;;;;1;;;;;;;;;;;97;;;;1;;;4316;;;;;234;234;;;;;;;;;;;1;14;5.5;1;;1.75;;;1;;;;;;;;;;;;;;;
PSY;2019;380795773;380795765;TOT;1;;1;0;;;;;;;;;;1;;;;;;;;;;;97;;;;1;;;4316;;;;;234;234;;;;;;;;;;;1;14;5.5;1;;1.75;;;1;;;;;;;;;;;;;;;
PSY;2019;390000164;390780476;GEN;;4;;;211;;7;39;4;;77015;99;;6;1553;71185;0;982;10246;1498;0;82;20176;0;2500;5;6;7;5;29048;2290;2648;6884;1396;3442;0;6358;4478;973;89;7;1;6.64;;4;1.72;0;0;315;129;411.98;258.83;64.59;15.95;;;11.26;6;;4.3;;4;1.41;249;92;318;192.26;60.25;5.61;;;5.48
PSY;2019;390000164;390780476;INF;;2;;;11;;;;;;4015;62;;0;135;3227;0;;;0;0;22;7727;0;0;0;9;2;8;22111;399;797;25;128;342;142;1926;1561;58;2;2;;2;;;0.04;0;0;93;38;116.77;77.97;1;9.98;;5.71;6.81;1;;1.01;;;0.04;31;9;36.17;26.63;1;0.92;;;3.16
PSY;2019;390000164;390780476;PEN;;;;;;;;;;;;;;;0;0;;;;;;;0;;0;;;;;0;;;416;;;;158;139;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2019;390000164;390780476;TOT;1;;1;1;222;;7;39;4;;81030;161;;6;1688;74412;0;982;10246;1498;0;104;27903;0;2500;5;15;9;13;51159;2689;3445;7325;1524;3784;142;8286;6056;1023;91;9;1;8.64;;4;1.76;;;408;167;528.75;336.8;65.59;25.93;;5.71;18.07;7;;5.31;;4;1.45;280;101;354.17;218.89;61.25;6.53;;;8.64
PSY;2019;400000105;400780193;GEN;;1;;;15;0;0;0;;;5475;20;;;289;4979;;;;;;;3425;;;3;3;0;0;16708;;0;3378;0;3401;0;3332;3024;142;0;;9;6.03;;;;0;1;42;16;53.03;34.27;6.42;2.4;;2.01;0;;2;0.67;;;;0;0;0;0;0;0;;0;0
PSY;2019;400000105;400780193;INF;;1;;;;;;;;;;23;;;;;;;;;;;3318;;;0;3;1;2;9258;591;6026;99;5033;178;91;1685;1653;0;0;2;3;5.52;;1;0.1;0;1;43;13;45.73;13.46;0;7.48;;7.68;0;;;;;;;;;;;;;;;
PSY;2019;400000105;400780193;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;;;23;;;;16;15;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2019;400000105;400780193;TOT;1;;0;0;15;0;0;0;;;5475;43;;;289;4979;;;;;;;6743;;;3;6;1;2;25966;591;6026;3500;5033;3579;91;4985;4644;142;0;2;12;11.55;;1;0.1;;;85;29;98.76;47.73;6.42;9.88;;9.69;0;;2;0.67;;;;;;0;0;0;0;;0;0
PSY;2019;400000113;400011177;GEN;;3;;;183;;16;;;;69525;36;3;1;1636;60802;;6277;;;;;7805;180;1476;15;13;0;5;40695;;5859;5407;1230;4453;23;6115;5448;1196;103;11;1;11.65;2;1;1.95;1;;304;83;358.86;183.66;116.08;5.91;;1.4;12.78;11;1;11.65;2;1;1.95;235;59;275.21;119.62;116.08;1;;0.4;5.38
PSY;2019;400000113;400011177;INF;;1;;;12;;;;;;4380;27;;;121;3802;;;;;;;4880;;;7;6;0;4;18331;;3331;488;247;388;767;2102;1919;57;4;6;1;5.43;0;0;0.28;0;;28;16;38.6;13.15;1;6.33;;2.49;11.97;0;0;0;;;;0;0;0;0;0;0;;0;0
PSY;2019;400000113;400011177;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;4457;;;;;;;773;;;;2;0;1.7;0;0;0;;;0;0;0;0;0;0;;0;0;;;;;;;0;0;0;0;0;0;;0;0
PSY;2019;400000113;400011177;TOT;1;;14;1;195;;16;;;;73905;63;3;1;1757;64604;;6277;;;;;12685;180;1476;22;20;0;9;63483;;9190;5895;1477;4841;790;8901;;;;19;2;18.78;2;1;2.23;;;322;99;397.46;196.81;117.08;12.24;;3.89;24.75;11;1;11.65;2;1;1.95;235;59;275.21;119.62;116.08;1;;0.4;5.38
PSY;2019;400014072;400014064;GEN;;;;;;;;;;;;20;;;;;;;;;;;5743;;;;;;;;;;;;;;149;;;;;2;1;;;;0;;9;;8.8;5;;2;;;0.5;;;;;;;;;;;;;;;
PSY;2019;400014072;400014064;TOT;0;;;0;;;;;;;;20;;;;;;;;;;;5743;;;;;;;;;;;;;;149;;;;;2;1;;;;;;9;;8.8;5;;2;;;0.5;;;;;;;;;;;;;;;
PSY;2019;400780367;750720575;GEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;
PSY;2019;400780367;750720575;INF;;;;;65;;;;;;23725;5;5;;447;15424;;;;;;;2431;0;;;1;1;1;1140;174;52;12;;;;317;154;126;0;3;0;3.5;;2;1.34;;;55;19;63.67;45.14;5.79;3.74;;;9;3;;3;;2;1.34;49;17;59.05;42.78;5.79;3.17;;;7.31
PSY;2019;400780367;750720575;TOT;0;;;0;65;;;;;;23725;5;5;;447;15424;;;;;;;2431;0;;;1;1;1;1140;174;52;12;;;;317;154;126;0;3;0;3.5;;2;1.34;;;56;19;64.67;45.14;5.79;4.74;;;9;3;;3;;2;1.34;49;17;59.05;42.78;5.79;3.17;;;7.31
PSY;2019;400780375;400013801;GEN;;;;;63;;;;;;22995;20;;;517;22699;;;;;;;7268;;;;;;;;;;;;;;381;355;;;3;;3;;2;1;0;1;35;5;39.7;24.19;8.61;3;;1.6;2.1;3;;2.5;;2;1;;;;;;;;;
PSY;2019;400780375;400013801;TOT;0;;;0;63;;;;;;22995;20;;;517;22699;;;;;;;7268;;;;;;;;;;;;;;381;;;;3;;3;;2;1;;;35;5;39.7;24.19;8.61;3;;1.6;2.1;3;;2.5;;2;1;;;;;;;;;
PSY;2019;410000020;410000087;GEN;;1;;;75;0;;;;;27375;20;5;1;560;20741;0;;;;;24;2685;178;388;;1;1;1;11874;972;3995;2217;35;1964;;2830;2430;352;19;1;2;1.57;0;1;0.2;0;1;80;40;104.65;68.38;18.3;3.9;;1.43;2.25;1;2;1.07;0;1;0.2;58;17;67.88;44.74;11.3;2;;0;1.25
PSY;2019;410000020;410000087;INF;;1;;;4;1;;;;;1460;6;;;203;1590;0;;;;;58;804;;;;2;1;2;12328;169;1797;168;90;4638;117;1091;977;130;;3;0;2.15;0;0;0;0;1;23;38;39.39;13.28;1.55;9.72;;6.24;8.58;0;0;0;0;0;0;0;9;4.62;2.67;0;1.45;;0;0.5
PSY;2019;410000020;410000087;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1563;;;;;;;323;317;;;0;0;0;0;0;0;;;0;4;1.9;1;0;0.9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
PSY;2019;410000020;410000087;TOT;1;;;1;79;1;;;;;28835;26;5;1;763;22331;0;;;;;82;3489;178;388;;4;2;3;25765;1141;5792;2385;125;6602;117;3895;3391;;;4;2;3.72;0;1;0.2;;;103;82;145.94;82.66;19.85;14.52;;7.67;10.83;1;2;1.07;0;1;0.2;58;26;72.5;47.41;11.3;3.45;;0;1.75
