BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2019;060019676;060790540;M1110;;;2.15;0;0
DIALYSE_P;2019;060019676;060790540;N4100;;;0.69;;
DIALYSE_P;2019;060019676;060790540;NAUT;;;0.55;;
DIALYSE_P;2019;060019676;060790540;NCINF;;;4.78;;
DIALYSE_P;2019;060021276;060790540;M1110;4;4;2.2;0;0
DIALYSE_P;2019;060021276;060790540;N2500;3;;3;;
DIALYSE_P;2019;060021276;060790540;N4100;4;;2.17;;
DIALYSE_P;2019;060021276;060790540;NAUT;5;;3.54;;
DIALYSE_P;2019;060021276;060790540;NCINF;23;5;14;;
DIALYSE_P;2019;060785003;060785011;M1110;0;3;1.49;0;0
DIALYSE_P;2019;060785003;060785011;N2500;10;;9.49;;
DIALYSE_P;2019;060785003;060785011;NAUT;6;1;5.15;;
DIALYSE_P;2019;060785003;060785011;NCINF;24;2;21.14;;
DIALYSE_P;2019;060789195;060785011;M1110;1;2;0.83;0;0
DIALYSE_P;2019;060789195;060785011;N2500;1;;1;;
DIALYSE_P;2019;060789195;060785011;NAUT;2;1;0.5;;
DIALYSE_P;2019;060789195;060785011;NCINF;1;;1;;
DIALYSE_P;2019;060791860;060790797;M1110;;5;4.6;1;1
DIALYSE_P;2019;060791860;060790797;N2500;4;1;4.5;;
DIALYSE_P;2019;060791860;060790797;N4100;5;0;4.6;;
DIALYSE_P;2019;060791860;060790797;NAUT;15;6;17.53;;
DIALYSE_P;2019;060791860;060790797;NCINF;40;25;53.45;;
DIALYSE_P;2019;060792090;060790540;M1110;;;0.12;0;0
DIALYSE_P;2019;060792090;060790540;N4100;;;0.91;;
DIALYSE_P;2019;060792090;060790540;NAUT;;;0.21;;
DIALYSE_P;2019;060792090;060790540;NCINF;;;1.2;;
DIALYSE_P;2019;060792736;060790540;M1110;;;0.25;0;0
DIALYSE_P;2019;060792736;060790540;N4100;;;0.7;;
DIALYSE_P;2019;060792736;060790540;NAUT;;;0.58;;
DIALYSE_P;2019;060792736;060790540;NCINF;;;4.67;;
DIALYSE_P;2019;060792900;060790797;M1110;;4;0.4;1;1
DIALYSE_P;2019;060792900;060790797;N4100;4;;0.4;;
DIALYSE_P;2019;060792900;060790797;NAUT;5;6;1.51;;
DIALYSE_P;2019;060792900;060790797;NCINF;1;4;4.64;;
DIALYSE_P;2019;060792926;920033636;M1110;3;;1.8;0;1
DIALYSE_P;2019;060792926;920033636;N4100;1;2;1.41;;
DIALYSE_P;2019;060792926;920033636;NAUT;10;5;7.41;;
DIALYSE_P;2019;060792926;920033636;NCINF;28;4;18;;
DIALYSE_P;2019;060801016;060790540;M1110;;;0.19;0;0
DIALYSE_P;2019;060801016;060790540;N4100;;;0.5;;
DIALYSE_P;2019;060801016;060790540;NAUT;;;0.27;;
DIALYSE_P;2019;060801016;060790540;NCINF;;;2.66;;
DIALYSE_P;2019;070000179;070780358;M1110;3;0;2.13;0;1
DIALYSE_P;2019;070000179;070780358;N2500;2;8;8.63;;
DIALYSE_P;2019;070000179;070780358;NAUT;4;5;6.52;;
DIALYSE_P;2019;070000179;070780358;NCINF;22;7;23.79;;
DIALYSE_P;2019;070004726;380793802;M1110;;2;1.9;1;1
DIALYSE_P;2019;070004726;380793802;NAUT;8;;6.42;;
DIALYSE_P;2019;070004726;380793802;NCINF;11;4;13.51;;
DIALYSE_P;2019;070786231;690796552;M1110;0;1;0.09;;1
DIALYSE_P;2019;070786231;690796552;NAUT;;2;0.05;;
DIALYSE_P;2019;070786231;690796552;NCINF;0;5;1.95;;
DIALYSE_P;2019;070786249;690796552;M1110;;4;0.35;;1
DIALYSE_P;2019;070786249;690796552;NAUT;;1;0.5;;
DIALYSE_P;2019;070786249;690796552;NCINF;1;7;3.74;;
DIALYSE_P;2019;080000425;080000615;M1110;4;;0.78;0;1
DIALYSE_P;2019;080000425;080000615;N2500;18;;17.45;;
DIALYSE_P;2019;080000425;080000615;NAUT;;1;0.75;;
DIALYSE_P;2019;080000425;080000615;NCINF;17;7;23.74;;
DIALYSE_P;2019;080005846;510000953;M1110;;;0.04;0;0
DIALYSE_P;2019;080005846;510000953;NCINF;1;1;1.62;;
DIALYSE_P;2019;080006034;510000953;M1110;;;0.06;0;0
DIALYSE_P;2019;080006034;510000953;NCINF;2;;2;;
DIALYSE_P;2019;080008568;510000953;M1110;;;0.32;0;0
DIALYSE_P;2019;080008568;510000953;N2500;;1;0.73;;
DIALYSE_P;2019;080008568;510000953;NCINF;6;3;8.6;;
DIALYSE_P;2019;090000175;090781774;M1110;3;;3.35;0;1
DIALYSE_P;2019;090000175;090781774;N2500;2;3;5.17;;
DIALYSE_P;2019;090000175;090781774;NCINF;12;1;11.54;;
DIALYSE_P;2019;090002833;310000633;M1110;;;0.45;1;1
DIALYSE_P;2019;090002833;310000633;N4100;;;0.29;;
DIALYSE_P;2019;090002833;310000633;NAUT;;;0.79;;
DIALYSE_P;2019;090002833;310000633;NCINF;;11;4.95;;
DIALYSE_P;2019;090784125;310000633;M1110;;;0.05;1;1
DIALYSE_P;2019;090784125;310000633;N4100;;;0.29;;
DIALYSE_P;2019;090784125;310000633;NAUT;;;0.79;;
DIALYSE_P;2019;090784125;310000633;NCINF;;2;1.26;;
DIALYSE_P;2019;090784679;310000633;M1110;;;0.07;1;1
