BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2019;050000256;050000124;N4130;4;;3.13;0;1;;
IMAGES_P;2019;050000256;050000124;NAUT;2;4;3.38;;;;
IMAGES_P;2019;050000348;050002948;M1160;1;4;5.16;;;0;0
IMAGES_P;2019;050000348;050002948;N4130;13;14;22.57;0;1;;
IMAGES_P;2019;050000348;050002948;N4160;0;0;0.5;;;;
IMAGES_P;2019;050000348;050002948;NAUT;8;3;8.51;;;;
IMAGES_P;2019;060000478;060780897;M1160;3;4;4.15;;;;
IMAGES_P;2019;060000478;060780897;N4130;10;2;11.78;;;;
IMAGES_P;2019;060000478;060780897;NAUT;4;2;4.76;;;;
IMAGES_P;2019;060000486;060780905;N4130;;1;0.6;0;0;;
IMAGES_P;2019;060000510;060780954;M1160;9;1;7.58;0;1;;
IMAGES_P;2019;060000510;060780954;N4130;34;1;35.18;1;1;;
IMAGES_P;2019;060000510;060780954;N4160;1;;1;;;;
IMAGES_P;2019;060000510;060780954;NAUT;35;;33.51;;;;
IMAGES_P;2019;060000528;060780962;M1160;4;4;7.71;0;0;;
IMAGES_P;2019;060000528;060780962;M1210;6;1;7.13;;0;;
IMAGES_P;2019;060000528;060780962;N4130;28;2;30.91;0;1;;
IMAGES_P;2019;060000528;060780962;N4160;3;0;1.84;;;;
IMAGES_P;2019;060000528;060780962;NAUT;25;1;22.42;;;;
IMAGES_P;2019;060000544;060780988;M1160;6;1;7;0;1;0;0
IMAGES_P;2019;060000544;060780988;N4130;27;4;30.03;0;0;;
IMAGES_P;2019;060000544;060780988;N4160;;1;0.34;;;;
IMAGES_P;2019;060000544;060780988;NAUT;8;8;10.83;;;;
IMAGES_P;2019;060002102;060791761;M1160;3;2;3.8;0;1;0;0
IMAGES_P;2019;060002102;060791761;N4130;13;1;13.5;1;0;;
IMAGES_P;2019;060002102;060791761;N4160;1;;0.8;;;;
IMAGES_P;2019;060002102;060791761;NAUT;7;1;6.3;;;;
IMAGES_P;2019;060780442;060000213;M1160;;1;0.2;0;0;0;0
IMAGES_P;2019;060780442;060000213;N4130;1;;1;0;0;;
IMAGES_P;2019;060780459;010783009;N4130;;1;0.23;0;0;;
