BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2019;590787586;590780193;REAADU;15;5380;1275;1356;47;5339;27;21;106;;1;2.5;0;0;1.19;35;10;39.26;21;4;23.09;2;0;2.1;5;0;6.13
REA;2019;590787586;590780193;SITOT;26;8962;3995;;;9133;;;;;;;;;;;;;;;;;;;;;
REA;2019;590787586;590780193;SURVADU;5;1755;276;;;434;;;;;;0.55;0;0;0;6;2;7.74;6;0;5.19;0;0;0;0;0;0
REA;2019;590787586;590780193;USIC;20;7296;3486;;;8228;;;;8;;2.15;1;0;1.2;34;21;49.19;35;14;43.66;1;0;0.74;5;2;6.09
REA;2019;590788964;590001756;SURVADU;6;2190;108;;;614;;;;2;;2;;1;0.5;4;1;4.25;4;2;4.8;;;;1;0;1
REA;2019;590796975;590780193;AUTSI;28;9488;8157;;;5497;;;;1;;6.37;5;0;2.9;56;19;64.3;41;8;47.34;1;0;0.5;7;2;7.96
REA;2019;590796975;590780193;REAADU;68;24120;1903;1967;39;23668;26;47;97;30;1;15.02;5;1;4.88;149;33;168.3;101;25;114.56;6;1;6.88;20;4;21.36
REA;2019;590796975;590780193;SITOT;44;15328;9624;;;10623;;;;;;;;;;;;;;;;;;;;;
REA;2019;590796975;590780193;SIUNV;16;5840;1467;;;5126;;;;2;;1.64;1;0;1;7;3;8;8;2;9.29;0;0;0.48;1;3;2.46
REA;2019;590796975;590780193;SURVADU;36;12549;2842;;;10627;;;;;;4.05;1;0;1.13;43;3;43.42;27;7;29.64;1;0;1;4;2;5.42
REA;2019;590797353;590051801;AUTSI;3;1095;57;;;1180;;;;;;;;;;;;;;;;;;;;;
REA;2019;590797353;590051801;SITOT;3;1095;57;;;1180;;;;;;;;;;;;;;;;;;;;;
REA;2019;590797353;590051801;SURVADU;4;1460;570;;;1298;;;;1;;1;1;;1;3;4;5.8;1;18;4.79;;;;;;
REA;2019;590797353;590051801;SURVENF;4;1460;558;;;1817;;;;1;;1;5;;3.8;;;;;;;;;;;;
