BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2019;010000024;010780054;REAADU;12;4380;835;884;92;3260;15;34;168;5;1;3.87;1;1;1.8;20;11;26.54;15;4;17.05;;;;1;;1
REA;2019;010000024;010780054;SITOT;6;2190;577;;;1624;;;;;;;;;;;;;;;;;;;;;
REA;2019;010000024;010780054;SIUNV;6;2190;577;;;1624;;;;;7;1.07;;;;;;;;;;;;;;;
REA;2019;010000024;010780054;SURVADU;6;2190;621;;;1829;;;;5;1;1.29;;;;8;4;9.86;8;1;7.9;;;;;;
REA;2019;010000024;010780054;SURVENF;4;1460;296;;;1448;;;;;5;0.37;;;;;;;;;;;;;;;
REA;2019;010000032;010780062;SURVADU;4;1460;846;;;1619;;;;;;;1;;0.18;19;;4.24;9;;4.23;;;;;2;0.94
REA;2019;010005239;010008407;SURVADU;3;1095;417;;;662;;;;0;0;0;1;0;0.45;1;1;1.57;6;3;7.53;0;0;0;0;0;0.05
REA;2019;010780195;010000156;REAADU;10;3650;609;644;18;3810;13;35;180;12;;12;1;;1;19;0;20.86;8;;7.9;;;;1;;1.28
REA;2019;010780195;010000156;SITOT;6;2190;1193;;;1762;;;;;;;;;;;;;;;;;;;;;
REA;2019;010780195;010000156;SURVADU;5;1825;0;;;0;;;;;;;;;;;;;;;;;;;;;
REA;2019;010780195;010000156;USIC;6;2190;1193;;;1762;;;;9;1;9.5;;1;0.9;8;;10.22;;1;1.34;;;;1;;0.89
REA;2019;010780203;010010718;SURVADU;6;2190;415;;;1619;;;;4;;4;;;;4;;4;4;;4;;;;;;
REA;2019;020000162;020000063;REAADU;10;3650;364;383;33;3591;16;43;69;2;51;2.95;1;2;0.82;26;4;17.15;25;0;15.12;0;0;0;7;4;4.15
REA;2019;020000162;020000063;SITOT;18;6570;1771;;;5336;;;;;;;;;;;;;;;;;;;;;
REA;2019;020000162;020000063;SIUNV;6;2190;636;;;1430;;;;3;3;0.8;1;0;0.3;7;2;8.3;8;0;8;0;0;0;2;0;1.5
REA;2019;020000162;020000063;SURVADU;6;2131;298;;;1892;;;;2;51;1.72;1;2;0.48;26;4;10.02;25;0;8.83;0;0;0;7;4;2.43
REA;2019;020000162;020000063;USIC;12;4380;1135;;;3906;;;;3;1;3.8;0;2;0.3;16;5;19.05;10;3;11.95;0;0;0;4;1;3.98
REA;2019;020000394;020000253;REAADU;8;2920;273;279;18;2172;2;47;41;0;4;1.94;0;0;0;19;1;19.36;12;0;12;0;0;0;0;2;0.7
REA;2019;020000394;020000253;SITOT;6;2190;547;;;1457;;;;;;;;;;;;;;;;;;;;;
REA;2019;020000394;020000253;SURVADU;4;1460;229;;;844;;;;0;4;1.94;0;0;0;4;1;4.96;3;0;3;0;0;0;0;2;0.8
REA;2019;020000394;020000253;USIC;6;2190;547;;;1457;;;;0;5;2.5;0;0;0;7;1;8.2;2;1;2.33;0;0;0;1;0;0.6
REA;2019;020000519;020000261;REAADU;8;2920;309;319;15;2542;8;41;69;1;2;1.7;;1;0.66;13;2;14.3;11;2;12.3;;;;;3;0.87
REA;2019;020000519;020000261;SITOT;12;4380;1178;;;2638;;;;;;;;;;;;;;;;;;;;;
REA;2019;020000519;020000261;SIUNV;6;2190;525;;;1314;;;;4;;4;;1;0.5;5;1;5.94;3;1;3.87;;;;3;;3
REA;2019;020000519;020000261;SURVADU;4;1460;258;;;1250;;;;1;2;1.7;;1;0.34;6;2;7.1;5;2;6.1;;;;;2;0.43
REA;2019;020000519;020000261;USIC;6;2190;653;;;1324;;;;1;;1;;1;0.5;4;2;5.6;3;1;3.8;;;;3;;3
REA;2019;020000535;020000287;AUTSI;5;1825;257;;;1534;;;;0;1;0.25;;;;;;;;;;;;;;;
REA;2019;020000535;020000287;REAADU;;;0;0;0;0;0;0;0;0;;;;2;0.52;;34;11.91;;31;9.76;;;;;16;3.54
REA;2019;020000535;020000287;SITOT;11;4015;781;;;3723;;;;;;;;;;;;;;;;;;;;;
REA;2019;020000535;020000287;SURVADU;3;1095;183;;;996;;;;0;3;0.9;;;;;;;;;;;;;;;
REA;2019;020000535;020000287;USIC;6;2190;524;;;2189;;;;0;2;0.95;;;;;;;;;;;;;;;
REA;2019;020001061;020004404;REAADU;8;2920;450;461;21;2649;10;39;101;6;;4.57;;1;0.55;;15;15.1;11;;11;;;;2;;1
REA;2019;020001061;020004404;SITOT;4;1460;288;;;850;;;;;;;;;;;;;;;;;;;;;
REA;2019;020001061;020004404;SURVADU;4;1460;333;;;1260;;;;;;;;;0.2;;8;8.3;6;;5.5;;;;;;0.5
REA;2019;020001061;020004404;USIC;4;1460;288;;;850;;;;1;;0.61;;;0.2;;6;6.75;5;;5;;;;;;0.5
REA;2019;020010047;020001632;AUTSI;4;1460;497;;;2676;;;;3;;3;;;;3;1;3.5;4;1;4.5;;;;;2;0.5
REA;2019;020010047;020001632;SITOT;4;1460;497;;;2676;;;;;;;;;;;;;;;;;;;;;
REA;2019;020010047;020001632;SURVADU;12;4380;272;;;2332;;;;4;;4;1;;1;8;;8;9;;9;;;;;4;0.9
REA;2019;030000061;030780092;REAADU;8;2920;273;285;9;2430;3;46;67;1;4;4.98;1;0;1;19;5;21.39;18;3;20.06;0;0;0;2;0;2
REA;2019;030000061;030780092;SITOT;8;2920;522;;;1700;;;;;;;;;;;;;;;;;;;;;
REA;2019;030000061;030780092;SURVADU;4;1460;317;;;1256;;;;0;3;0.15;;;;;;;;;;;;;;;
REA;2019;030000061;030780092;USIC;8;2920;522;;;1700;;;;1;3;1.98;0;1;0.67;8;1;9.06;9;2;7.75;0;0;0;0;1;0.5
REA;2019;030000079;030780100;REAADU;8;2920;346;349;10;3492;17;48;71;4;;3.9;1;;0.95;23;1;24.24;14;;14.07;;;;2;1;1.81
REA;2019;030000079;030780100;SITOT;10;3650;1251;;;3877;;;;;;;;;;;;;;;;;;;;;
REA;2019;030000079;030780100;SIUNV;4;1460;346;;;1245;;;;4;1;0.53;;;;6;;5.29;7;1;7.57;;;;;;
REA;2019;030000079;030780100;SURVADU;4;1460;37;;;176;;;;;1;0.2;;;0.05;2;;1.22;1;;0.71;;;;;;0.09
REA;2019;030000079;030780100;SURVENF;2;730;220;;;578;;;;5;3;0.52;1;;0.87;2;;1.2;3;;2.59;;;;1;;0.73
REA;2019;030000079;030780100;USIC;6;2190;905;;;2632;;;;2;;1.73;;;0.28;7;;5.96;6;;5.39;;;;2;;1.86
REA;2019;030000087;030780118;REAADU;8;2920;440;457;55;2340;8;51;108;6;0;4.55;1;0;1;17;0;16.29;10;0;10.02;0;0;0;1;1;1.5
REA;2019;030000087;030780118;SITOT;10;3650;1076;;;2163;;;;;;;;;;;;;;;;;;;;;
REA;2019;030000087;030780118;SIUNV;2;730;148;;;285;;;;;;;0;0;0;3;1;3.8;4;3;5.91;0;0;0;2;1;2.8
REA;2019;030000087;030780118;SURVADU;2;730;161;;;574;;;;;;;1;0;0.2;4;0;4.54;3;0;3;0;0;0;0;0;0
REA;2019;030000087;030780118;SURVENF;4;1460;305;;;817;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2019;030000087;030780118;USIC;8;2920;928;;;1878;;;;3;;1.75;0;0;0;8;0;8.07;7;7;7.26;0;0;0;1;0;1
REA;2019;030781116;030000426;SURVADU;10;3650;1404;;;6828;;;;9;;9;1;;1;6;1;6.5;4;;4;;;;;;
REA;2019;040000093;040780215;SURVADU;8;2920;547;;;2279;;;;6;3;7.14;1;0;1;11;4;13.34;8;5;12.04;0;0;0;2;0;2
REA;2019;040000911;040788879;REAADU;6;2190;121;122;8;1629;2;65;48;2;2;3.94;0;1;0.75;8;5;11.95;7;1;7.14;0;1;0.05;;1;1.17
REA;2019;040000911;040788879;SURVADU;2;730;128;;;706;;;;1;1;1.31;0;1;0.25;3;1;3.98;2;1;2.39;;;;;1;0.39
REA;2019;050000090;050006931;SURVADU;3;1095;22;;;122;;;;6;;0.25;;;;6;;0.5;6;;0.25;;;;;;
REA;2019;050000231;050000116;SURVADU;8;2920;337;;;1600;;;;5;14;8.23;0;2;0.57;10;3;11.72;4;1;4.27;0;0;0;0;1;0.9
REA;2019;050000348;050002948;REAADU;8;2920;273;276;12;2063;16;50;54;1;8;3.74;1;0;0.5;10;15;19.82;9;5;13;0;0;0;1;2;1.15
REA;2019;050000348;050002948;SURVADU;8;2920;1055;;;4502;;;;1;5;1.18;1;0;0.5;7;6;11.57;3;8;7.66;0;0;0;1;3;1.66
REA;2019;060000478;060780897;REAADU;8;2920;261;270;9;2301;5;44;50;6;17;5.02;3;0;2.2;25;0;23.78;11;1;9.05;2;0;0.38;4;0;3.92
REA;2019;060000478;060780897;SURVADU;4;1460;260;;;1102;;;;2;0;0.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2019;060000510;060780954;REAADU;10;3650;471;489;25;2773;3;38;96;5;1;6.1;1;;1.75;26;2;27.56;17;2;17.65;;;;5;;5.35
REA;2019;060000510;060780954;SITOT;6;2190;707;;;1779;;;;;;;;;;;;;;;;;;;;;
REA;2019;060000510;060780954;SURVADU;9;3285;656;;;3074;;;;;2;0.9;;;;6;;5.53;6;1;6.8;;;;1;;1
REA;2019;060000510;060780954;USIC;6;2190;707;;;1779;;;;1;;1;;;;7;;7;8;;8;;;;1;1;2.11
REA;2019;060000528;060780962;AUTSI;10;3650;236;;;3358;;;;4;0;1.32;2;0;0.63;27;4;9.32;25;0;7.04;0;0;;2;0;0.72
REA;2019;060000528;060780962;SITOT;10;3650;236;;;3358;;;;;;;;;;;;;;;;;;;;;
REA;2019;060000528;060780962;SURVADU;7;2543;302;;;2305;;;;8;0;1.16;2;0;0.16;18;13;14.16;13;1;7.06;0;0;;2;2;0.39
REA;2019;060000544;060780988;REAADU;8;2920;543;561;58;2431;3;49;116;0;9;3.77;;2;1.33;15;5;19.68;12;1;12.39;0;1;0.6;1;4;2.57
REA;2019;060000544;060780988;SITOT;12;4380;1264;;;3459;;;;;;;;;;;;;;;;;;;;;
REA;2019;060000544;060780988;SIUNV;4;1460;246;;;965;;;;0;13;2.59;;1;0.1;5;;4.24;2;;2.42;;1;0.01;;1;0.2
REA;2019;060000544;060780988;SURVADU;4;1460;188;;;529;;;;0;9;1.66;;1;0.1;5;1;5.31;3;1;3.14;;;;;3;0.75
REA;2019;060000544;060780988;USIC;8;2920;1018;;;2494;;;;1;7;1.94;;1;0.6;11;2;10.7;10;;9.8;;;;;;
REA;2019;060010899;060785011;SURVADU;1;365;18;;;39;;;;0;1;0.1;;;;;;;;;;;;;;;
REA;2019;060021417;060000221;SURVADU;10;3650;22;;;167;;;;;;;;;;;;;;;;;;;;;
REA;2019;060780491;060790797;REAADU;8;2920;476;491;13;2495;7;33;103;;12;6;;1;0.7;18;;15.14;9;;7.98;;5;2.5;;;1.04
REA;2019;060780491;060790797;SURVADU;32;11680;1800;;;7438;;;;;;;;2;0.62;;34;10.31;;30;9.65;;;;;18;5.59
REA;2019;060780517;060000239;SURVADU;15;5475;278;;;1018;;;;;13;;;;;;;;;;;;;;;;
REA;2019;060780715;060000361;SITOT;6;2190;645;;;1410;;;;;;;;;;;;;;;;;;;;;
REA;2019;060780715;060000361;SURVADU;43;15695;2030;;;12448;;;;2;2;2.5;;2;0.5;16;3;17;5;1;6.5;;8;2;8;;8
REA;2019;060780715;060000361;USIC;6;2190;645;;;1410;;;;;18;4.8;;1;0.3;4;1;4.8;4;1;4.8;;2;0.2;2;;2
REA;2019;060780723;060004959;SURVADU;8;2920;539;;;2186;;;;2;17;4;;;;4;2;4.8;4;2;4.8;;;;;;
REA;2019;060780756;060000403;SURVADU;5;1825;116;;;415;;;;5;;;;;;;;;;;;;;;;;
REA;2019;060780947;060800174;REAENF;5;1825;175;182;18;1100;26;;;4;2;2.03;13;5;7.65;8;5;5.32;12;4;7.61;;;;6;1;2.49
REA;2019;060780947;060800174;SURVENF;6;2190;479;;;1725;;;;4;2;2.03;13;5;7.65;8;5;5.32;12;4;7.61;;;;6;1;2.49
REA;2019;060781200;060000635;SURVADU;9;3285;89;;;753;;;;;6;0.2;;;;4;1;4.5;4;1;4.5;;4;0.2;2;;2
REA;2019;060785003;060785011;AUTSI;6;2190;258;;;1674;;;;0;1;1.03;;;;;;;;;;;;;;;
REA;2019;060785003;060785011;REAADU;23;8395;924;1247;535;5644;7;38;71;1;12;4.64;3;;1.67;47;8;48.3;30;6;31.42;;;;16;2;10.65
REA;2019;060785003;060785011;SITOT;24;8757;1951;;;7174;;;;;;;;;;;;;;;;;;;;;
REA;2019;060785003;060785011;SIUNV;8;2917;427;;;2460;;;;1;2;1.36;;;;;;;;;;;;;;;
REA;2019;060785003;060785011;SURVADU;27;10095;2076;;;6125;;;;0;18;4.67;4;;0.9;40;5;41.13;30;2;32.11;1;;0.05;7;1;2.73
REA;2019;060785003;060785011;USIC;10;3650;1266;;;3040;;;;0;2;0.8;;;;;;;;;;;;;;;
REA;2019;060785219;060780608;SITOT;12;4380;1724;;;4631;;;;;;;;;;;;;;;;;;;;;
REA;2019;060785219;060780608;SURVADU;6;2190;51;;;33;;;;;2;0.5;1;;0.2;6;;5.45;3;1;2.25;1;;0.1;;;
REA;2019;060785219;060780608;USIC;12;4380;1724;;;4631;;;;2;1;2.5;1;;0.8;11;1;7.4;8;1;5.6;1;;0.1;;;
REA;2019;060789195;060785011;AUTSI;13;4745;121;;;3042;;;;0;7;1.98;2;;1.2;14;1;14.1;11;1;11.69;;;;5;2;4.57
REA;2019;060789195;060785011;REAADU;16;5840;701;748;35;5192;52;48;73;5;4;4.38;2;;1.2;34;3;30.66;23;2;21.3;;;;8;2;6.64
REA;2019;060789195;060785011;SITOT;13;4745;121;;;3042;;;;;;;;;;;;;;;;;;;;;
REA;2019;060789195;060785011;SURVADU;12;4380;837;;;2975;;;;1;5;1.89;1;;0.48;11;1;9.03;9;1;9.54;;;;1;1;0.64
REA;2019;060789195;060785011;SURVENF;10;3650;454;;;2068;;;;0;6;1.53;13;1;12.68;6;1;3.94;11;1;11.45;;;;4;2;4.6
REA;2019;060791811;060010808;REAADU;8;2920;261;265;14;2593;66;57;133;3;11;4.31;1;;1;13;2;17.05;8;3;11.19;;1;0.28;;;
REA;2019;060791811;060010808;SURVADU;10;3650;413;;;3519;;;;1;3;1.7;;1;0.5;6;3;5;6;2;7.02;;2;0.28;;;
REA;2019;060794013;060790797;REAADU;11;4015;840;870;56;2971;21;29;207;;;;1;;1;18;;17.9;9;;9.54;;;;5;;3.56
REA;2019;060794013;060790797;SITOT;8;2920;676;;;2714;;;;;;;;;;;;;;;;;;;;;
REA;2019;060794013;060790797;SURVADU;28;10220;2402;;;7151;;;;;;;;1;0.35;;17;7.39;;9;4.96;;;;;8;4.55
REA;2019;060794013;060790797;USIC;8;2920;676;;;2714;;;;;;;;;0.37;5;;7.44;6;;5.66;;;;;;
REA;2019;060800166;060780608;SURVADU;15;5475;774;;;4396;;;;10;;1;7;;0.5;;;;7;;6;;5;0.1;1;;0.5
REA;2019;070000013;070002878;SURVADU;4;1460;272;;;1148;;;;1;0;1.37;1;0;1;11;2;11.37;7;0;6;0;0;0;1;0;0.7
REA;2019;070000179;070780358;REAADU;8;2920;433;453;30;2708;7;39;149;3;2;3.66;1;0;0.98;17;6;20.27;10;9;15.17;0;0;0;1;3;3.27
REA;2019;070000179;070780358;SURVADU;10;3650;547;;;2551;;;;5;0;1.1;1;0;0.1;4;3;6.46;3;0;3.08;0;0;0;3;0;0.33
REA;2019;070000609;070005566;SURVADU;8;2920;446;;;2110;;;;1;0;0.66;0;0;0;10;4;12.71;9;0;8.99;0;0;0;2;2;1.98
REA;2019;070780168;070000088;SURVADU;4;1460;65;;;600;;;;0;3;0.2;;;;;2;1;0;2;1;;;;;;
REA;2019;070780424;070000245;SURVADU;18;6570;853;;;4330;;;;9;5;13;1;;1;13;2;13.57;11;1;11.6;;;;1;3;1.26
REA;2019;080000110;080000037;AUTSI;4;1460;206;;;956;;;;2;;2;;;;;;;;;;;;;;;
REA;2019;080000110;080000037;SITOT;12;4380;393;;;2065;;;;;;;;;;;;;;;;;;;;;
REA;2019;080000110;080000037;USIC;8;2920;187;;;1109;;;;1;;1;;;;7;;7.21;7;;6.73;;2;0.2;;1;0.25
REA;2019;080000219;080001969;SURVADU;6;2190;477;;;2058;;;;;7;0.83;;1;0.04;1;8;4.79;3;4;4.82;;;;;;
REA;2019;080000425;080000615;AUTSI;1;365;86;;;533;;;;5;;1.1;;;;;;;;;;;;;;;
REA;2019;080000425;080000615;REAADU;15;4746;567;589;23;4051;13;48;107;6;;5.05;1;;1;30;3;30.06;20;1;19.08;;;;1;1;1.2
REA;2019;080000425;080000615;SITOT;9;3285;647;;;3580;;;;;;;;;;;;;;;;;;;;;
REA;2019;080000425;080000615;SURVADU;4;1460;167;;;998;;;;5;;1.35;;;;;;;;;;;;;;;
REA;2019;080000425;080000615;USIC;8;2920;561;;;3047;;;;1;;0.2;;1;0.5;10;8;15.44;5;8;10.88;;;;;1;0.05
REA;2019;090000175;090781774;REAADU;8;2920;532;548;22;3531;5;36;159;;8;3.37;;;;18;6;17.45;14;3;11.92;;;;;;
REA;2019;090000175;090781774;SURVADU;4;1460;17;;;45;;;;;8;1.68;;;;18;6;8.72;14;3;5.96;;;;;;
REA;2019;090000183;090781816;AUTSI;8;2920;157;;;2025;;;;1;;1;1;;0.35;11;1;12.58;10;;9.6;;2;1.3;5;5;5.36
REA;2019;090000183;090781816;SITOT;8;2920;157;;;2025;;;;;;;;;;;;;;;;;;;;;
REA;2019;090000183;090781816;SURVADU;2;730;183;;;809;;;;1;;1;;;;4;;3.06;3;;2.4;;;;3;;1.85
REA;2019;100000090;100000017;AUTSI;2;730;38;;;699;;;;0;2;0.6;0;0;0;2;0;0.75;0;0;0;0;0;0;0;0;0
REA;2019;100000090;100000017;REAADU;12;4362;598;608;29;3406;6;44;151;1;6;4.19;0;1;0.8;0;37;28.28;0;26;19.4;0;0;0;1;8;5.11
REA;2019;100000090;100000017;SITOT;20;7300;1412;;;6662;;;;;;;;;;;;;;;;;;;;;
REA;2019;100000090;100000017;SIUNV;4;1460;298;;;1225;;;;0;5;0.83;0;0;0;0;17;6.09;0;14;0.62;0;0;0;0;4;0.58
REA;2019;100000090;100000017;SURVADU;6;2159;506;;;1725;;;;0;5;1.5;0;1;0.2;0;37;7.12;0;26;4.86;0;0;0;0;3;0.4
REA;2019;100000090;100000017;SURVENF;4;1460;285;;;933;;;;0;4;0.4;0;8;6.4;0;0;0;0;15;0.7;0;0;0;0;4;0.3
REA;2019;100000090;100000017;USIC;14;5110;1076;;;4738;;;;0;7;0.58;0;0;0.46;16;7;18.52;11;2;12.29;0;0;0;0;1;0.05
REA;2019;100000124;100009075;SURVADU;12;4380;649;;;3138;;;;10;;10;;;;;;;;;;;;;;;
REA;2019;100000199;100006279;SURVADU;6;2190;523;;;1829;;;;;;;2;;2.19;11;3;14.75;12;2;14.19;;;;;;1.14
REA;2019;100010818;100010792;SURVADU;8;2920;502;;;2504;;;;;;;1;0;1;10;1;10.8;10;1;10.69;2;;2;3;;3
REA;2019;110000023;110780061;REAADU;8;2920;404;415;23;2398;1;51;69;;7;4.37;;1;0.6;;;;;23;13.52;;8;1.1;;4;0.38
REA;2019;110000023;110780061;SITOT;16;5716;1367;;;5126;;;;;;;;;;;;;;;;;;;;;
REA;2019;110000023;110780061;SIUNV;8;2920;676;;;2600;;;;;6;0.68;;1;0.3;7;3;9;9;;6.91;;8;0.5;;1;0.1
REA;2019;110000023;110780061;SURVADU;6;2190;226;;;937;;;;;7;1.9;;1;0.3;;30;9.12;;23;9.15;;8;0.3;;4;0.24
REA;2019;110000023;110780061;USIC;8;2796;691;;;2526;;;;;3;0.42;;1;0.3;11;1;11.09;6;;6;;;;;;
REA;2019;110000056;110780137;REAADU;8;2920;314;319;14;2386;7;42;42;3;1;2.73;1;;0.75;20;4;17.46;14;2;11.81;;;;1;;0.67
REA;2019;110000056;110780137;SITOT;10;3650;1254;;;3000;;;;;;;;;;;;;;;;;;;;;
REA;2019;110000056;110780137;SIUNV;4;1460;541;;;1314;;;;1;2;0.8;;;0.03;14;;5.38;7;;3.32;;;;;1;0.1
REA;2019;110000056;110780137;SURVADU;4;1460;262;;;917;;;;3;1;0.91;1;;0.25;20;4;5.45;14;2;4.01;;;;1;;0.33
REA;2019;110000056;110780137;USIC;6;2190;713;;;1686;;;;3;3;1.2;;;0.05;14;;8.08;7;;4.98;;;;;1;0.15
REA;2019;110780228;110000114;SURVADU;11;4015;1159;;;3476;;;;6;;6;1;;0.4;8;;7.56;4;1;4.69;;;;;;
REA;2019;110780483;110000155;SURVADU;8;2920;580;;;2908;;;;;;;;;;4;5;6.99;4;2;5.33;;;;;;
REA;2019;120000039;120780044;REAADU;9;3285;613;625;46;2390;15;41;194;4;1;5.15;0;1;1.4;18;7;21.7;13;1;13.72;0;0;0;1;1;1.02
REA;2019;120000039;120780044;SITOT;16;5840;1149;;;4693;;;;;;;;;;;;;;;;;;;;;
REA;2019;120000039;120780044;SIUNV;8;2920;509;;;2288;;;;6;2;5.27;0;2;0.6;2;7;7.53;6;2;8.68;0;0;0;0;1;0.1
REA;2019;120000039;120780044;SURVADU;3;1095;198;;;487;;;;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0
REA;2019;120000039;120780044;USIC;8;2920;640;;;2405;;;;6;7;8.27;0;1;0.5;10;7;12.94;8;1;8.8;0;0;0;0;3;1.02
REA;2019;120000054;120780069;SURVADU;7;2555;320;;;2220;;;;1;1;1.83;0;1;0.5;10;1;11.62;2;3;4.52;0;0;0;0;0;0.03
REA;2019;120000070;120780085;SURVADU;4;1460;154;;;1014;;;;;12;1.42;;1;0.3;6;;6;5;2;6.3;;;;;;
REA;2019;120004569;120004528;SURVADU;5;1825;396;;;1444;;;;;3;1.2;1;;0.5;6;;6.1;6;2;7.8;;;;;;
REA;2019;120004668;120004619;SURVADU;4;1460;205;;;1192;;;;1;;0.51;;1;0.25;;5;2.89;2;4;5.41;;;;;2;0.66
REA;2019;130000409;130041916;AUTSI;2;730;88;;;694;;;;0;3;0.25;;;;3;;3;3;;3;;;;;;0.2
REA;2019;130000409;130041916;REAADU;15;5475;579;593;33;5025;12;43;122;2;8;6.79;;1;0.52;31;7;34.95;19;2;20.11;1;;0.9;2;;1.53
REA;2019;130000409;130041916;SITOT;18;6570;2393;;;5592;;;;;;;;;;;;;;;;;;;;;
REA;2019;130000409;130041916;SIUNV;4;1460;665;;;1086;;;;0;3;0.45;;;;6;;5.03;5;;4.39;;;;;;
REA;2019;130000409;130041916;SURVADU;9;3285;1246;;;3908;;;;0;10;2.75;1;;1;7;4;10.28;10;;10.52;;;;;;0.5
REA;2019;130000409;130041916;SURVENF;4;1460;452;;;980;;;;0;5;0.74;;;;3;;3.76;5;;4.42;;;;5;;3.81
REA;2019;130000409;130041916;USIC;12;4380;1640;;;3812;;;;0;12;1.5;;1;0.75;17;2;18.1;6;4;8.66;;;;1;1;2
REA;2019;130000565;130781446;REAADU;8;2920;343;351;12;2510;9;41;97;;12;3.93;;1;0.6;20;2;20.64;11;4;13.34;;;;;;
REA;2019;130000565;130781446;SURVADU;4;1460;204;;;1128;;;;;2;1.2;;1;0.2;6;;5.52;5;;4.1;;;;;;
REA;2019;130001225;130782634;REAADU;8;2920;241;248;3;3359;5;47;83;6;1;5.88;;;;18;10;24.58;13;3;14.99;;1;0.65;5;1;5.6
REA;2019;130001225;130782634;SURVADU;4;1460;237;;;1156;;;;;;;;;;;;;;;;;;;;;
REA;2019;130001647;130784127;AUTSI;60;21896;1720;;;21419;;;;15;5;15.54;8;;7.33;56;8;62.03;20;;20.4;;;;9;;10.17
REA;2019;130001647;130784127;REAADU;10;3650;510;545;33;3410;16;37;34;13;3;13.94;1;;1;25;3;25.66;11;;10.75;2;1;2.25;4;1;3.25
REA;2019;130001647;130784127;SITOT;60;21896;1720;;;21419;;;;;;;;;;;;;;;;;;;;;
REA;2019;130001647;130784127;SURVADU;10;3650;743;;;3385;;;;8;2;9.29;1;;1;12;1;12.64;10;;10.75;1;;2.2;3;;3.25
REA;2019;130002215;130785512;SURVADU;6;2190;327;;;1496;;;;6;0;3;;1;0.5;6;;6;6;;6;;1;0.2;;1;0.5
REA;2019;130002827;130789274;REAADU;6;2190;291;300;15;2353;7;45;63;0;6;3.42;1;3;1.78;21;3;23.8;16;0;16.12;0;0;0;0;7;0.9
REA;2019;130002827;130789274;SITOT;6;2190;650;;;1738;;;;;;;;;;;;;;;;;;;;;
REA;2019;130002827;130789274;SURVADU;3;1095;32;;;111;;;;0;1;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2019;130002827;130789274;USIC;6;2190;650;;;1738;;;;0;4;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2019;130002835;130789316;REAADU;8;2906;391;407;15;2973;8;42;114;;;;;1;0.64;;25;15.54;;21;11.76;;;0;;7;3.93
REA;2019;130002835;130789316;SITOT;6;2190;506;;;1504;;;;;;;;;;;;;;;;;;;;;
REA;2019;130002835;130789316;SURVADU;4;1460;152;;;493;;;;;;;;1;0.31;;25;7.78;;21;5.88;;;0;;7;1.97
REA;2019;130002835;130789316;USIC;6;2190;506;;;1504;;;;;7;4.89;;1;0.25;;21;6.15;;13;6.15;;;;;8;1.93
REA;2019;130037922;130037823;REAADU;10;3650;119;125;2;3860;64;52;44;2;;1;1;;1;21;0;22.73;10;0;9.89;;;;;;
REA;2019;130037922;130037823;SURVADU;6;2190;116;;;814;;;;;2;1;;;;;;;;;;;;;;;
REA;2019;130041767;130041262;SITOT;12;4380;1107;;;3564;;;;;;;;;;;;;;;;;;;;;
REA;2019;130041767;130041262;USIC;12;4380;1107;;;3564;;;;5;3;5.3;;;;10;4;12.95;9;1;9.14;;;;2;;2.17
REA;2019;130042096;130042062;SITOT;16;5840;1228;;;4543;;;;;;;;;;;;;;;;;;;;;
REA;2019;130042096;130042062;USIC;16;5840;1228;;;4543;;;;1;;1;1;;1;15;;14.4;7;;7;;;;;;
REA;2019;130043664;130002157;REAADU;20;7300;674;704;26;6009;21;45;140;8;1;16.03;;;;64;9;56.29;36;6;29.56;;;;12;;12
REA;2019;130043664;130002157;SURVADU;17;5623;749;;;4506;;;;;;;;;;;;;;;;;;;;;
REA;2019;130780521;130786049;AUTSI;2;443;1473;;;642;;;;;;;;;;;;;;;;;;;;;
REA;2019;130780521;130786049;REAADU;39;11344;1484;1599;104;10855;14;39;145;15;12;16.25;8;1;8.45;116;4;93.84;70;5;53.53;;;;25;3;22.88
REA;2019;130780521;130786049;SITOT;14;4823;3424;;;3902;;;;;;;;;;;;;;;;;;;;;
REA;2019;130780521;130786049;SURVADU;9;3285;830;;;2297;;;;12;12;1.86;3;;0.15;105;1;9.01;65;5;7.97;;;;13;3;4.62
REA;2019;130780521;130786049;SURVENF;1;332;105;;;193;;;;;5;1.4;;;;;;;;;;;;;;;
REA;2019;130780521;130786049;USIC;12;4380;1951;;;3260;;;;3;3;2.33;1;;1;13;3;14.56;11;3;12.64;;;;;8;2.13
REA;2019;130781370;130000532;SURVADU;5;1825;65;;;242;;;;3;2;4;1;0;1;6;0;6;5;0;5;;;;4;0;4
