BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2019;060785003;060785011;1;1;0;0;0;;0;1;574;574;574;4;4;1;0;3493;2899;0;192;132;0;6716;1374;302;21;249;798;2931;211;586;649;2282;373719;;323566;313774;246808;210380;65392;617;336;208;918;0;8;;7830;
SMURSAMU;2019;060789195;060785011;1;0;0;1;0;;0;0;;168;;;;;;0;405;229;0;69;;703;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2019;070000013;070002878;1;1;0;0;0;;0;1;168;168;168;;1;;;483;35;;;;;518;;20;2;;;246;;;246;;121285;5472;107307;101025;91237;86423;23878;848;165;119;307;0;75;0;928;1
SMURSAMU;2019;070000179;070780358;1;1;0;0;0;;0;0;168;168;168;;2;;;665;1;;;;;666;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2019;070000609;070005566;1;1;0;0;0;;0;0;168;168;168;;2;;;865;93;;;;;958;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2019;080000110;080000037;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;705;3;0;;;;708;40;83;14;14;;583;81;151;484;99;;;;;;;;;;;;;;;;
SMURSAMU;2019;080000219;080001969;1;1;0;0;0;;0;0;336;336;336;1;1;;;516;35;10;0;0;0;561;65;43;2;15;5;400;14;118;335;65;;;;;;;;;;;;;;;;
SMURSAMU;2019;080000276;080001969;1;1;0;0;0;;0;0;168;168;168;1;1;;;302;104;23;;;;429;59;34;5;16;8;429;36;82;325;104;;;;;;;;;;;;;;;;
SMURSAMU;2019;080000425;080000615;1;1;0;0;0;;0;1;336;255;351;2;2;;;1847;582;0;0;45;0;2474;717;181;14;164;358;1146;74;232;997;149;125996;0;125996;;85468;56599;0;168;168;;267;1;0;0;1062;0
SMURSAMU;2019;080009814;080000615;1;0;0;0;1;080000615;0;0;168;11;14;;;;;643;16;0;0;0;0;659;135;42;0;64;;384;41;78;168;216;;;;;;;;;;;;;;;;
SMURSAMU;2019;090000175;090781774;1;1;0;0;0;;0;1;182;168;222;1;3;;;1051;397;;132;;;1580;256;161;5;54;;978;55;130;701;277;143498;0;143498;;38791;28075;10716;195;168;27;216;1;0;0;1361;1
SMURSAMU;2019;090000183;090781816;1;1;0;0;0;;0;0;168;168;168;1;1;;;330;116;38;;;;484;125;66;0;18;81;160;8;36;138;22;;;;;;;;;;;;;;;;
SMURSAMU;2019;100000090;100000017;1;1;0;0;0;;0;1;336;336;372;2;2;0;0;1692;434;55;0;0;0;2181;1322;290;9;474;549;370;74;10;270;100;182973;0;150098;;106097;43216;8641;216;168;48;372;0;11;;750;0
SMURSAMU;2019;100000199;100006279;1;1;0;0;0;;0;0;168;168;36;0;1;0;0;460;72;0;0;0;0;532;229;76;2;28;123;231;43;102;155;76;;;;;;;;;;;;;;;;
SMURSAMU;2019;100010206;100000017;1;0;0;0;1;100000017;0;0;168;168;0;0;1;0;0;331;21;0;0;0;0;352;274;41;3;67;163;57;13;0;41;16;;;;;;;;;;;;;;;;
SMURSAMU;2019;110000023;110780061;1;1;0;0;0;;0;1;336;336;336;2;2;1;0;1556;264;28;180;78;0;2106;784;164;7;143;520;926;60;172;843;83;122165;4128;118037;118037;93996;76656;17010;224;168;56;552;0;6;0;3721;1
SMURSAMU;2019;110000056;110780137;1;1;0;0;0;;0;0;339;339;0;;1;1;;1565;428;;138;44;;2175;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2019;110007580;110780061;1;0;0;0;1;110780061;0;0;78;78;78;;1;;;379;47;0;0;0;0;426;199;29;3;24;149;186;9;41;91;95;;;;;;;;;;;;;;;;
SMURSAMU;2019;110007598;110780061;1;0;0;0;1;110780061;0;0;152;152;;;1;;;475;;;;;;475;402;26;8;63;267;106;4;20;87;19;;;;;;;;;;;;;;;;
SMURSAMU;2019;120000039;120780044;1;1;0;0;0;;0;1;168;252;168;1;3;1;0;1001;186;;314;385;;1886;536;146;;84;306;1084;57;232;975;109;102819;5665;90038;55677;52780;50755;20828;236;168;68;300;1;25;;1544;
SMURSAMU;2019;120000054;120780069;1;1;0;0;0;;0;0;186;186;0;;;;;281;35;;;;;316;52;37;;15;;229;17;47;197;32;;;;;;;;;;;;;;;;
SMURSAMU;2019;120000070;120780085;1;1;0;0;0;;0;0;208;336;0;;;;;313;;;;;;313;66;35;;31;;223;7;41;140;83;;;;;;;;;;;;;;;;
SMURSAMU;2019;120004569;120004528;1;1;0;0;0;;0;0;168;168;0;;1;;;287;37;2;;;;326;;36;0;17;60;190;16;46;139;51;;;;;;;;;;;;;;;;
SMURSAMU;2019;120004668;120004619;1;1;0;0;0;;0;0;168;168;0;2;1;0;;214;21;16;0;0;0;251;85;41;2;15;35;138;20;77;123;15;;;;;;;;;;;;;;;;
