BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2019;310783055;310781406;M9999;4;30;13.31;;1
URGENCES_P;2019;310783055;310781406;N1220;2;;2.78;;0
URGENCES_P;2019;310783055;310781406;N2120;2;;1.49;;0
URGENCES_P;2019;310783055;310781406;N2500;32;6;35.54;;
URGENCES_P;2019;310783055;310781406;N9999;95;15;99.61;;
URGENCES_P;2019;310783055;310781406;NINF;59;9;59.79;;0
URGENCES_P;2019;320000086;320780117;M9999;9;7;11.9;3;1
URGENCES_P;2019;320000086;320780117;N1220;1;0;1;;
URGENCES_P;2019;320000086;320780117;N2120;1;0;1;3;1
URGENCES_P;2019;320000086;320780117;N2500;9;1;9.5;;
URGENCES_P;2019;320000086;320780117;N9999;34;2;33.25;;
URGENCES_P;2019;320000086;320780117;NINF;21;1;21.75;3;1
URGENCES_P;2019;320000102;320780133;M9999;2;5;5.19;;1
URGENCES_P;2019;320000102;320780133;N2120;;1;0.8;;1
URGENCES_P;2019;320000102;320780133;N2500;8;;7.95;;
URGENCES_P;2019;320000102;320780133;N3120;;1;0.25;;
URGENCES_P;2019;320000102;320780133;N9999;21;3;22.18;;
URGENCES_P;2019;320000102;320780133;NINF;13;1;13.18;;
URGENCES_P;2019;330000555;330781204;M9999;14;4;14.55;;1
URGENCES_P;2019;330000555;330781204;N1220;2;;1.4;;1
URGENCES_P;2019;330000555;330781204;N2120;1;;0.8;;1
URGENCES_P;2019;330000555;330781204;N2500;4;6;9.6;;
URGENCES_P;2019;330000555;330781204;N2620;12;1;6.2;;1
URGENCES_P;2019;330000555;330781204;N3120;1;;0.15;;
URGENCES_P;2019;330000555;330781204;N9999;50;11;43.35;;
URGENCES_P;2019;330000555;330781204;NINF;30;4;25.2;;1
URGENCES_P;2019;330000571;330781220;M9999;8;8;5.02;3;1
URGENCES_P;2019;330000571;330781220;N1220;7;;4.85;3;1
URGENCES_P;2019;330000571;330781220;N2500;10;;5.03;;
URGENCES_P;2019;330000571;330781220;N3120;1;;0.3;;
URGENCES_P;2019;330000571;330781220;N9999;49;3;33.09;;
URGENCES_P;2019;330000571;330781220;NINF;23;2;16.34;3;1
URGENCES_P;2019;330000589;330027509;M9999;3;6;7.09;1;1
URGENCES_P;2019;330000589;330027509;N1220;1;0;1;;0
URGENCES_P;2019;330000589;330027509;N2120;1;0;0.5;;0
URGENCES_P;2019;330000589;330027509;N2500;19;0;17.36;;
URGENCES_P;2019;330000589;330027509;N2620;0;0;0;1;0
URGENCES_P;2019;330000589;330027509;N9999;35;12;37.63;;
URGENCES_P;2019;330000589;330027509;NINF;14;7;17.36;1;1
URGENCES_P;2019;330000605;330781253;M1140;;5;1.57;;1
URGENCES_P;2019;330000605;330781253;M9999;;25;12.05;;1
URGENCES_P;2019;330000605;330781253;N1220;2;;2;;
URGENCES_P;2019;330000605;330781253;N2120;;1;2.23;;
URGENCES_P;2019;330000605;330781253;N2500;21;2;19.35;;
URGENCES_P;2019;330000605;330781253;N2620;1;;0.99;;
URGENCES_P;2019;330000605;330781253;N9999;71;8;68.35;;
URGENCES_P;2019;330000605;330781253;NINF;36;5;37.31;;
URGENCES_P;2019;330058355;330781253;M9999;;1;2.49;;1
URGENCES_P;2019;330058355;330781253;N2120;;1;0.23;;
URGENCES_P;2019;330058355;330781253;N2500;2;;2.33;;
URGENCES_P;2019;330058355;330781253;N9999;4;3;6.3;;
URGENCES_P;2019;330058355;330781253;NINF;2;2;3.74;;
URGENCES_P;2019;330780263;330000134;M9999;4;4;5;;0
URGENCES_P;2019;330780263;330000134;N1220;7;1;7.66;;0
URGENCES_P;2019;330780263;330000134;N2120;1;;1;;0
URGENCES_P;2019;330780263;330000134;N2500;11;2;12.72;;
URGENCES_P;2019;330780263;330000134;N2620;1;;1;;0
URGENCES_P;2019;330780263;330000134;N3120;1;;1;;
URGENCES_P;2019;330780263;330000134;N9999;39;5;43.47;;
URGENCES_P;2019;330780263;330000134;NINF;18;2;20.09;;0
URGENCES_P;2019;330780479;330000274;M9999;10;3;11;;
URGENCES_P;2019;330780479;330000274;N1220;4;1;4.89;;
URGENCES_P;2019;330780479;330000274;N2120;1;;1;;
URGENCES_P;2019;330780479;330000274;N2500;10;1;10.32;;
URGENCES_P;2019;330780479;330000274;N3120;;1;0.5;;
URGENCES_P;2019;330780479;330000274;N9999;31;5;34.34;;
URGENCES_P;2019;330780479;330000274;NINF;16;2;17.63;;
URGENCES_P;2019;330780495;330796392;M9999;4;7;8.32;2;1
URGENCES_P;2019;330780495;330796392;N1220;4;5;6.11;;0
URGENCES_P;2019;330780495;330796392;N2120;1;0;0.5;2;1
URGENCES_P;2019;330780495;330796392;N2500;6;2;6.01;;
URGENCES_P;2019;330780495;330796392;N2620;;2;0.55;;0
URGENCES_P;2019;330780495;330796392;N9999;27;11;29.37;;
URGENCES_P;2019;330780495;330796392;NINF;16;2;16.2;2;1
URGENCES_P;2019;330780529;330796392;M9999;5;5;12.63;;0
URGENCES_P;2019;330780529;330796392;N1220;5;1;5.76;;
URGENCES_P;2019;330780529;330796392;N2120;1;;1;;0
URGENCES_P;2019;330780529;330796392;N2500;11;;11.08;;
URGENCES_P;2019;330780529;330796392;N9999;41;3;43.97;;
URGENCES_P;2019;330780529;330796392;NINF;24;2;26.13;;
URGENCES_P;2019;330780537;330000324;M9999;1;11;11.08;3;1
URGENCES_P;2019;330780537;330000324;N1220;5;0;5;3;0
URGENCES_P;2019;330780537;330000324;N2120;1;;1;;0
URGENCES_P;2019;330780537;330000324;N2620;10;;10;3;1
URGENCES_P;2019;330780537;330000324;N9999;28;1;28;;
URGENCES_P;2019;330780537;330000324;NINF;12;;12;3;1
URGENCES_P;2019;330781303;750821092;M9999;10;4;9.48;;0
URGENCES_P;2019;330781303;750821092;N1220;6;1;7.2;;0
URGENCES_P;2019;330781303;750821092;N2120;1;0;1;;0
URGENCES_P;2019;330781303;750821092;N2500;9;0;11.96;;
URGENCES_P;2019;330781303;750821092;N2620;2;0;3;;0
URGENCES_P;2019;330781303;750821092;N9999;45;1;58.41;;
URGENCES_P;2019;330781303;750821092;NINF;25;0;27.25;;0
URGENCES_P;2019;330781352;330781196;M9999;5;11;9.2;1;1
URGENCES_P;2019;330781352;330781196;N1220;1;;1;;0
URGENCES_P;2019;330781352;330781196;N2120;2;;2;;0
URGENCES_P;2019;330781352;330781196;N2500;21;;21;;
URGENCES_P;2019;330781352;330781196;N9999;50;6;55;;
URGENCES_P;2019;330781352;330781196;NINF;26;6;31;;0
URGENCES_P;2019;330781360;330781196;M1140;4;7;8.04;;0
URGENCES_P;2019;330781360;330781196;M9999;21;38;34.74;1;1
URGENCES_P;2019;330781360;330781196;N1220;7;0;7;;0
URGENCES_P;2019;330781360;330781196;N2120;3;0;3;;0
URGENCES_P;2019;330781360;330781196;N2500;77;11;84.5;;
URGENCES_P;2019;330781360;330781196;N2620;1;0;1;;0
URGENCES_P;2019;330781360;330781196;N3120;1;0;1;;
URGENCES_P;2019;330781360;330781196;N9999;182;49;217.07;;
URGENCES_P;2019;330781360;330781196;NINF;93;38;120.57;;0
URGENCES_P;2019;330783648;330781196;M9999;1;;0.6;;
URGENCES_P;2019;330783648;330781196;N2120;1;;1;;
URGENCES_P;2019;330783648;330781196;N2500;10;15;15.1;;
URGENCES_P;2019;330783648;330781196;N3120;;1;0.43;;
URGENCES_P;2019;330783648;330781196;N9999;28;55;38.57;;
URGENCES_P;2019;330783648;330781196;NINF;13;10;18.31;;
URGENCES_P;2019;340000033;340780055;M1140;;11;3.5;;
URGENCES_P;2019;340000033;340780055;M3020;;3;1.6;;
URGENCES_P;2019;340000033;340780055;M9999;3;29;15.01;;1
URGENCES_P;2019;340000033;340780055;N1220;2;2;2.89;;1
URGENCES_P;2019;340000033;340780055;N2120;1;;0.64;;1
URGENCES_P;2019;340000033;340780055;N2500;32;4;33.61;;
URGENCES_P;2019;340000033;340780055;N2620;;;;;1
URGENCES_P;2019;340000033;340780055;N3120;;1;0.3;;
URGENCES_P;2019;340000033;340780055;N9999;99;17;96.23;;
URGENCES_P;2019;340000033;340780055;NINF;49;10;50.43;;1
URGENCES_P;2019;340000223;340011295;M9999;18;0;3.5;;
URGENCES_P;2019;340000223;340011295;N1220;3;0;2.85;;
URGENCES_P;2019;340000223;340011295;N2120;1;0;0.99;;
URGENCES_P;2019;340000223;340011295;N2500;12;0;10.44;;
URGENCES_P;2019;340000223;340011295;N3120;1;0;0.33;;
URGENCES_P;2019;340000223;340011295;N9999;47;5;47.43;;
URGENCES_P;2019;340000223;340011295;NINF;27;4;27.57;;
URGENCES_P;2019;340015502;340000512;M9999;13;;13;;
URGENCES_P;2019;340015502;340000512;N1220;6;;6;;
URGENCES_P;2019;340015502;340000512;N2120;1;0;1;;
URGENCES_P;2019;340015502;340000512;N2500;2;;2;;
URGENCES_P;2019;340015502;340000512;N9999;27;2;29;;
URGENCES_P;2019;340015502;340000512;NINF;18;2;19;;
URGENCES_P;2019;340015965;340000074;M9999;5;;5;;
URGENCES_P;2019;340015965;340000074;N1220;;5;2.5;;
URGENCES_P;2019;340015965;340000074;N2120;1;0;0.5;;
URGENCES_P;2019;340015965;340000074;N2500;;2;1.7;;
URGENCES_P;2019;340015965;340000074;N3120;;1;0.1;;
URGENCES_P;2019;340015965;340000074;N9999;10;10;15;;
URGENCES_P;2019;340015965;340000074;NINF;9;2;9.4;;
URGENCES_P;2019;340022979;340000306;M9999;0;20;8.6;;
URGENCES_P;2019;340022979;340000306;N1220;12;0;10.43;;
URGENCES_P;2019;340022979;340000306;N2120;1;0;1;;
URGENCES_P;2019;340022979;340000306;N2500;2;1;2.38;;
URGENCES_P;2019;340022979;340000306;N9999;34;3;33.1;;
URGENCES_P;2019;340022979;340000306;NINF;19;2;19.29;;
URGENCES_P;2019;340780147;340000108;M9999;0;5;4;;
URGENCES_P;2019;340780147;340000108;N1220;2;1;2.4;;
URGENCES_P;2019;340780147;340000108;N2120;1;0;1;;
URGENCES_P;2019;340780147;340000108;N2500;2;;2;;
URGENCES_P;2019;340780147;340000108;N2620;;1;0.3;;
URGENCES_P;2019;340780147;340000108;N3120;;1;0.1;;
URGENCES_P;2019;340780147;340000108;N9999;11;4;12;;
URGENCES_P;2019;340780147;340000108;NINF;6;1;6.2;;
URGENCES_P;2019;340780154;340000116;M9999;;6;4;;
URGENCES_P;2019;340780154;340000116;N1220;4;0;4;;
URGENCES_P;2019;340780154;340000116;N2120;1;0;1;;
URGENCES_P;2019;340780154;340000116;N2500;2;1;2.2;;
URGENCES_P;2019;340780154;340000116;N2620;1;0;0.2;;
URGENCES_P;2019;340780154;340000116;N3120;0;1;0.1;;
URGENCES_P;2019;340780154;340000116;N9999;13;4;13.7;;
URGENCES_P;2019;340780154;340000116;NINF;5;2;6.2;;
URGENCES_P;2019;340780634;340000272;M1140;1;5;2;;0
URGENCES_P;2019;340780634;340000272;M9999;8;7;9;;0
URGENCES_P;2019;340780634;340000272;N1220;0;7;5.3;;0
URGENCES_P;2019;340780634;340000272;N2120;0;1;0.5;;0
URGENCES_P;2019;340780634;340000272;N2500;1;4;2.6;;
URGENCES_P;2019;340780634;340000272;N3120;0;1;0.3;;
URGENCES_P;2019;340780634;340000272;N9999;8;19;18.1;;
URGENCES_P;2019;340780634;340000272;NINF;6;5;8.4;;0
URGENCES_P;2019;340780642;340785856;M9999;;9;5;;0
URGENCES_P;2019;340780642;340785856;N2120;0;1;0.5;;0
URGENCES_P;2019;340780642;340785856;N2500;2;2;3;;
URGENCES_P;2019;340780642;340785856;N9999;10;3;13.5;;
URGENCES_P;2019;340780667;340000280;M9999;9;8;13;;0
URGENCES_P;2019;340780667;340000280;N1220;6;1;6.5;;0
URGENCES_P;2019;340780667;340000280;N2120;1;0;1;;0
URGENCES_P;2019;340780667;340000280;N2500;7;1;7.5;;
URGENCES_P;2019;340780667;340000280;N2620;2;0;2;;0
URGENCES_P;2019;340780667;340000280;N3120;0;1;0.1;;
URGENCES_P;2019;340780667;340000280;N9999;33;3;33.1;;
URGENCES_P;2019;340780667;340000280;NINF;16;0;16;;0
URGENCES_P;2019;340780717;340023225;M9999;3;3;6.5;;
URGENCES_P;2019;340780717;340023225;N1220;1;1;1.5;;
URGENCES_P;2019;340780717;340023225;N2500;5;;5;;
URGENCES_P;2019;340780717;340023225;N9999;13;1;13.5;;
URGENCES_P;2019;340780717;340023225;NINF;7;;7;;
URGENCES_P;2019;340780725;340000330;M9999;;18;10;;
URGENCES_P;2019;340780725;340000330;N1220;2;1;3.39;;
URGENCES_P;2019;340780725;340000330;N2120;1;;1;;
URGENCES_P;2019;340780725;340000330;N2500;5;;5.49;;
URGENCES_P;2019;340780725;340000330;N3120;;1;0.2;;
URGENCES_P;2019;340780725;340000330;N9999;19;8;22.1;;
URGENCES_P;2019;340780725;340000330;NINF;11;6;12.02;;
URGENCES_P;2019;340785161;340780477;M1140;1;8;5.4;;0
URGENCES_P;2019;340785161;340780477;M3020;;20;3.09;;
URGENCES_P;2019;340785161;340780477;M9999;20;58;35.2;1;1
URGENCES_P;2019;340785161;340780477;N1220;29;;29;;0
URGENCES_P;2019;340785161;340780477;N2120;4;;4;1;1
URGENCES_P;2019;340785161;340780477;N2500;62;17;71.6;;
URGENCES_P;2019;340785161;340780477;N3120;1;2;2;;
URGENCES_P;2019;340785161;340780477;N9999;181;45;206.6;;
URGENCES_P;2019;340785161;340780477;NINF;85;26;100;;0
URGENCES_P;2019;350000121;350000303;M9999;7;2;9;;
URGENCES_P;2019;350000121;350000303;N1220;6;2;7.68;;
URGENCES_P;2019;350000121;350000303;N2120;1;;1;;
URGENCES_P;2019;350000121;350000303;N2500;4;1;4.5;;
URGENCES_P;2019;350000121;350000303;N9999;22;13;31.74;;
URGENCES_P;2019;350000121;350000303;NINF;11;10;18.56;;
URGENCES_P;2019;350000147;350000022;M9999;;18;16.78;3;1
URGENCES_P;2019;350000147;350000022;N1220;0;2;1;;
URGENCES_P;2019;350000147;350000022;N2120;1;0;1;;
URGENCES_P;2019;350000147;350000022;N2500;21;13;29.45;;
URGENCES_P;2019;350000147;350000022;N3120;0;2;0.4;;
URGENCES_P;2019;350000147;350000022;N9999;46;34;65.98;;
URGENCES_P;2019;350000147;350000022;NINF;23;17;33.1;;
URGENCES_P;2019;350000154;350000030;M9999;6;4;5.08;2;1
URGENCES_P;2019;350000154;350000030;N1220;5;2;6;2;1
URGENCES_P;2019;350000154;350000030;N2120;1;;0.83;2;1
URGENCES_P;2019;350000154;350000030;N2500;11;4;14.14;;
URGENCES_P;2019;350000154;350000030;N9999;31;15;41.14;;
URGENCES_P;2019;350000154;350000030;NINF;12;8;17.29;;0
URGENCES_P;2019;350000162;350000048;M1140;;;;3;1
URGENCES_P;2019;350000162;350000048;M9999;9;4;9.44;3;1
URGENCES_P;2019;350000162;350000048;N1220;4;1;3.57;3;1
URGENCES_P;2019;350000162;350000048;N2120;1;;1;3;1
URGENCES_P;2019;350000162;350000048;N2500;16;4;12.82;;
URGENCES_P;2019;350000162;350000048;N2620;6;2;0.99;;0
URGENCES_P;2019;350000162;350000048;N3120;1;;0.3;;
URGENCES_P;2019;350000162;350000048;N9999;43;11;34.44;;
URGENCES_P;2019;350000162;350000048;NINF;15;4;15.76;3;1
URGENCES_P;2019;350000188;350000055;M9999;6;6;6.36;;1
URGENCES_P;2019;350000188;350000055;N1220;2;2;3.01;;0
URGENCES_P;2019;350000188;350000055;N2120;1;0;0.74;3;1
URGENCES_P;2019;350000188;350000055;N2500;12;4;14.46;;
URGENCES_P;2019;350000188;350000055;N2620;7;0;3.88;3;1
URGENCES_P;2019;350000188;350000055;N9999;34;8;41.05;;
URGENCES_P;2019;350000188;350000055;NINF;12;1;13.72;;0
URGENCES_P;2019;350000741;350005179;M9999;28;9;9.67;;
URGENCES_P;2019;350000741;350005179;N1220;1;0;0.76;;
URGENCES_P;2019;350000741;350005179;N2120;3;1;3;;
URGENCES_P;2019;350000741;350005179;N2500;45;8;48.18;;
URGENCES_P;2019;350000741;350005179;N9999;115;30;121.9;;
URGENCES_P;2019;350000741;350005179;NINF;56;17;58.21;;
URGENCES_P;2019;350005146;350000733;M9999;4;3;6;;
URGENCES_P;2019;350005146;350000733;N1220;3;;3;;
URGENCES_P;2019;350005146;350000733;N2120;;1;0.5;;
URGENCES_P;2019;350005146;350000733;N2500;3;8;6.66;;
URGENCES_P;2019;350005146;350000733;N2620;;3;1.5;;
URGENCES_P;2019;350005146;350000733;N3120;;1;0.5;;
URGENCES_P;2019;350005146;350000733;N9999;28;22;26.73;;
URGENCES_P;2019;350005146;350000733;NINF;11;9;14.57;;
URGENCES_P;2019;350007084;350005179;M1140;9;1;5.1;;
URGENCES_P;2019;350007084;350005179;M9999;9;1;5.1;;
URGENCES_P;2019;350007084;350005179;N1220;;1;0.13;;
URGENCES_P;2019;350007084;350005179;N2120;2;0;2;;
URGENCES_P;2019;350007084;350005179;N2500;13;7;15.26;;
URGENCES_P;2019;350007084;350005179;N9999;46;27;60;;
URGENCES_P;2019;350007084;350005179;NINF;22;19;33.77;;
URGENCES_P;2019;360000038;360000046;M9999;5;;4.9;;
URGENCES_P;2019;360000038;360000046;N2120;;1;0.6;;
URGENCES_P;2019;360000038;360000046;N2500;9;;8.65;;
URGENCES_P;2019;360000038;360000046;N3120;;1;0.1;;
URGENCES_P;2019;360000038;360000046;N9999;13;6;17.5;;
URGENCES_P;2019;360000038;360000046;NINF;4;4;8.15;;
URGENCES_P;2019;360000137;360000053;M9999;37;8;32.13;3;1
URGENCES_P;2019;360000137;360000053;N1220;9;4;12;;
URGENCES_P;2019;360000137;360000053;N2120;1;1;1.6;;
URGENCES_P;2019;360000137;360000053;N2500;25;4;24.53;;
URGENCES_P;2019;360000137;360000053;N3120;1;1;1.83;;
URGENCES_P;2019;360000137;360000053;N9999;92;15;126.81;;
URGENCES_P;2019;360000137;360000053;NINF;56;5;58.26;;
URGENCES_P;2019;360000160;360000053;M9999;2;1;2.4;;
URGENCES_P;2019;360000160;360000053;N1220;;2;1.33;;
URGENCES_P;2019;360000160;360000053;N2120;;1;0.1;;
URGENCES_P;2019;360000160;360000053;N2500;5;2;5.83;;
URGENCES_P;2019;360000160;360000053;N3120;;1;0.59;;
URGENCES_P;2019;360000160;360000053;N9999;10;17;18.38;;
URGENCES_P;2019;360000160;360000053;NINF;5;11;10.53;;
URGENCES_P;2019;370000093;370013468;M9999;9;;9;;
URGENCES_P;2019;370000093;370013468;N1220;4;;4;;
URGENCES_P;2019;370000093;370013468;N2120;;1;0.8;;
URGENCES_P;2019;370000093;370013468;N2500;4;;2.24;;
URGENCES_P;2019;370000093;370013468;N9999;25;1;22.35;;
URGENCES_P;2019;370000093;370013468;NINF;17;;15.31;;
URGENCES_P;2019;370000499;370000481;M1140;4;4;5.36;;0
URGENCES_P;2019;370000499;370000481;M9999;9;4;9.53;;0
URGENCES_P;2019;370000499;370000481;N2120;1;;1;;
URGENCES_P;2019;370000499;370000481;N2500;13;4;14.1;;
URGENCES_P;2019;370000499;370000481;N3120;1;;1;;
URGENCES_P;2019;370000499;370000481;N9999;32;26;47.86;;
URGENCES_P;2019;370000499;370000481;NINF;11;20;25.31;;
URGENCES_P;2019;370000531;370000606;M9999;9;4;6.68;2;1
URGENCES_P;2019;370000531;370000606;N1220;3;1;2.92;3;0
URGENCES_P;2019;370000531;370000606;N2120;2;0;0.92;2;1
URGENCES_P;2019;370000531;370000606;N2500;11;0;10.94;;
URGENCES_P;2019;370000531;370000606;N3120;0;1;0.26;;
URGENCES_P;2019;370000531;370000606;N9999;36;8;32.98;;
URGENCES_P;2019;370000531;370000606;NINF;15;3;16.28;;1
URGENCES_P;2019;370000879;370000564;M9999;5;2;7.02;2;1
URGENCES_P;2019;370000879;370000564;N1220;2;;2.08;2;1
URGENCES_P;2019;370000879;370000564;N2120;1;;0.67;2;1
URGENCES_P;2019;370000879;370000564;N2500;7;2;9.95;;
URGENCES_P;2019;370000879;370000564;N9999;19;5;24.82;;
URGENCES_P;2019;370000879;370000564;NINF;9;3;12.12;2;1
URGENCES_P;2019;370000903;370000614;M9999;11;0;4.89;3;1
URGENCES_P;2019;370000903;370000614;N1220;2;0;0.58;3;1
URGENCES_P;2019;370000903;370000614;N2120;1;0;1;2;1
URGENCES_P;2019;370000903;370000614;N2500;14;1;6.54;;
URGENCES_P;2019;370000903;370000614;N3120;1;0;0.2;;
URGENCES_P;2019;370000903;370000614;N9999;33;8;25.87;;
URGENCES_P;2019;370000903;370000614;NINF;15;7;16.51;2;1
URGENCES_P;2019;370004467;370000481;M9999;17;2;15.46;;1
URGENCES_P;2019;370004467;370000481;N1220;2;0;2;;
URGENCES_P;2019;370004467;370000481;N2120;1;0;1.63;;
URGENCES_P;2019;370004467;370000481;N2500;42;14;50.17;;
URGENCES_P;2019;370004467;370000481;N3120;2;0;1.5;;
URGENCES_P;2019;370004467;370000481;N9999;102;37;123.69;;
URGENCES_P;2019;370004467;370000481;NINF;41;20;53.78;;
URGENCES_P;2019;370007569;370007528;M9999;6;;6;;
URGENCES_P;2019;370007569;370007528;N1220;;5;3;;
URGENCES_P;2019;370007569;370007528;N2120;;;0.11;;
URGENCES_P;2019;370007569;370007528;N2500;3;;2.68;;
URGENCES_P;2019;370007569;370007528;N2620;;;0.01;;
URGENCES_P;2019;370007569;370007528;N3120;;;0.01;;
URGENCES_P;2019;370007569;370007528;N9999;14;13;19.55;;
URGENCES_P;2019;370007569;370007528;NINF;11;8;13.74;;
URGENCES_P;2019;380000026;380780031;M9999;3;;5.35;;0
URGENCES_P;2019;380000026;380780031;N1220;;1;0.98;;0
URGENCES_P;2019;380000026;380780031;N2120;;;0.2;;0
URGENCES_P;2019;380000026;380780031;N9999;2;2;4.27;;
URGENCES_P;2019;380000026;380780031;NINF;;1;0.81;;0
URGENCES_P;2019;380000034;380780049;M1140;0;9;1.94;;0
URGENCES_P;2019;380000034;380780049;M9999;2;23;13.51;;1
URGENCES_P;2019;380000034;380780049;N1220;0;1;0.9;;
URGENCES_P;2019;380000034;380780049;N2120;1;;1;;1
URGENCES_P;2019;380000034;380780049;N2500;13;2;11.65;;
URGENCES_P;2019;380000034;380780049;N9999;47;14;50.54;;
URGENCES_P;2019;380000034;380780049;NINF;33;11;36.96;;1
URGENCES_P;2019;380000042;380780056;M9999;6;1;5.25;;
URGENCES_P;2019;380000042;380780056;N1220;2;4;4.73;;
URGENCES_P;2019;380000042;380780056;N2120;1;0;0.41;;
URGENCES_P;2019;380000042;380780056;N2500;2;0;1.21;;
URGENCES_P;2019;380000042;380780056;N9999;20;4;22.28;;
URGENCES_P;2019;380000042;380780056;NINF;15;0;15.93;;
URGENCES_P;2019;380000067;380780080;M1140;4;9;10.59;;
URGENCES_P;2019;380000067;380780080;M9999;33;37;48;;
URGENCES_P;2019;380000067;380780080;N1220;7;;7.44;;
URGENCES_P;2019;380000067;380780080;N2120;6;;5.97;;
URGENCES_P;2019;380000067;380780080;N2500;49;19;60.67;;
URGENCES_P;2019;380000067;380780080;N2620;16;1;16.5;;
URGENCES_P;2019;380000067;380780080;N3120;2;;2;;
URGENCES_P;2019;380000067;380780080;N9999;218;77;266.65;;
URGENCES_P;2019;380000067;380780080;NINF;95;31;124.94;;
URGENCES_P;2019;380000174;380781435;M1140;;6;1.45;;0
URGENCES_P;2019;380000174;380781435;M9999;1;28;12.3;2;1
URGENCES_P;2019;380000174;380781435;N1220;;5;3.03;;0
URGENCES_P;2019;380000174;380781435;N2120;;2;1.13;2;1
URGENCES_P;2019;380000174;380781435;N2500;16;4;19.16;;
URGENCES_P;2019;380000174;380781435;N3120;;1;0.4;;
URGENCES_P;2019;380000174;380781435;N9999;49;23;61.96;;
URGENCES_P;2019;380000174;380781435;NINF;29;9;33.43;2;1
URGENCES_P;2019;380000406;380784751;M1140;0;1;0.8;;
URGENCES_P;2019;380000406;380784751;M9999;6;9;8.08;;
URGENCES_P;2019;380000406;380784751;N1220;5;4;6.07;;
URGENCES_P;2019;380000406;380784751;N2120;2;0;0.78;;
URGENCES_P;2019;380000406;380784751;N2500;11;1;9.86;;
URGENCES_P;2019;380000406;380784751;N3120;1;1;1.06;;
URGENCES_P;2019;380000406;380784751;N9999;54;10;53.07;;
URGENCES_P;2019;380000406;380784751;NINF;24;4;25.49;;
URGENCES_P;2019;380012658;380012609;M9999;5;20;19.87;;0
URGENCES_P;2019;380012658;380012609;N1220;4;4;7;;0
URGENCES_P;2019;380012658;380012609;N2120;1;;1;;0
URGENCES_P;2019;380012658;380012609;N2500;2;6;9.22;;
URGENCES_P;2019;380012658;380012609;N2620;4;2;4.5;;0
URGENCES_P;2019;380012658;380012609;N3120;1;;0.2;;
URGENCES_P;2019;380012658;380012609;N9999;30;29;52.52;;
URGENCES_P;2019;380012658;380012609;NINF;18;12;30.6;;0
URGENCES_P;2019;380020123;380021139;M9999;6;;6;;
URGENCES_P;2019;380020123;380021139;N1220;2;1;2.8;;
URGENCES_P;2019;380020123;380021139;N2120;0;1;0.3;;
URGENCES_P;2019;380020123;380021139;N2620;1;;1;;
URGENCES_P;2019;380020123;380021139;N9999;5;10;11.8;;
URGENCES_P;2019;380020123;380021139;NINF;2;8;7.7;;
URGENCES_P;2019;380782722;380780080;M9999;4;;4.65;;
URGENCES_P;2019;380782722;380780080;N2120;1;;1;;
URGENCES_P;2019;380782722;380780080;N2500;1;;1;;
URGENCES_P;2019;380782722;380780080;N9999;19;3;21.41;;
URGENCES_P;2019;380782722;380780080;NINF;6;3;9.03;;
URGENCES_P;2019;380785956;380795211;M9999;3;5;5.5;;
URGENCES_P;2019;380785956;380795211;N1220;3;;3;;
URGENCES_P;2019;380785956;380795211;N2120;1;0;1;;
URGENCES_P;2019;380785956;380795211;N2500;3;;3;;
URGENCES_P;2019;380785956;380795211;N2620;1;;1;;
URGENCES_P;2019;380785956;380795211;N9999;21;0;21;;
URGENCES_P;2019;380785956;380795211;NINF;13;;13;;
URGENCES_P;2019;390000040;390780146;M9999;;18;7.15;3;1
URGENCES_P;2019;390000040;390780146;N1220;;2;1.33;3;1
URGENCES_P;2019;390000040;390780146;N2120;;2;1.39;2;1
URGENCES_P;2019;390000040;390780146;N2500;8;5;12.83;;
URGENCES_P;2019;390000040;390780146;N9999;9;45;39.25;;
URGENCES_P;2019;390000040;390780146;NINF;1;36;23.7;3;1
URGENCES_P;2019;390000065;390780161;M9999;5;5;5.91;3;1
URGENCES_P;2019;390000065;390780161;N1220;1;1;2.33;3;1
URGENCES_P;2019;390000065;390780161;N2120;;2;0.35;3;1
URGENCES_P;2019;390000065;390780161;N2500;3;5;6.09;;
URGENCES_P;2019;390000065;390780161;N9999;13;17;22.52;;
URGENCES_P;2019;390000065;390780161;NINF;9;9;13.75;3;1
URGENCES_P;2019;390000222;390780609;M1140;;;;;1
URGENCES_P;2019;390000222;390780609;M9999;12;3;13.05;3;1
URGENCES_P;2019;390000222;390780609;N1220;2;;1.6;;
URGENCES_P;2019;390000222;390780609;N2120;2;;2;3;1
URGENCES_P;2019;390000222;390780609;N2500;6;1;7;;
URGENCES_P;2019;390000222;390780609;N9999;33;9;39.84;;
URGENCES_P;2019;390000222;390780609;NINF;12;5;16.77;3;1
URGENCES_P;2019;400000105;400780193;M1140;;4;0.85;;0
URGENCES_P;2019;400000105;400780193;M3020;;5;1.54;;
URGENCES_P;2019;400000105;400780193;M9999;;35;13.77;1;1
URGENCES_P;2019;400000105;400780193;N1220;4;;3.71;;0
URGENCES_P;2019;400000105;400780193;N2120;1;0;0.75;;0
URGENCES_P;2019;400000105;400780193;N2500;14;4;18.21;;
URGENCES_P;2019;400000105;400780193;N3120;;1;0.3;;
