BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2019;030000061;030780092;N2500;16;5;15.9;;
URGENCES_P;2019;030000061;030780092;N9999;43;20;48.93;;
URGENCES_P;2019;030000061;030780092;NINF;25;13;30.73;1;1
URGENCES_P;2019;030000079;030780100;M9999;7;5;5.01;3;1
URGENCES_P;2019;030000079;030780100;N1220;3;;2;3;1
URGENCES_P;2019;030000079;030780100;N2120;2;;1.33;3;1
URGENCES_P;2019;030000079;030780100;N2500;17;2;15.39;;
URGENCES_P;2019;030000079;030780100;N2620;;;;;1
URGENCES_P;2019;030000079;030780100;N3120;1;;0.7;;
URGENCES_P;2019;030000079;030780100;N9999;56;5;45.37;;
URGENCES_P;2019;030000079;030780100;NINF;32;3;21.61;3;1
URGENCES_P;2019;030000087;030780118;M9999;18;16;18.26;3;1
URGENCES_P;2019;030000087;030780118;N1220;6;0;5.25;;
URGENCES_P;2019;030000087;030780118;N2120;2;0;2;;1
URGENCES_P;2019;030000087;030780118;N2500;18;0;18.29;;
URGENCES_P;2019;030000087;030780118;N3120;0;1;0.56;;
URGENCES_P;2019;030000087;030780118;N9999;61;5;64.86;;
URGENCES_P;2019;030000087;030780118;NINF;22;3;23.94;;
URGENCES_P;2019;030781116;030000426;M9999;4;1;4.7;;
URGENCES_P;2019;030781116;030000426;N1220;1;;1;;
URGENCES_P;2019;030781116;030000426;N2120;1;;0.15;;
URGENCES_P;2019;030781116;030000426;N2500;2;1;2.4;;
URGENCES_P;2019;030781116;030000426;N2620;1;;1;;
URGENCES_P;2019;030781116;030000426;N9999;12;2;11.55;;
URGENCES_P;2019;030781116;030000426;NINF;7;;7;;
URGENCES_P;2019;040000093;040780215;M9999;9;9;12.92;3;1
URGENCES_P;2019;040000093;040780215;N1220;3;0;1.89;3;1
URGENCES_P;2019;040000093;040780215;N2120;1;0;1;3;1
URGENCES_P;2019;040000093;040780215;N2500;9;2;10.62;;
URGENCES_P;2019;040000093;040780215;N9999;48;9;51.92;;
URGENCES_P;2019;040000093;040780215;NINF;29;6;31.61;3;1
URGENCES_P;2019;040000135;050002948;M9999;1;11;4.51;;
URGENCES_P;2019;040000135;050002948;N1220;0;1;0.43;;
URGENCES_P;2019;040000135;050002948;N2120;0;3;0.95;;
URGENCES_P;2019;040000135;050002948;N2500;4;4;6.32;;
URGENCES_P;2019;040000135;050002948;N9999;6;21;19.73;;
URGENCES_P;2019;040000135;050002948;NINF;2;13;11.21;;
URGENCES_P;2019;040000911;040788879;M9999;;12;5.53;2;1
URGENCES_P;2019;040000911;040788879;N1220;;2;1.31;2;1
URGENCES_P;2019;040000911;040788879;N2120;;1;0.5;2;1
URGENCES_P;2019;040000911;040788879;N2500;7;1;7.83;;
URGENCES_P;2019;040000911;040788879;N9999;7;26;25.74;;
URGENCES_P;2019;040000911;040788879;NINF;;18;15.36;2;1
URGENCES_P;2019;050000231;050000116;M9999;10;18;18.28;;
URGENCES_P;2019;050000231;050000116;N1220;0;4;2.4;;
URGENCES_P;2019;050000231;050000116;N2120;0;2;0.61;;
URGENCES_P;2019;050000231;050000116;N2500;8;0;7.53;;
URGENCES_P;2019;050000231;050000116;N9999;15;22;24.22;;
URGENCES_P;2019;050000231;050000116;NINF;1;15;9.03;;
URGENCES_P;2019;050000256;050000124;M9999;2;2;3.08;;
URGENCES_P;2019;050000256;050000124;N2120;;1;0.46;;
URGENCES_P;2019;050000256;050000124;N2500;2;3;3.83;;
URGENCES_P;2019;050000256;050000124;N9999;6;13;13.12;;
URGENCES_P;2019;050000256;050000124;NINF;4;9;8.83;;
URGENCES_P;2019;050000348;050002948;M9999;11;28;18.07;3;1
URGENCES_P;2019;050000348;050002948;N1220;1;0;0.25;;
URGENCES_P;2019;050000348;050002948;N2120;;1;0.9;3;1
URGENCES_P;2019;050000348;050002948;N2500;9;9;16.79;;
URGENCES_P;2019;050000348;050002948;N3120;0;1;0.1;;
URGENCES_P;2019;050000348;050002948;N9999;19;37;42.73;;
URGENCES_P;2019;050000348;050002948;NINF;8;24;24.69;3;1
