BOR;AN;FI;FI_EJ;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;INTTOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A19;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
SYGEN;2019;010000024;010780054;271;68;43;382;13820;3937;3903;21660;86895;17803;12774;117472;14;20;4;38;2227;5132;0;7359;39352;205343;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;633;1;42694;0;;1;0;0;1;1;2329;0;2022;1;501;0;0;1;11075;1;1277;1;8024;1;18319;1;1;0;1;0;1;1;132;26;22;24;27;8;;2;17;2;180;66;9;7;;;;;;2;;;11;110.64;18.74;21.03;20.89;25.75;8.62;;1.39;15.91;1.48;155.17;65.03;47;35;90;456;359;91;16;34;1128;7;1;255;15;9;29;33;43;4;230;617;1745;42.52;33.26;79.66;424.79;344.07;88.48;10.23;22.12;1045.13;6.29;1;226.68;9.34;6.88;28.29;32.44;41.52;5.41;223.48;574.45;1619.58;1;1;1;1;0;0;1;;;;;2;1;2;;;;;;12;19
SYGEN;2019;010000032;010780062;66;17;10;93;3964;956;606;5526;19197;4679;1780;25656;4;5;;9;81;1242;0;1323;610;42111;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;536;1782;8;;;;;1;16844;0;;1;0;0;0;1;846;1;350;0;0;0;0;;;;;1;610;0;;0;0;0;0;0;0;1;19;13;;1;8;2;;;3;;30;5;;;;;;;;;;;;19.45;13.33;;1;7.2;1.2;;;2.9;;29.55;2.15;14;14;7;98;95;67;5;12;312;2;;60;6;3;10;10;10;2;61;161;473;11.56;14.08;5.54;105.43;113.26;73.87;2.66;10.14;336.54;2;;56.45;5.45;2.5;9;9.2;9.12;2;57.57;150.79;487.33;;;;;;;;;;;;1;1;;;;;;;4;6
SYGEN;2019;010000065;010780096;59;;;59;2341;0;0;2341;19159;0;0;19159;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;803;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;7;;;;;;;3;1;18;2;;;;;;;;;;;;11.86;7.26;;;;;;;1.57;1;14.43;1.16;;9;;62;76;10;5;12;174;1;;26;7;4;8;;2;;18;62;236;;7.25;;52.16;71.94;10.1;3.17;7.51;152.13;0.54;;17.62;4.7;3.49;3.17;;0.9;;10.82;37.75;189.88;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010000081;010780112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;145;0;;30;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;1;;5;;;;;;;;;;;;;1.62;1.62;;;;;;;0.69;;2.31;;;4;;9;26;76;2;5;122;5;1;14;1;1;3;;;;41;65;187;;1;;7.5;12.2;19.13;0.28;1.85;41.96;0.72;0.21;2.72;0.45;0.45;0.47;;;;8.05;12.62;54.58;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010000099;010780120;9;;;9;135;0;0;135;1828;0;0;1828;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;340;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;3;;;;;;;;;;;;;0.09;;;;;;;;;0.82;0.91;;;1;;9;17;8;;4;39;1;;10;;;2;;;;12;25;64;;1;;8.55;14.18;6.05;;2.92;32.7;0.05;;3.95;;;0.69;;;;6.49;11.18;43.88;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010000107;010780138;15;;;15;164;0;0;164;1911;0;0;1911;0;;;0;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;291;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;1;;4;;;;;;;;;;;;;1.85;;;;;;;;0.48;;2.33;;;1;;12;16;5;1;4;39;1;;11;1;1;2;;;;21;36;75;;0.51;;9.44;14.32;3.68;0.28;0.82;29.05;0.17;;2.77;0.49;0.49;0.32;;;;3.71;7.46;36.51;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010000115;010009132;12;;;12;146;0;0;146;3102;0;0;3102;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;212;0;;30;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;1;;5;;;;;;;;;;;;;2.23;;;;;;;;0.07;;2.3;;;4;;23;43;35;2;4;111;2;;6;3;1;2;;;;16;29;140;;4.25;;10.02;25.67;17.9;0.9;2.35;61.09;0.52;;3.16;1.85;0.25;1.76;;;;14.33;21.62;82.71;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010000131;010009132;8;;;8;191;0;0;191;2878;0;0;2878;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;421;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;2;;;;;;;;;;;;;1.36;;;;;;;;0.07;;1.43;;;2;;9;11;10;1;3;36;1;;10;2;1;1;;;;19;33;69;;1.3;;10.82;9.99;9.39;0.4;0.41;32.31;0.3;;4.37;0.28;0.04;0.5;;;;12.6;18.05;50.36;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010000180;010007987;8;;;8;340;0;0;340;2841;0;0;2841;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;567;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;2;;;;;;;;;;;;;1.36;1.36;;;;;;;;;1.36;;;1;;5;6;9;3;1;25;1;1;2;2;1;;;;;1;7;32;;1;;4.92;5.71;7.74;2.84;0.2;22.41;0.16;0.2;1.9;1.8;0.8;;;;;1;5.06;27.47;;;;;;;;;;;;;;;;;;;;;
SYGEN;2019;010000198;010007987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;1115;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;;;;;;;;;5;1;;;;;;;;;;;;4.49;2.39;;;;;;;;;4.49;0.5;;2;;8;10;16;1;8;45;1;1;4;1;1;;;;;1;8;53;;1.17;;7.2;9.03;15.36;0.1;8;40.86;0.2;0.3;3.02;0.1;0.1;;;;;0.13;3.75;44.61;;;;;;;;;;;;;;;;;;;;;
