BOR;AN;FI;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2019;030000061;030780092;N2223;1;6;5.3;1;0;0;0
SMURSAMU_P;2019;030000061;030780092;N5140;8;0;7.94;0;0;0;0
SMURSAMU_P;2019;030000061;030780092;N9999;9;6;13.24;;16;6;18.72
SMURSAMU_P;2019;030000079;030780100;M9999;7;5;5.31;1;;;
SMURSAMU_P;2019;030000079;030780100;N1220;2;;1;1;;;
SMURSAMU_P;2019;030000079;030780100;N2120;2;;0.67;1;;;
SMURSAMU_P;2019;030000079;030780100;N2223;32;3;8.73;1;;;
SMURSAMU_P;2019;030000079;030780100;N5140;8;;6;0;;;
SMURSAMU_P;2019;030000079;030780100;N9999;44;3;17.24;;;;
SMURSAMU_P;2019;030000087;030780118;M9999;18;16;18.26;1;;;
SMURSAMU_P;2019;030000087;030780118;N2120;2;0;2;1;;;
SMURSAMU_P;2019;030000087;030780118;N2223;11;1;11.8;;;;
SMURSAMU_P;2019;030000087;030780118;N2500;8;0;8.01;;;;
SMURSAMU_P;2019;030000087;030780118;N5140;3;0;2.91;;;;
SMURSAMU_P;2019;030000087;030780118;N9999;24;1;24.73;;;;
SMURSAMU_P;2019;040000093;040780215;M9999;8;9;1.28;1;0;0;0
SMURSAMU_P;2019;040000093;040780215;MREG;8;9;1.28;1;0;0;0
SMURSAMU_P;2019;040000135;050002948;M9999;0;10;3.71;;0;0;0
SMURSAMU_P;2019;040000135;050002948;N2223;3;2;4.3;;0;0;0
SMURSAMU_P;2019;040000135;050002948;N9999;3;2;4.3;;0;0;0
SMURSAMU_P;2019;040000911;040788879;M9999;;15;4.15;1;1;10;3.71
SMURSAMU_P;2019;040000911;040788879;N1220;;;;;6;3;7.67
SMURSAMU_P;2019;040000911;040788879;N2120;;1;0.25;1;;1;0.25
SMURSAMU_P;2019;040000911;040788879;N2223;;17;1.66;1;;;
SMURSAMU_P;2019;040000911;040788879;N5140;8;;8;1;;;
SMURSAMU_P;2019;040000911;040788879;N9999;13;18;14.01;1;6;4;7.92
SMURSAMU_P;2019;050000231;050000116;M9999;0;17;6.65;;0;0;0
SMURSAMU_P;2019;050000231;050000116;N1220;0;5;0.4;;0;0;0
SMURSAMU_P;2019;050000231;050000116;N2120;;0;0.2;;0;0;0
SMURSAMU_P;2019;050000231;050000116;N2223;0;15;6.07;;0;0;0
SMURSAMU_P;2019;050000231;050000116;N9999;0;20;6.67;;0;0;0
SMURSAMU_P;2019;050000348;050002948;M9999;0;23;10.26;;0;15;5.22
SMURSAMU_P;2019;050000348;050002948;N1220;1;0;0.05;;9;3;9.56
SMURSAMU_P;2019;050000348;050002948;N2120;0;0;0;;0;1;0.1
SMURSAMU_P;2019;050000348;050002948;N2223;4;9;8.39;;0;0;0
SMURSAMU_P;2019;050000348;050002948;N2500;0;0;0;;1;0;1.08
SMURSAMU_P;2019;050000348;050002948;N9999;5;9;8.44;;10;4;10.74
SMURSAMU_P;2019;060000478;060780897;M9999;5;0;2.47;;0;0;0
SMURSAMU_P;2019;060000478;060780897;MREG;5;0;2.47;;0;0;0
SMURSAMU_P;2019;060000510;060780954;M9999;;6;3.21;1;;;
SMURSAMU_P;2019;060000510;060780954;N2120;;;0.1;;;;
SMURSAMU_P;2019;060000510;060780954;N2223;3;;3;;;;
SMURSAMU_P;2019;060000510;060780954;N9999;3;;3.1;;;;
SMURSAMU_P;2019;060000544;060780988;M9999;1;4;2.8;1;;;
SMURSAMU_P;2019;060000544;060780988;N2120;;1;0.2;1;;;
SMURSAMU_P;2019;060000544;060780988;N2223;7;3;6;1;;;
SMURSAMU_P;2019;060000544;060780988;N9999;7;4;6.2;1;;;
SMURSAMU_P;2019;060002102;060791761;M9999;5;13;5.34;1;;;
SMURSAMU_P;2019;060002102;060791761;N2223;7;;6.5;;;;
SMURSAMU_P;2019;060002102;060791761;N9999;7;;6.5;;;;
SMURSAMU_P;2019;060785003;060785011;M9999;5;47;22.31;1;1;0;7.93
SMURSAMU_P;2019;060785003;060785011;N1220;;;;;32;15;40.26
SMURSAMU_P;2019;060785003;060785011;N2120;1;;0.21;;;;
SMURSAMU_P;2019;060785003;060785011;N2223;29;2;18.48;;3;;1.6
SMURSAMU_P;2019;060785003;060785011;N2500;2;;2;;;;
SMURSAMU_P;2019;060785003;060785011;N5140;22;;20.68;;1;;0.5
SMURSAMU_P;2019;060785003;060785011;N9999;54;2;42.12;;36;15;42.36
SMURSAMU_P;2019;060789195;060785011;M1140;0;1;0.36;1;;;
SMURSAMU_P;2019;060789195;060785011;M9999;0;1;0.36;1;;;
SMURSAMU_P;2019;060789195;060785011;N2223;1;;1;;;;
SMURSAMU_P;2019;060789195;060785011;N9999;2;1;2.67;;;;
SMURSAMU_P;2019;070000013;070002878;M9999;2;4;5.03;;5;3;6.27
SMURSAMU_P;2019;070000013;070002878;N1220;;;;;13;1;13.76
SMURSAMU_P;2019;070000013;070002878;N2120;;;;;1;;0.6
SMURSAMU_P;2019;070000013;070002878;N2223;2;1;2.49;;;;
SMURSAMU_P;2019;070000013;070002878;N2500;;;;;2;0;1.42
SMURSAMU_P;2019;070000013;070002878;N9999;2;1;2.49;;16;1;15.78
SMURSAMU_P;2019;070000179;070780358;M9999;5;1;3.18;1;0;0;0
SMURSAMU_P;2019;070000179;070780358;N1220;0;0;0;1;0;0;0
SMURSAMU_P;2019;070000179;070780358;N2120;1;0;0.1;1;0;0;0
SMURSAMU_P;2019;070000179;070780358;N2223;7;0;6.02;1;0;0;0
SMURSAMU_P;2019;070000179;070780358;N9999;9;1;7.78;1;0;0;0
SMURSAMU_P;2019;070000609;070005566;M9999;2;3;2.91;;0;0;0
SMURSAMU_P;2019;070000609;070005566;MREG;2;3;2.91;;0;0;0
SMURSAMU_P;2019;070000609;070005566;N2223;4;1;4.79;;0;0;0
SMURSAMU_P;2019;070000609;070005566;N2500;0;0;0.02;;0;0;0
SMURSAMU_P;2019;070000609;070005566;N5140;6;0;6.49;;0;0;0
SMURSAMU_P;2019;070000609;070005566;N9999;10;1;11.3;;0;0;0
SMURSAMU_P;2019;080000110;080000037;M9999;;5;2.15;1;;;
SMURSAMU_P;2019;080000110;080000037;N2120;1;;1;1;;;
SMURSAMU_P;2019;080000110;080000037;N2223;14;5;5.66;1;;;
SMURSAMU_P;2019;080000110;080000037;N5140;6;;5.67;1;;;
SMURSAMU_P;2019;080000110;080000037;N9999;21;5;12.33;;;;
SMURSAMU_P;2019;080000219;080001969;M9999;;4;2.03;1;;;
SMURSAMU_P;2019;080000219;080001969;N1220;;2;0.5;1;;;
SMURSAMU_P;2019;080000219;080001969;N2120;;1;0.04;1;;;
SMURSAMU_P;2019;080000219;080001969;N2223;;17;6.29;1;;;
SMURSAMU_P;2019;080000219;080001969;N2500;;;0.01;;;;
SMURSAMU_P;2019;080000219;080001969;N5140;;4;2.45;1;;;
SMURSAMU_P;2019;080000219;080001969;N9999;;24;9.29;1;;;
SMURSAMU_P;2019;080000276;080001969;M9999;;3;0.24;1;;;
SMURSAMU_P;2019;080000276;080001969;N1220;;1;0.25;1;;;
SMURSAMU_P;2019;080000276;080001969;N2120;;1;0.04;1;;;
SMURSAMU_P;2019;080000276;080001969;N2223;;4;2;1;;;
SMURSAMU_P;2019;080000276;080001969;N5140;;6;4.06;1;;;
SMURSAMU_P;2019;080000276;080001969;N9999;;12;6.35;1;;;
SMURSAMU_P;2019;080000425;080000615;M9999;11;3;7.94;1;8;1;3.32
SMURSAMU_P;2019;080000425;080000615;MREG;;;;1;8;1;3.32
SMURSAMU_P;2019;080000425;080000615;N1220;6;2;7.56;;;;
SMURSAMU_P;2019;080000425;080000615;N2120;;;;;;1;1
SMURSAMU_P;2019;080000425;080000615;N2223;2;25;10.17;;;;
SMURSAMU_P;2019;080000425;080000615;N5140;9;5;12.16;;;1;0.58
SMURSAMU_P;2019;080000425;080000615;N9999;17;32;29.89;;8;5;10.23
SMURSAMU_P;2019;080009814;080000615;M9999;7;;2.52;;;;
SMURSAMU_P;2019;090000175;090781774;M9999;;31;5.2;;;31;4.86
SMURSAMU_P;2019;090000175;090781774;N1220;;;;;8;;8.2
SMURSAMU_P;2019;090000175;090781774;N2120;;1;0.3;;;;
SMURSAMU_P;2019;090000175;090781774;N2223;;35;5.94;;;;
SMURSAMU_P;2019;090000175;090781774;N2500;;29;7.32;;;;
SMURSAMU_P;2019;090000175;090781774;N9999;;65;13.56;;8;;8.2
SMURSAMU_P;2019;090000183;090781816;M9999;8;;4.5;1;;;
SMURSAMU_P;2019;090000183;090781816;N2120;1;;0.4;1;;;
SMURSAMU_P;2019;090000183;090781816;N2223;1;;0.5;0;;;
SMURSAMU_P;2019;090000183;090781816;N5140;9;2;6.53;0;;;
SMURSAMU_P;2019;090000183;090781816;N9999;11;2;7.43;;;;
SMURSAMU_P;2019;100000090;100000017;M9999;0;13;10;1;0;6;5
SMURSAMU_P;2019;100000090;100000017;MREG;0;0;0;;0;6;5
SMURSAMU_P;2019;100000090;100000017;N1220;1;0;1;1;14;0;13.85
SMURSAMU_P;2019;100000090;100000017;N2223;13;3;14.4;1;0;0;0
SMURSAMU_P;2019;100000090;100000017;N5140;13;0;12.97;0;1;0;0.08
SMURSAMU_P;2019;100000090;100000017;N9999;27;3;28.37;1;17;0;15.3
SMURSAMU_P;2019;100000199;100006279;M9999;3;0;3;1;0;0;0
SMURSAMU_P;2019;100000199;100006279;N2120;1;;0.2;1;0;0;0
SMURSAMU_P;2019;100000199;100006279;N2223;6;0;5.6;1;0;0;0
SMURSAMU_P;2019;100000199;100006279;N5140;2;1;1.2;1;0;0;0
SMURSAMU_P;2019;100000199;100006279;N9999;9;1;7;1;0;0;0
SMURSAMU_P;2019;100010206;100000017;M9999;0;10;5;1;;;
SMURSAMU_P;2019;100010206;100000017;N2223;4;0;4.33;1;;;
SMURSAMU_P;2019;100010206;100000017;N9999;4;0;4.33;1;;;
SMURSAMU_P;2019;110000023;110780061;M9999;;30;10.71;1;;30;5.35
SMURSAMU_P;2019;110000023;110780061;MREG;;;;1;;;
SMURSAMU_P;2019;110000023;110780061;N1220;;1;0.34;0;16;8;22.29
SMURSAMU_P;2019;110000023;110780061;N2120;;1;0.08;0;;1;0.17
SMURSAMU_P;2019;110000023;110780061;N2223;;20;12.93;0;;;
SMURSAMU_P;2019;110000023;110780061;N5140;11;2;12.5;0;;;
SMURSAMU_P;2019;110000023;110780061;N9999;11;24;25.85;0;16;9;22.46
SMURSAMU_P;2019;110000056;110780137;M1140;;;;1;;;
SMURSAMU_P;2019;110000056;110780137;M9999;15;9;5.54;1;;;
SMURSAMU_P;2019;110000056;110780137;MREG;;;;1;;;
SMURSAMU_P;2019;110000056;110780137;N1220;;;;1;;;
SMURSAMU_P;2019;110000056;110780137;N2120;0;;;1;;;
SMURSAMU_P;2019;110000056;110780137;N2223;30;5;13.77;1;;;
SMURSAMU_P;2019;110000056;110780137;N5140;;;;1;;;
SMURSAMU_P;2019;110000056;110780137;N9999;30;5;13.77;1;;;
SMURSAMU_P;2019;110007580;110780061;M9999;;30;2.31;;;;
SMURSAMU_P;2019;110007580;110780061;N1220;;1;0.07;;;;
SMURSAMU_P;2019;110007580;110780061;N2120;;1;0.06;;;;
SMURSAMU_P;2019;110007580;110780061;N2223;;20;3.08;;;;
SMURSAMU_P;2019;110007580;110780061;N5140;;3;2.79;;;;
SMURSAMU_P;2019;110007580;110780061;N9999;;25;6;;;;
SMURSAMU_P;2019;110007598;110780061;M9999;;30;4.85;;;;
SMURSAMU_P;2019;110007598;110780061;N1220;;1;0.08;;;;
SMURSAMU_P;2019;110007598;110780061;N2120;;1;0.06;;;;
SMURSAMU_P;2019;110007598;110780061;N2223;2;20;5.91;;;;
SMURSAMU_P;2019;110007598;110780061;N9999;2;22;6.05;;;;
SMURSAMU_P;2019;120000039;120780044;M9999;0;17;1;1;0;17;1
SMURSAMU_P;2019;120000039;120780044;N1220;0;0;0;;6;7;8.48
SMURSAMU_P;2019;120000039;120780044;N2120;0;0;0.03;1;0;0;0
SMURSAMU_P;2019;120000039;120780044;N2223;6;9;10.57;1;0;0;0.09
SMURSAMU_P;2019;120000039;120780044;N2500;6;0;5.24;;0;1;1.85
SMURSAMU_P;2019;120000039;120780044;N9999;12;10;15.92;1;6;9;10.49
SMURSAMU_P;2019;120000054;120780069;M9999;0;8;1.5;1;0;0;0
SMURSAMU_P;2019;120000054;120780069;N2120;0;1;0.25;0;0;0;0
SMURSAMU_P;2019;120000054;120780069;N2223;5;1;6;1;0;0;0
SMURSAMU_P;2019;120000054;120780069;N9999;5;2;6.25;1;0;0;0
SMURSAMU_P;2019;120000070;120780085;M9999;;17;4.34;1;;;
SMURSAMU_P;2019;120000070;120780085;N2223;1;1;1.65;1;;;
SMURSAMU_P;2019;120000070;120780085;N9999;1;1;1.65;;;;
