AN;NOM_COURT_GHT;CODE_GHT;NOM_COMPLET_GHT;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;CAP_HTP_GEN;CAP_HTP_INF;CAP_HTP_PEN;CAP_HTP_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;JOU_USLD;PLATOT_HAD;SEJ_HAD;JOU_HAD;FIL_HAD;BIO_B2;BIO_B3;NB_SCAN;ACT_SCAN;ACTNUI_SCAN;NB_IRM;ACT_IRM;ACTNUI_IRM;NB_CAM;ACT_CAM;ACTNUI_CAM;NB_TOMO;ACT_TOMO;ACTNUI_TOMO;NB_MAMM;ACTEX_MAMM;NB_LITHO;ACT_LITHO;ACTNUI_LITHO;NB_RADIO;ACT_RADIO;ACTNUI_RADIO;NB_VASC;ACT_VASC;ACTNUI_VASC;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_C10;BLOCS_C11;BLOCS_C12;BLOCS_C13;BLOCS_C14;BLOCS_C15;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A10;PHARMA_A16_POURCENTOUI;PHARMA_A17_POURCENTOUI;PHARMA_A18_POURCENTOUI;PHARMA_A19_POURCENTOUI;PHARMA_A20_POURCENTOUI;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;INTTOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_ETAB;NB_CHRCHU;NB_CH;NB_CHS;NB_AUT
2019;ARA-01;84101;TERRITOIRES D'AUVERGNE;1829;562;205;2596;107531;19089;14432;141052;638547;109872;48091;796510;125;76;17;218;17658;21443;1083;40184;922;65;0;987;516;31;0;547;4778;583;0;5361;170;83;0;253;31460;9978;0;41438;1;0;1;216;0;216;3465;200;0;2927;12221;4471;2;15416;18516;4952;3;23182;700;6444;213264;13625;70;600;443;207752;92;1068;24960;733;7604884;1003365;11;149416;1869;8;38012;289;1;7598;;;;;6;6183;2;1309;0;37;262233;2552;7;16312;216;11;50;6;8;3;16;0;15;0;2;0;91;9;0;16;4;1;107;18;8;54637;7351;7648;2940;30025;1600;;;;;;;;;;;;916;152;88;138;220;69;78;65;79;123;1481;38;7;;;8;;;;;0;46;707.62;114.72;72.25;118.53;147.86;49.04;74.61;25.84;67.71;83.95;1107.59;632;616.62;232;255;462;3772;3219;1523;161;251;9875;45;10;1520;184;79;136;338;277;13;1927;4450;14325;208.18;243.51;441.46;3573.07;3060.76;1434.73;125.63;207.67;9295.01;43.2;9.13;1433.06;163.91;71.35;123.76;321.28;263.93;11.2;1859.43;4228.9;13523.91;20;4;15;1;
2019;ARA-02;84102;SAVOIE BELLEY;888;301;135;1324;45428;19192;6424;71044;271085;75686;26725;373496;80;66;18;164;2732;16194;1081;20007;256;8;;264;226;8;;234;2607;292;;2899;77;28;;105;5840;1244;;7084;0;0;0;0;;0;1197;59;0;1241;8802;4695;1231;13218;9063;4708;1231;14768;311;3231;99396;8894;34;173;177;72774;65;1328;22871;577;1401010;203732;9;59136;671;5;15689;39;3;11546;;1;10105;;2;2862;1;280;;16;144637;1441;2;3849;;7;24;2;3;1;1;1;3;1;0;0;31;5;15;5;1;3;47;4;25;29855;4357;1428;400;15095;325;;;;;;;;;;;;579;123;122;54;122;40;57;10;59;24;851;9;3;0;0;6;0;0;;0;3;18;438.14;84.92;94.24;47.88;89.1;27.33;48.22;7.78;52.76;17.17;653.17;158;135.93;130;142;211;1836;1220;574;131;187;4431;32;3;905;114;57;80;103;149;14;796;2196;6627;113.14;136.02;186.01;1688.87;1146.78;534.19;101.56;142.33;4048.9;30.16;3.67;812.82;102.25;50.25;73.97;95.54;138.3;16.18;745.77;2018.66;6067.56;13;;11;1;1
2019;ARA-03;84103;BRESSE HAUT-BUGEY;399;89;64;552;19635;5160;4828;29623;124733;23228;15676;163637;21;27;5;53;3043;6624;75;9742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;421;4811;121038;3454;13;170;151;57867;45;633;13207;287;1220438;93031;3;21548;289;3;9976;13;;;;;;;1;;;;;8;67709;744;2;107;;3;12;1;3;3;1;;2;;1;;19;4;0;3;1;0;27;4;0;11259;1625;59;313;6568;80;;;;;;;;;;;;202;52;22;29;43;11;;3;27;7;282;9;7;;0;0;0;;2;0;0;11;162.76;41.35;21.03;26.35;36.88;11.55;;1.69;21.38;4.67;227.38;67;65.53;67;68;103;736;753;271;34;95;2127;17;4;408;36;21;53;42;54;5;425;1044;3171;60.71;61.32;92.91;663.3;683.32;230.82;19.12;61.61;1873.11;10.27;2.8;341.57;19.02;12.43;44.65;40.58;52.24;7.08;377.07;895.28;2768.39;13;;10;;3
2019;ARA-04;84104;CANTAL;369;82;39;490;15560;4154;2035;21749;110858;19025;6327;136210;25;16;0;41;2203;2779;4;4986;142;14;;156;135;10;;145;1377;417;;1794;57;22;;79;23210;18344;;41554;1;;1;361;;361;861;66;;925;2942;1202;;4128;4056;1335;;5365;186;1619;49100;2514;15;152;142;49796;15;382;5009;181;1033550;25330;2;31404;186;2;13333;10;;;;;;;2;2109;;;;10;54319;307;1;1710;0;3;8;3;2;2;1;1;2;1;3;3;16;10;0;3;3;0;16;1;0;6384;880;1028;291;4168;14;;;;;;;;;;;;143;30;26;17;34;7;13;1;14;14;219;4;;;;;;;;;;4;106.65;29.1;19.78;14;24.35;5.39;9.69;0.5;12.65;9.91;163.75;99;56.51;33;47;50;668;589;273;35;59;1754;14;2;258;68;22;29;23;35;5;304;738;2492;33.51;43.63;45.42;637.58;561.87;253.26;23.31;39.34;1637.92;11.79;2;241.88;45.31;16.72;26.45;22.74;33.25;3.24;297.34;684;2321.92;9;;8;;1
2019;ARA-05;84105;ALPES DAUPHINÉ;1011;434;100;1545;50232;21284;6538;78054;330760;122377;27012;480149;138;47;17;202;20057;11648;3658;35363;349;22;;371;333;20;;353;3750;279;;4029;100;101;22;223;10520;14955;4816;30291;1;1;2;0;1;1;2291;146;;2429;12744;5005;1103;18685;15573;5353;1174;21968;472;5487;135260;20172;53;346;227;120542;112;2496;27440;814;4165776;404977;7;93259;1516;6;57482;;4;6197;;1;4368;;2;2640;1;145;;26;157684;2141;4;8522;36;15;44;7;3;1;12;;8;;2;;69;8;;7;3;;48;14;;42592;4240;2868;1828;12489;337;;;;;;;;;;;;790;115;35;124;187;37;131;2;90;130;1330;8;0;0;0;4;2;0;0;0;0;12;596.58;87.4;33.51;104.43;116.49;23.78;108.43;0.5;77.29;77.74;977.03;541;735.34;124;232;419;2642;1734;1012;244;356;6763;48;1;1388;181;107;103;300;204;42;1308;3575;10338;109.2;225.62;373.57;2488.06;1615.82;966.76;182.64;288.02;6249.69;44.93;1;1279.51;156.19;95.65;90.82;288.16;193.81;32.9;1249.74;3337.06;9586.75;12;3;8;1;
2019;ARA-06;84106;HAUTE-LOIRE;327;111;21;459;17359;6256;1427;25042;99662;29575;5369;134606;23;25;2;50;1328;6984;208;8520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112;1368;37687;1868;9;131;79;46308;38;461;13550;322;972320;112537;3;27584;363;2;12668;40;;;;;;;1;2310;;;;5;59150;590;;;;2;9;1;1;1;;;2;;;;12;2;2;2;;0;20;;0;10320;845;146;229;5194;17;;;;;;;;;;;;128;31;20;13;38;9;2;2;19;10;199;22;17;0;0;0;0;0;0;0;0;22;112.12;30.13;19.39;14.16;34.42;5.53;0.6;0.73;14.11;6.08;168.06;59;57.97;30;38;61;588;542;253;15;43;1570;12;1;262;15;8;30;34;49;5;207;615;2185;24.42;34.51;53.29;537.2;488.92;218.25;11.41;33.78;1401.78;11.46;1;238.71;13.62;7.89;26.67;31.28;43.69;3.89;193.18;563.5;1965.28;5;;5;;
2019;ARA-07;84107;LÉMAN MONT-BLANC;636;181;89;906;32329;11168;6544;50041;196538;44898;23926;265362;39;45;1;85;5765;11776;1145;18686;208;0;;208;208;0;;208;2131;0;;2131;57;25;;82;13925;2450;;16375;5;;5;0;;0;1161;0;24;222;5628;2333;631;2104;6767;2333;631;9388;105;951;35334;0;;110;92;37792;52;1105;15683;534;1449048;179984;3;24174;117;3;13654;;3;622;;1;495;;3;2156;;;;10;81018;503;;;;4;16;3;4;3;1;0;6;0;2;0;29;6;1;3;3;0;37;15;0;21711;3609;278;467;13200;110;;;;;;;;;;;;342;66;48;49;95;34;30;3;29;18;517;3;;;;4;;;;;;7;251.06;43.69;41.56;40.91;77.12;27.44;30.98;0.37;22.01;14.45;395.99;92;91.54;117;84;111;1167;861;377;101;108;2926;37;4;574;97;54;59;78;78;9;626;1562;4488;100.12;77.17;97.41;1088.9;803.47;327.12;78.41;76.93;2649.53;30.94;4.03;517.51;77.85;45.95;48.95;70.24;72.86;8;543.54;1373.92;4023.45;9;;6;1;2
2019;ARA-08;84108;GENEVOIS ANNECY ALBANAIS;579;165;86;830;31448;9729;6196;47373;178839;46168;23757;248764;21;30;;51;3300;9328;0;12628;103;0;;103;85;0;;85;688;6;;694;20;28;;48;4330;2422;;6752;;;;0;0;0;343;0;;343;4136;1650;;5678;4571;1708;;6164;150;1139;36336;6002;25;185;97;48286;35;603;11715;325;1115138;173759;3;37313;332;3;8410;;;;;;;;1;1523;1;80;;8;51380;691;3;6434;;11;18;2;3;2;4;1;10;0;0;0;35;5;1;2;1;0;28;;0;17871;2968;1794;505;8377;168;;;;;;;;;;;;379;82;61;52;70;22;28;6;31;19;533;5;0;;;3;;;;0;;8;297.9;55.8;49.25;42.78;56.52;16.57;24.75;0.41;26.96;16.75;423.29;104;105.03;89;75;128;1119;887;413;66;105;2882;17;2;589;67;45;58;70;68;8;466;1345;4227;79.14;68.04;115.3;1053.95;803.36;335.58;48.75;83.58;2587.7;11.62;0.99;529.13;56.25;39.92;51.83;63.5;63.23;6.93;410.92;1194.4;3782.1;7;;6;;1
2019;ARA-09;84109;LOIRE;1538;448;200;2186;87743;24626;12343;124712;480587;114545;43677;638809;152;102;14;268;19961;23192;1865;45018;299;18;;317;252;18;;270;4180;384;;4564;191;75;;266;28633;10833;;39466;0;0;0;0;0;0;2450;205;;2623;7398;2889;512;10729;17162;4382;861;22302;840;9537;263512;18218;66;450;415;160813;50;468;12824;274;5237762;1093420;10;159247;1091;7;44578;12;3;8938;;1;3504;;5;10607;1;28;;34;229966;1897;4;7458;24;13;53;4;6;2;11;3;13;1;5;1;88;11;0;10;3;;78;19;;51857;6342;4217;836;24973;2223;;;;;;;;;;;;936;313;31;114;219;58;98;3;86;111;1453;30;30;;0;3;0;;;0;0;33;639.61;211.34;23.9;85.99;146.02;38.09;61.98;1.8;69.77;57.5;976.68;560;575.13;222;259;346;3625;2533;1297;248;355;8885;48;7;1678;186;118;158;317;242;32;1611;4279;13164;198.98;233.66;310.15;3267.28;2257.31;947.29;136.13;210.34;7561.14;39.38;6.31;1464.98;143.4;91.3;128.04;279.32;227.74;29.82;1426.14;3745.13;11306.27;27;4;20;;3
2019;ARA-10;84110;RHÔNE CENTRE;2370;825;291;3486;110907;44620;20827;176354;695042;216536;81349;992927;283;121;34;438;57756;26290;6594;90640;;24;;24;;24;;24;;770;;770;;9;;9;;823;;823;;;;;;;;;;;;;;;;818;;818;858;9786;277032;25019;72;473;228;170572;;;;;11708144;1542785;12;118447;1240;9;53135;100;5;20897;;2;7817;;6;4068;;;;36;251991;1051;12;14762;33;27;96;12;7;5;14;3;16;0;9;0;142;20;9;25;5;2;193;17;12;97516;12221;5529;3418;36397;1307;;;;;;;;;;;;1526;249;81;270;358;70;45;75;85;603;2692;;;;;;;;;;;;856.61;89.77;59.88;177.23;172.33;38.55;26.6;17.16;65.38;658.5;1796.58;965;961.53;311;326;886;4493;3953;666;181;581;11397;87;6;1713;166;109;223;668;416;5;1831;5115;16512;293.8;348.25;804.3;4297.21;3804.13;662.34;127;464.38;10801.41;144.57;9.19;1971.7;155.81;109.49;234.5;640.45;402.28;4.42;2699.19;6262.11;17063.52;16;13;3;;
