BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2019;010000495;010783009;2200;;;43.34;;43.34;33.17;419.74;;95.39;79.9;54.91;;16.65;699.76;19.12;22.64;41.76;;0.37;785.23
Q24;2019;010000495;010783009;9999;8.94;;106.49;;115.43;40.79;439.01;;104.09;92.99;55.98;;20.34;753.2;20.51;24.21;44.72;3;61.67;978.02
Q24;2019;010002129;750056335;2000;1.96;;6.7;;8.66;1.43;18.55;;24.11;15.47;0.4;;10.62;70.58;;1.03;1.03;1.18;8.33;89.78
Q24;2019;010002129;750056335;2400;1.96;;6.7;;8.66;1.43;18.55;;24.11;15.47;0.4;;10.62;70.58;;1.03;1.03;1.18;8.33;89.78
Q24;2019;010002129;750056335;9999;1.96;;6.7;;8.66;1.43;18.55;;24.11;15.47;0.4;;10.62;70.58;;1.03;1.03;1.18;8.33;89.78
Q24;2019;010005239;010008407;1000;2;0.8;34.49;0;37.29;1.45;4.49;0.92;8.65;18.1;0;0.06;3.71;37.38;0.47;0.25;0.72;2.53;48.44;126.36
Q24;2019;010005239;010008407;2000;0;0;25.55;0;25.55;5.69;89.5;12.32;100.24;4.62;0.81;18.13;0;231.31;0;1;1;24.79;2.23;284.88
Q24;2019;010005239;010008407;2100;0;0;24.55;0;24.55;5.05;84.76;12.32;88.97;4.62;0.81;18.13;0;214.66;0;1;1;24.79;2.23;267.23
Q24;2019;010005239;010008407;2400;0;0;1;0;1;0.64;4.74;0;11.27;0;0;0;0;16.65;0;0;0;0;0;17.65
Q24;2019;010005239;010008407;9999;2;0.8;60.04;0;62.84;7.14;93.99;13.24;108.89;22.72;0.81;18.19;3.71;268.69;0.47;1.25;1.72;27.32;50.67;411.24
Q24;2019;010005379;010010718;2000;;;0.97;;0.97;0.25;3.24;;;;0.68;;;4.17;;0.99;0.99;0.8;;6.93
Q24;2019;010005379;010010718;2300;;;0.97;;0.97;0.25;3.24;;;;0.68;;;4.17;;0.99;0.99;0.8;;6.93
Q24;2019;010005379;010010718;9999;;;0.97;;0.97;0.25;3.24;;;;0.68;;;4.17;;0.99;0.99;0.8;;6.93
Q24;2019;010006526;690796552;1000;;;0.13;;0.13;;;;;;;;;;;;;;;0.13
Q24;2019;010006526;690796552;2000;;;;;;0.17;3;;;;;;;3.17;;;;;;3.17
Q24;2019;010006526;690796552;2100;;;;;;0.17;3;;;;;;;3.17;;;;;;3.17
Q24;2019;010006526;690796552;9999;;;0.13;;0.13;0.17;3;;;;;;;3.17;;;;;;3.3
Q24;2019;010007300;010007292;2000;1;;1.25;;2.25;;3.1;0.7;;0.4;;;;4.2;;;;;;6.45
Q24;2019;010007300;010007292;2100;1;;1.25;;2.25;;3.1;0.7;;0.4;;;;4.2;;;;;;6.45
Q24;2019;010007300;010007292;9999;1;;1.25;;2.25;;3.1;0.7;;0.4;;;;4.2;;;;;;6.45
Q24;2019;010008852;010783009;2000;2.55;;1.47;;4.02;0.16;1;;;1;0.59;;4.1;6.85;;0.9;0.9;0.09;;11.86
Q24;2019;010008852;010783009;2400;2.55;;1.47;;4.02;0.16;1;;;1;0.59;;4.1;6.85;;0.9;0.9;0.09;;11.86
Q24;2019;010008852;010783009;9999;2.55;;1.47;;4.02;0.16;1;;;1;0.59;;4.1;6.85;;0.9;0.9;0.09;;11.86
Q24;2019;010009314;010780054;1000;;;0.4;;0.4;;;;;1.26;;;;1.26;;0.37;0.37;;1.78;3.81
Q24;2019;010009314;010780054;2000;;;2.84;;2.84;2.91;31.29;;48.81;11.83;0.75;;4.02;99.61;;0.15;0.15;;;102.6
Q24;2019;010009314;010780054;2400;;;2.84;;2.84;1.41;16.09;;22.78;4.09;0.75;;4.02;49.14;;0.15;0.15;;;52.13
Q24;2019;010009314;010780054;2500;;;;;;1.5;15.2;;26.03;7.74;;;;50.47;;;;;;50.47
Q24;2019;010009314;010780054;9999;;;3.24;;3.24;2.91;31.29;;48.81;13.09;0.75;;4.02;100.87;;0.52;0.52;;1.78;106.41
Q24;2019;010009702;010780054;2000;;;;;;0.5;4.77;;10.89;2.81;;;0.8;19.77;;;;;;19.77
Q24;2019;010009702;010780054;2500;;;;;;0.5;4.77;;10.89;2.81;;;0.8;19.77;;;;;;19.77
Q24;2019;010009702;010780054;9999;;;;;;0.5;4.77;;10.89;2.81;;;0.8;19.77;;;;;;19.77
Q24;2019;010010171;010011559;2000;1;;10.36;;11.36;2.64;20.18;;16.95;;6.85;;2.83;49.45;;1;1;;2.09;63.9
Q24;2019;010010171;010011559;2200;1;;10.36;;11.36;2.64;20.18;;16.95;;6.85;;2.83;49.45;;1;1;;2.09;63.9
Q24;2019;010010171;010011559;9999;1;;10.36;;11.36;2.64;20.18;;16.95;;6.85;;2.83;49.45;;1;1;;2.09;63.9
Q24;2019;010780195;010000156;1000;2;1;23.43;;26.43;;0;2.08;;;;;;2.08;;;;;8.3;36.81
Q24;2019;010780195;010000156;2000;;;5.94;;5.94;4.75;113.27;30.84;50.45;14.66;1;;0.5;215.47;;0.6;0.6;7.31;;229.32
Q24;2019;010780195;010000156;2100;;;5.94;;5.94;4.75;113.27;30.84;50.45;14.66;1;;0.5;215.47;;0.6;0.6;7.31;;229.32
Q24;2019;010780195;010000156;9999;2;1;29.37;;32.37;4.75;113.27;32.92;50.45;14.66;1;;0.5;217.55;;0.6;0.6;7.31;8.3;266.13
Q24;2019;010780203;010010718;1000;;;33.77;;33.77;;;;;20.94;;;;20.94;;;;;;54.71
Q24;2019;010780203;010010718;2000;1;0.59;;;1.59;4.67;57.77;1.15;45.64;;;12.76;0.79;122.78;;;;4.2;6.12;134.69
Q24;2019;010780203;010010718;2100;1;0.59;;;1.59;4.67;57.77;1.15;45.64;;;12.76;0.79;122.78;;;;4.2;6.12;134.69
Q24;2019;010780203;010010718;9999;1;0.59;33.77;;35.36;4.67;57.77;1.15;45.64;20.94;;12.76;0.79;143.72;;;;4.2;6.12;189.4
Q24;2019;010780252;010783009;2000;2.54;;7.04;;9.58;2.45;11.99;;12.14;21.25;0.61;;9.12;57.56;0.5;0.47;0.97;0.21;9.66;77.98
Q24;2019;010780252;010783009;2400;2.54;;7.04;;9.58;2.45;11.99;;12.14;21.25;0.61;;9.12;57.56;0.5;0.47;0.97;0.21;9.66;77.98
Q24;2019;010780252;010783009;9999;2.54;;7.04;;9.58;2.45;11.99;;12.14;21.25;0.61;;9.12;57.56;0.5;0.47;0.97;0.21;9.66;77.98
Q24;2019;010780278;010783009;2000;3.5;;9.63;;13.13;5.03;21.51;;29.56;28.15;3.51;;16.87;104.63;0.5;1.97;2.47;0.28;9.65;130.16
Q24;2019;010780278;010783009;2400;3.5;;9.63;;13.13;5.03;21.51;;29.56;28.15;3.51;;16.87;104.63;0.5;1.97;2.47;0.28;9.65;130.16
Q24;2019;010780278;010783009;9999;3.5;;9.63;;13.13;5.03;21.51;;29.56;28.15;3.51;;16.87;104.63;0.5;1.97;2.47;0.28;9.65;130.16
Q24;2019;010780294;690000278;2000;0.16;0.16;2.01;;2.33;0.8;10.08;;4;;;;;14.88;;;;0.22;0.16;17.59
Q24;2019;010780294;690000278;2100;0.16;0.16;2.01;;2.33;0.8;10.08;;4;;;;;14.88;;;;0.22;0.16;17.59
Q24;2019;010780294;690000278;9999;0.16;0.16;2.01;;2.33;0.8;10.08;;4;;;;;14.88;;;;0.22;0.16;17.59
Q24;2019;010780310;010000222;2000;0.8;;4.93;;5.73;1;7.91;;8.46;6;0.31;;2.41;26.09;;0.4;0.4;0.21;1.27;33.7
Q24;2019;010780310;010000222;2400;0.8;;4.93;;5.73;1;7.91;;8.46;6;0.31;;2.41;26.09;;0.4;0.4;0.21;1.27;33.7
Q24;2019;010780310;010000222;9999;0.8;;4.93;;5.73;1;7.91;;8.46;6;0.31;;2.41;26.09;;0.4;0.4;0.21;1.27;33.7
Q24;2019;010780328;010000222;2000;0.99;;6.07;;7.06;1;9.72;;10.33;9.9;0.36;;3.29;34.6;;0.45;0.45;0.31;1.57;43.99
Q24;2019;010780328;010000222;2400;0.99;;6.07;;7.06;1;9.72;;10.33;9.9;0.36;;3.29;34.6;;0.45;0.45;0.31;1.57;43.99
Q24;2019;010780328;010000222;9999;0.99;;6.07;;7.06;1;9.72;;10.33;9.9;0.36;;3.29;34.6;;0.45;0.45;0.31;1.57;43.99
Q24;2019;010780476;750005068;1000;1;;11.47;;12.47;1.74;;;;;;;1.13;2.87;;;;;23.61;38.95
Q24;2019;010780476;750005068;2000;;;1.95;;1.95;1.82;13.49;;19.43;4.86;3.59;;3.51;46.7;19.58;0.93;20.51;0.5;0.36;70.02
Q24;2019;010780476;750005068;2400;;;1.95;;1.95;1.82;13.49;;19.43;4.86;3.59;;3.51;46.7;19.58;0.93;20.51;0.5;0.36;70.02
Q24;2019;010780476;750005068;9999;1;;13.42;;14.42;3.56;13.49;;19.43;4.86;3.59;;4.64;49.57;19.58;0.93;20.51;0.5;23.97;108.97
Q24;2019;010780492;360000707;2000;3;;4.78;;7.78;2;11.55;3.29;20.7;21.49;2.41;;31.72;93.16;17.33;0.67;18;0.35;16.1;135.39
Q24;2019;010780492;360000707;2400;3;;4.78;;7.78;2;11.55;3.29;20.7;21.49;2.41;;31.72;93.16;17.33;0.67;18;0.35;16.1;135.39
Q24;2019;010780492;360000707;9999;3;;4.78;;7.78;2;11.55;3.29;20.7;21.49;2.41;;31.72;93.16;17.33;0.67;18;0.35;16.1;135.39
Q24;2019;010780708;310021381;2000;2;;6.6;;8.6;1;11.5;;14.3;15;0.3;;2.9;45;;0.5;0.5;;2.5;56.6
Q24;2019;010780708;310021381;2400;2;;6.6;;8.6;1;11.5;;14.3;15;0.3;;2.9;45;;0.5;0.5;;2.5;56.6
Q24;2019;010780708;310021381;9999;2;;6.6;;8.6;1;11.5;;14.3;15;0.3;;2.9;45;;0.5;0.5;;2.5;56.6
Q24;2019;010780799;750721334;1000;0.76;;1.66;;2.42;;;;;;;;;;;;;;;2.42
Q24;2019;010780799;750721334;2000;1;;;;1;0.9;6.72;;8;2.45;0.4;;2.05;20.52;2;0.5;2.5;0.99;7.9;32.91
Q24;2019;010780799;750721334;2400;1;;;;1;0.9;6.72;;8;2.45;0.4;;2.05;20.52;2;0.5;2.5;0.99;7.9;32.91
Q24;2019;010780799;750721334;9999;1.76;;1.66;;3.42;0.9;6.72;;8;2.45;0.4;;2.05;20.52;2;0.5;2.5;0.99;7.9;35.33
Q24;2019;010786259;010008407;2000;0;0;0.59;0;0.59;0.16;2.99;0;5.11;2.5;0.06;0;0;10.82;0.41;0;0.41;0.15;2.2;14.17
Q24;2019;010786259;010008407;2500;0;0;0.59;0;0.59;0.16;2.99;0;5.11;2.5;0.06;0;0;10.82;0.41;0;0.41;0.15;2.2;14.17
Q24;2019;010786259;010008407;9999;0;0;0.59;0;0.59;0.16;2.99;0;5.11;2.5;0.06;0;0;10.82;0.41;0;0.41;0.15;2.2;14.17
Q24;2019;010789576;010780096;1000;0.08;;1.13;;1.21;;1.01;;0.87;0.79;;;;2.67;0.06;;0.06;0.13;1.1;5.17
Q24;2019;010789576;010780096;2000;;;;;;;7;;7.37;7.08;0.1;;0.6;22.15;0.25;0.1;0.35;0.94;;23.44
Q24;2019;010789576;010780096;2500;;;;;;;7;;7.37;7.08;0.1;;0.6;22.15;0.25;0.1;0.35;0.94;;23.44
Q24;2019;010789576;010780096;9999;0.08;;1.13;;1.21;;8.01;;8.24;7.87;0.1;;0.6;24.82;0.31;0.1;0.41;1.07;1.1;28.61
Q24;2019;010789717;010008407;2000;0;0;0.15;0;0.15;0.16;2.62;0;6.99;2.61;0.06;0;0;12.44;0.41;0;0.41;0.15;0;13.15
Q24;2019;010789717;010008407;2500;0;0;0.15;0;0.15;0.16;2.62;0;6.99;2.61;0.06;0;0;12.44;0.41;0;0.41;0.15;0;13.15
Q24;2019;010789717;010008407;9999;0;0;0.15;0;0.15;0.16;2.62;0;6.99;2.61;0.06;0;0;12.44;0.41;0;0.41;0.15;0;13.15
Q24;2019;020000089;020000022;1000;0;0;7.88;0;7.88;2;2.98;0.06;3.8;7.82;0;0;0;16.66;0;0.07;0.07;0.05;20.5;45.16
Q24;2019;020000089;020000022;2000;0;0;11.91;0;11.91;2.35;37.67;0.8;68.04;24.01;0.7;0;0.85;134.42;0;2.15;2.15;4.9;0.59;153.97
Q24;2019;020000089;020000022;2100;0;0;9.88;0;9.88;1.15;18.08;0.8;15.72;5.69;0.4;0;0;41.84;0;1.44;1.44;4.9;0.44;58.5
Q24;2019;020000089;020000022;2300;0;0;0;0;0;0.5;1;0;14.34;0;0;0;0;15.84;0;0;0;0;0;15.84
Q24;2019;020000089;020000022;2400;0;0;1.69;0;1.69;0.35;12.17;0;25.04;9.59;0.3;0;0.85;48.3;0;0.44;0.44;0;0.15;50.58
Q24;2019;020000089;020000022;2500;0;0;0.34;0;0.34;0.35;6.42;0;12.94;8.73;0;0;0;28.44;0;0.27;0.27;0;0;29.05
Q24;2019;020000089;020000022;9999;0;0;19.79;0;19.79;4.35;40.65;0.86;71.84;31.83;0.7;0;0.85;151.08;0;2.22;2.22;4.95;21.09;199.13
Q24;2019;020000097;020000048;1000;;;11;;11;1;;;6.5;7;1;;0.5;16;;;;2;17.22;46.22
Q24;2019;020000097;020000048;2000;;;2;;2;2;32.07;;41.57;9.35;1.35;;1.5;87.84;2;1;3;;;92.84
Q24;2019;020000097;020000048;2100;;;1;;1;1;27.21;;28.57;5.35;1.35;;1;64.48;;;;;;65.48
Q24;2019;020000097;020000048;2400;;;1;;1;1;4.86;;13;4;;;0.5;23.36;2;1;3;;;27.36
Q24;2019;020000097;020000048;9999;;;13;;13;3;32.07;;48.07;16.35;2.35;;2;103.84;2;1;3;2;17.22;139.06
Q24;2019;020000105;020000055;1000;2;;7;;9;;1;;;3.55;;;0.1;4.65;;;;;17.79;31.44
Q24;2019;020000105;020000055;2000;;;2.27;;2.27;0.75;13.39;;21.97;5.88;0.5;;1.53;44.02;;0.9;0.9;;;47.19
Q24;2019;020000105;020000055;2100;;;0.82;;0.82;0.25;5.98;;8.76;3.2;0.2;;0.57;18.96;;0.3;0.3;;;20.08
Q24;2019;020000105;020000055;2300;;;;;;0.25;4.28;;8.71;;0.1;;0.35;13.69;;0.3;0.3;;;13.99
Q24;2019;020000105;020000055;2400;;;1.45;;1.45;0.25;3.13;;4.5;2.68;0.2;;0.61;11.37;;0.3;0.3;;;13.12
Q24;2019;020000105;020000055;9999;2;;9.27;;11.27;0.75;14.39;;21.97;9.43;0.5;;1.63;48.67;;0.9;0.9;;17.79;78.63
Q24;2019;020000162;020000063;1000;8.06;1;131.66;0;140.72;8.18;33.6;4.5;37.91;41.95;1;0;1.61;128.75;1.85;8.51;10.36;4.63;243.12;527.58
Q24;2019;020000162;020000063;2000;0;0;97.71;0;97.71;24.07;409.56;71.97;337.34;137.15;14.43;27.05;19.18;1040.75;1;0;1;103.27;40.8;1283.53
Q24;2019;020000162;020000063;2100;0;0;95.61;0;95.61;21.42;381.04;71.97;305.82;124.56;11.93;27.05;7.18;950.97;1;0;1;103.27;40.37;1191.22
Q24;2019;020000162;020000063;2400;0;0;2.1;0;2.1;2.65;28.52;0;31.52;12.59;2.5;0;12;89.78;0;0;0;0;0.43;92.31
Q24;2019;020000162;020000063;9999;8.06;1;229.37;0;238.43;32.25;443.16;76.47;375.25;179.1;15.43;27.05;20.79;1169.5;2.85;8.51;11.36;107.9;283.92;1811.11
Q24;2019;020000246;020000071;1000;0.2;0;7.54;0;7.74;1.1;1.07;0;0.74;2;0.5;0;0;5.41;0;0.9;0.9;0.05;17.08;31.18
Q24;2019;020000246;020000071;2000;0;0;2;0;2;1.4;15.61;0;24.46;10.96;0.51;0;2.1;55.04;0;0;0;1.09;0;58.13
Q24;2019;020000246;020000071;2100;0;0;1;0;1;0.5;7.99;0;10.79;5.74;0.38;0;1.34;26.74;0;0;0;1.09;0;28.83
Q24;2019;020000246;020000071;2400;0;0;1;0;1;0.9;7.62;0;13.67;5.22;0.13;0;0.76;28.3;0;0;0;0;0;29.3
Q24;2019;020000246;020000071;9999;0.2;0;9.54;0;9.74;2.5;16.68;0;25.2;12.96;1.01;0;2.1;60.45;0;0.9;0.9;1.14;17.08;89.31
Q24;2019;020000303;750814030;1000;3.89;1;40.94;;45.83;2.19;4.96;;5.14;1.25;;;;13.54;;;;7.66;58.84;125.87
Q24;2019;020000303;750814030;2000;;;16.63;;16.63;11.53;130.02;;90.19;65.18;6.45;;51.26;354.63;;4.65;4.65;;3;378.91
Q24;2019;020000303;750814030;2400;;;16.63;;16.63;11.53;130.02;;90.19;65.18;6.45;;51.26;354.63;;4.65;4.65;;3;378.91
Q24;2019;020000303;750814030;9999;3.89;1;57.57;;62.46;13.72;134.98;;95.33;66.43;6.45;;51.26;368.17;;4.65;4.65;7.66;61.84;504.78
Q24;2019;020000360;020014742;1000;4;1;10.91;;15.91;;;;;;;;;;;;;;2;17.91
Q24;2019;020000360;020014742;2000;;;;;;1;10;;9;5.8;;;;25.8;;;;2;;27.8
Q24;2019;020000360;020014742;2100;;;;;;1;10;;9;5.8;;;;25.8;;;;2;;27.8
Q24;2019;020000360;020014742;9999;4;1;10.91;;15.91;1;10;;9;5.8;;;;25.8;;;;2;2;45.71
Q24;2019;020000386;020000600;2000;1;2.01;5.89;0;8.9;;25.02;0;6.63;;2;0;0;33.65;1;0.29;1.29;0;13.79;57.63
Q24;2019;020000386;020000600;2200;1;2.01;5.89;0;8.9;;25.02;0;6.63;;2;0;0;33.65;1;0.29;1.29;0;13.79;57.63
Q24;2019;020000386;020000600;9999;1;2.01;5.89;0;8.9;;25.02;0;6.63;;2;0;0;33.65;1;0.29;1.29;0;13.79;57.63
Q24;2019;020000394;020000253;1000;4;1;64.14;0;69.14;5;23.42;0.49;19.98;52.65;1;0;0;102.54;0;1.63;1.63;0;82.69;256
Q24;2019;020000394;020000253;2000;0;0;58.99;0;58.99;11.14;233.77;18.06;157.56;24.88;6.59;19.12;6.08;477.2;2.92;1.42;4.34;37.75;24.57;602.85
Q24;2019;020000394;020000253;2100;0;0;57.99;0;57.99;11.14;231.59;18.06;157.56;24.88;6.34;19;6.08;474.65;1.43;1.42;2.85;37.75;24.57;597.81
Q24;2019;020000394;020000253;2400;0;0;1;0;1;0;2.18;0;0;0;0.25;0.12;0;2.55;1.49;0;1.49;0;0;5.04
Q24;2019;020000394;020000253;9999;4;1;123.13;0;128.13;16.14;257.19;18.55;177.54;77.53;7.59;19.12;6.08;579.74;2.92;3.05;5.97;37.75;107.26;858.85
Q24;2019;020000519;020000261;1000;4.44;;64.56;;69;2.11;9.49;0.42;18.16;28.3;;0.86;1.11;60.45;;2;2;1;135.51;267.96
