BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2019;010000024;010780054;1000;6.29;1;162.89;;170.18;11.7;65.64;4.49;67.26;27.72;1.39;2.77;0.79;181.76;1.06;5.64;6.7;4.48;196.67;559.79
Q24;2019;010000024;010780054;2000;;;63.79;;63.79;21.56;359.15;75.17;276.81;60.76;8.84;39.75;21.33;863.37;1.4;1.24;2.64;103.18;26.81;1059.79
Q24;2019;010000024;010780054;2100;;;60.75;;60.75;19.56;340.51;75.17;267.8;58.85;7.27;39.75;21.33;830.24;1.4;0.79;2.19;103.18;26.81;1023.17
Q24;2019;010000024;010780054;2300;;;3.04;;3.04;2;18.64;;9.01;1.91;1.57;;;33.13;;0.45;0.45;;;36.62
Q24;2019;010000024;010780054;9999;6.29;1;226.68;;233.97;33.26;424.79;79.66;344.07;88.48;10.23;42.52;22.12;1045.13;2.46;6.88;9.34;107.66;223.48;1619.58
Q24;2019;010000032;010780062;1000;1.8;;21.28;;23.08;;10.12;0.86;4.78;8.83;0.5;0.11;0.59;25.79;0.02;;0.02;0.72;38.97;88.58
Q24;2019;010000032;010780062;2000;0.2;;35.17;;35.37;14.07;95.31;4.68;108.47;65.04;2.16;11.44;9.53;310.7;2.93;2.5;5.43;28.61;19.1;399.21
Q24;2019;010000032;010780062;2100;0.2;;34.77;;34.97;13.67;83.34;4.68;96.78;59.19;0.86;11.44;5.72;275.68;2;2.2;4.2;28.61;19.1;362.56
Q24;2019;010000032;010780062;2400;;;0.4;;0.4;0.4;11.97;;11.69;5.85;1.3;;3.81;35.02;0.93;0.3;1.23;;;36.65
Q24;2019;010000032;010780062;9999;2;;56.45;;58.45;14.07;105.43;5.54;113.25;73.87;2.66;11.55;10.12;336.49;2.95;2.5;5.45;29.33;58.07;487.79
Q24;2019;010000065;010780096;1000;0.54;;11.94;;12.48;2.48;7.06;;11.66;4.94;0.1;;0.18;26.42;;0.09;0.09;4.08;10.82;53.89
Q24;2019;010000065;010780096;2000;;;5.68;;5.68;4.78;45.11;;60.26;5.16;3.07;;7.32;125.7;1.21;3.4;4.61;;;135.99
Q24;2019;010000065;010780096;2100;;;3.25;;3.25;2.44;27.73;;29.88;1.46;1.42;;2.47;65.4;0.21;1.88;2.09;;;70.74
Q24;2019;010000065;010780096;2400;;;2.43;;2.43;2.34;17.38;;30.38;3.7;1.65;;4.85;60.3;1;1.52;2.52;;;65.25
Q24;2019;010000065;010780096;9999;0.54;;17.62;;18.16;7.26;52.17;;71.92;10.1;3.17;;7.5;152.12;1.21;3.49;4.7;4.08;10.82;189.88
Q24;2019;010000081;010780112;2000;0.72;0.21;2.72;;3.65;1;7.5;;11.85;19.48;0.28;;1.85;41.96;;0.45;0.45;0.47;8.05;54.58
Q24;2019;010000081;010780112;2400;0.3;0.08;1.68;;2.06;0.4;3.8;;6.4;3.24;0.11;;1.6;15.55;;0.4;0.4;0.2;3.83;22.04
Q24;2019;010000081;010780112;2500;0.42;0.13;1.04;;1.59;0.6;3.7;;5.45;16.24;0.17;;0.25;26.41;;0.05;0.05;0.27;4.22;32.54
Q24;2019;010000081;010780112;9999;0.72;0.21;2.72;;3.65;1;7.5;;11.85;19.48;0.28;;1.85;41.96;;0.45;0.45;0.47;8.05;54.58
Q24;2019;010000099;010780120;1000;0.05;;3.91;;3.96;;1.13;;0.92;0.81;;;1.34;4.2;;;;0.02;5.49;13.67
Q24;2019;010000099;010780120;2000;;;0.04;;0.04;1;7.42;;13.26;5.24;;;1.58;28.5;;;;0.67;1;30.21
Q24;2019;010000099;010780120;2100;;;0.02;;0.02;0.55;4.09;;7.3;2.88;;;0.87;15.69;;;;0.33;0.55;16.59
Q24;2019;010000099;010780120;2400;;;0.02;;0.02;0.45;3.33;;5.96;2.36;;;0.71;12.81;;;;0.34;0.45;13.62
Q24;2019;010000099;010780120;9999;0.05;;3.95;;4;1;8.55;;14.18;6.05;;;2.92;32.7;;;;0.69;6.49;43.88
Q24;2019;010000107;010780138;1000;0.17;;;2.77;2.94;;0.15;;0.06;;;;;0.21;;;;;;3.15
Q24;2019;010000107;010780138;2000;;;;;;0.51;9.29;;14.26;3.68;0.28;;0.82;28.84;;0.47;0.47;0.34;3.7;33.35
Q24;2019;010000107;010780138;2100;;;;;;0.22;4;;6.13;1.59;0.12;;0.35;12.41;;0.19;0.19;0.16;1.59;14.35
Q24;2019;010000107;010780138;2400;;;;;;0.29;5.29;;8.13;2.09;0.16;;0.47;16.43;;0.28;0.28;0.18;2.11;19
Q24;2019;010000107;010780138;9999;0.17;;;2.77;2.94;0.51;9.44;;14.32;3.68;0.28;;0.82;29.05;;0.47;0.47;0.34;3.7;36.5
Q24;2019;010000115;010009132;1000;0.4;;2.1;;2.5;;;;;3.5;;;;3.5;;;;;;6
Q24;2019;010000115;010009132;2000;0.12;;1.06;;1.18;2.1;10.02;;27.16;7.3;0.9;;1.29;48.77;0.1;0.61;0.71;1.85;1.07;53.58
Q24;2019;010000115;010009132;2100;;;0.28;;0.28;0.4;2.77;;9.28;2;0.45;;0.07;14.97;;0.25;0.25;0.5;0.43;16.43
Q24;2019;010000115;010009132;2400;;;0.56;;0.56;0.45;2.33;;2.58;1;0.45;;1.08;7.89;;0.25;0.25;0.2;0.47;9.37
Q24;2019;010000115;010009132;2500;0.12;;0.22;;0.34;1.25;4.92;;15.3;4.3;;;0.14;25.91;0.1;0.11;0.21;1.15;0.17;27.78
Q24;2019;010000115;010009132;9999;0.52;;3.16;;3.68;2.1;10.02;;27.16;10.8;0.9;;1.29;52.27;0.1;0.61;0.71;1.85;1.07;59.58
Q24;2019;010000131;010009132;1000;0.6;;3.86;;4.46;;;;;;;;;;;;;;;4.46
Q24;2019;010000131;010009132;2000;;;1.06;;1.06;1.3;12.53;;9.61;3;0.4;;0.25;27.09;0.25;0.4;0.65;1.41;0.39;30.6
Q24;2019;010000131;010009132;2100;;;0.1;;0.1;0.27;2.9;;1;2;0.13;;0.05;6.35;;0.4;0.4;0.33;0.09;7.27
Q24;2019;010000131;010009132;2400;;;0.96;;0.96;1.03;9.63;;8.61;1;0.27;;0.2;20.74;0.25;;0.25;1.08;0.3;23.33
Q24;2019;010000131;010009132;9999;0.6;;4.92;;5.52;1.3;12.53;;9.61;3;0.4;;0.25;27.09;0.25;0.4;0.65;1.41;0.39;35.06
Q24;2019;010000180;010007987;1000;0.16;0.2;;;0.36;;;;;;;;;;;;;;;0.36
Q24;2019;010000180;010007987;2000;;;1.9;;1.9;1;4.92;;5.71;7.74;2.84;;0.2;22.41;1;0.8;1.8;;1;27.11
Q24;2019;010000180;010007987;2100;;;0.4;;0.4;0.2;1;;1.1;1.36;0.57;;0.1;4.33;0.2;0.1;0.3;;0.2;5.23
Q24;2019;010000180;010007987;2400;;;1.5;;1.5;0.8;3.92;;4.61;6.38;2.27;;0.1;18.08;0.8;0.7;1.5;;0.8;21.88
Q24;2019;010000180;010007987;9999;0.16;0.2;1.9;;2.26;1;4.92;;5.71;7.74;2.84;;0.2;22.41;1;0.8;1.8;;1;27.47
Q24;2019;010000198;010007987;2000;0.2;0.3;3.02;;3.52;1.17;7.2;;9.03;15.36;0.1;;8;40.86;0.1;;0.1;;0.13;44.61
Q24;2019;010000198;010007987;2400;0.2;0.3;3.02;;3.52;1.17;7.2;;9.03;15.36;0.1;;8;40.86;0.1;;0.1;;0.13;44.61
Q24;2019;010000198;010007987;9999;0.2;0.3;3.02;;3.52;1.17;7.2;;9.03;15.36;0.1;;8;40.86;0.1;;0.1;;0.13;44.61
Q24;2019;010000214;010007987;1000;0.58;0.5;25.85;;26.93;1;0.66;;4.49;7.25;0.53;;;13.93;;;;7;60.67;108.53
Q24;2019;010000214;010007987;2000;;;5.82;;5.82;6.96;51.25;;75.16;31.23;2.16;;16.26;183.02;;2.1;2.1;;;190.94
Q24;2019;010000214;010007987;2100;;;1.82;;1.82;0.73;15.32;;25.36;4.52;0.31;;2.26;48.5;;0.1;0.1;;;50.42
Q24;2019;010000214;010007987;2400;;;4;;4;6.23;35.93;;49.8;26.71;1.85;;14;134.52;;2;2;;;140.52
Q24;2019;010000214;010007987;9999;0.58;0.5;31.67;;32.75;7.96;51.91;;79.65;38.48;2.69;;16.26;196.95;;2.1;2.1;7;60.67;299.47
Q24;2019;010000495;010783009;1000;8.94;;63.15;;72.09;7.62;19.27;;8.7;13.09;1.07;;3.69;53.44;1.39;1.57;2.96;3;61.3;192.79
Q24;2019;010000495;010783009;2000;;;43.34;;43.34;33.17;419.74;;95.39;79.9;54.91;;16.65;699.76;19.12;22.64;41.76;;0.37;785.23
