AN;NOM_COURT_GHT;CODE_GHT;NOM_COMPLET_GHT;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;CAP_HTP_GEN;CAP_HTP_INF;CAP_HTP_PEN;CAP_HTP_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;JOU_USLD;PLATOT_HAD;SEJ_HAD;JOU_HAD;FIL_HAD;BIO_B2;BIO_B3;NB_SCAN;ACT_SCAN;ACTNUI_SCAN;NB_IRM;ACT_IRM;ACTNUI_IRM;NB_CAM;ACT_CAM;ACTNUI_CAM;NB_TOMO;ACT_TOMO;ACTNUI_TOMO;NB_MAMM;ACTEX_MAMM;NB_LITHO;ACT_LITHO;ACTNUI_LITHO;NB_RADIO;ACT_RADIO;ACTNUI_RADIO;NB_VASC;ACT_VASC;ACTNUI_VASC;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_C10;BLOCS_C11;BLOCS_C12;BLOCS_C13;BLOCS_C14;BLOCS_C15;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A10;PHARMA_A16_POURCENTOUI;PHARMA_A17_POURCENTOUI;PHARMA_A18_POURCENTOUI;PHARMA_A19_POURCENTOUI;PHARMA_A20_POURCENTOUI;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;INTTOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_ETAB;NB_CHRCHU;NB_CH;NB_CHS;NB_AUT
2020;ARA-11;84111;NORD DAUPHINÉ;326;57;31;414;18194;2436;2329;22959;95368;12989;6942;115299;21;9;1;31;1263;1833;218;3314;;10;;10;;10;;10;;99;;99;;24;;24;;792;;792;;;;;;;;;;;;;;;;1930;;1930;80;886;25490;1590;10;155;89;55015;;;;;;;2;24266;398;2;14849;0;;;;;;;;;;;;6;48407;733;1;;;2;8;1;1;1;1;;5;;;;15;2;;2;1;;15;12;;4617;1103;160;32;3381;25;414;10;50;155;276;7381069;33.3;33.3;0;33.3;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;4;;2
2020;ARA-12;84112;RHÔNE NORD BEAUJOLAIS DOMBES;480;65;38;583;25421;3271;2939;31631;145725;12630;11063;169418;14;18;1;33;1851;5355;1008;8214;158;;;158;158;;;158;1397;;;1397;83;49;;132;3593;3964;;7557;5;;5;0;;0;931;;;931;6780;2604;682;9300;7943;2740;682;10598;224;2232;69415;0;0;70;55;24460;;;;;;;3;33891;459;1;4205;96;;;;;;;2;3786;;;;8;53505;728;2;3528;5;4;10;1;1;1;2;;2;;;;15;2;2;2;;1;13;;4;9581;1659;879;390;6471;37;594;158;224;70;1423;15729709;16.7;0;16.7;42.9;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;7;1;2
2020;ARA-13;84113;VAL RHÔNE SANTÉ;333;48;42;423;11456;1829;3175;16460;81597;7090;11641;100328;19;10;7;36;1761;986;729;3476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;255;2350;69421;798;5;;;;35;337;12789;225;;;2;17585;206;1;3897;;;;;;;;1;516;;;;6;35459;113;;;;6;5;2;3;3;1;0;2;1;0;0;11;6;0;2;2;0;12;12;0;3578;1736;36;42;2377;50;460;0;225;0;670;5492915;20;0;0;40;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;6;;
2020;ARA-14;84114;RHÔNE VERCORS VIVARAIS;704;153;76;933;29728;8018;4852;42598;202710;34577;17682;254969;64;37;3;104;3304;5951;846;10101;248;10;;258;240;10;;250;2357;77;;2434;99;38;;137;12801;2635;;15436;;;;;;;1509;44;0;1551;8223;2740;526;11291;10073;2858;536;13212;279;2581;71372;2080;21;107;50;36295;140;1953;47607;1222;;;4;37994;459;5;22623;52;4;7003;;1;3736;;3;2539;;;;14;85614;810;3;5763;18;5;15;1;2;1;4;;4;0;0;;25;2;1;3;1;1;26;;9;13071;2809;1731;561;5477;219;945;250;279;107;1431;20659750;22.2;0;11.1;33.3;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;9;2;
2020;ARA-15;84115;SUD DRÔME ARDÈCHE;510;96;53;659;22350;5364;3474;31188;143131;22411;12488;178030;28;27;1;56;2026;4517;687;7230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;322;4130;106446;3207;10;171;109;57609;54;722;20990;522;;;5;33835;230;3;10820;72;;;;;;;3;3307;;;;8;57633;456;;;;3;12;3;2;0;;0;2;0;;;16;3;;3;2;;21;6;;9617;1948;118;2;7266;101;713;0;383;175;1414;12047192;33.3;0;0;27.3;63.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;14;;1
2020;BFC-01;27101;SAÔNE-ET-LOIRE-BRESSE MORVAN;535;80;57;672;25796;3900;3754;33450;159913;21876;11972;193761;18;24;3;45;2513;3173;56;5742;269;16;;285;269;16;;285;1599;307;0;1906;54;75;;129;6024;5864;0;11888;7;;7;16;0;16;1054;144;;1195;6400;3309;614;10160;7708;3715;614;11876;250;2178;69230;0;0;54;51;15973;;;;;;;4;52431;536;2;12585;10;;;;;;;2;4196;;;;11;48738;374;;;;3;9;1;2;1;1;0;1;0;0;0;13;2;;3;0;;19;0;;7385;1760;342;605;4740;92;671;285;215;54;992;18801700;28.6;0;0;28.6;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;8;1;
2020;BFC-02;27102;BOURGOGNE MÉRIDIONALE;476;108;50;634;24082;5971;3136;33189;134863;28667;10012;173542;43;31;0;74;2937;4969;26;7932;83;;;83;80;;;80;748;;;748;10;;;10;897;;;897;;;;;;;486;;;486;41;;;41;4492;;;4498;259;2678;75281;1629;18;149;65;50445;40;602;16149;383;;;2;25377;366;1;7435;;;;;;;;;;;;;8;51532;469;1;3724;7;4;9;2;3;3;2;1;7;;0;;21;6;;3;1;;20;;;9421;1685;1098;703;7109;131;688;80;261;149;1323;10483733;40;0;0;40;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;7;;2
2020;BFC-03;27103;21-52 CÔTE D'OR-HAUTE-MARNE;1092;274;126;1492;49673;13688;6646;70007;304171;68142;27258;399571;201;57;21;279;17589;10121;2592;30302;336;18;;354;336;15;;351;3537;199;0;3736;140;105;20;265;4658;5582;5252;15492;5;4;9;0;209;209;2458;115;;2592;10501;2424;536;13379;13297;3014;628;16763;427;3881;126456;12106;43;182;137;59468;;;;;;;6;47872;1075;5;19991;51;;;;;;;4;2168;;;;17;106970;1960;3;4060;12;4;33;4;4;3;3;1;4;;;;44;8;5;3;3;1;59;11;8;27571;3668;2884;1696;9833;165;1412;336;374;142;1295;58922309;28.6;0;14.3;50;87.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;2;10;1;2
2020;BFC-04;27104;SUD YONNE-HAUT-NIVERNAIS;429;68;37;534;18893;4608;3204;26705;113467;18765;10029;142261;34;24;;58;1122;1158;0;2280;223;18;2;243;217;10;2;229;1674;67;33;1774;49;73;;122;4436;4983;;9419;;;;0;;0;1307;55;27;1359;7683;2426;994;9971;9091;2565;1021;11515;175;1467;46495;2783;20;29;6;8800;;;;;;;3;18867;74;1;4115;;1;;;;;;2;620;;;;5;31970;44;1;812;;7;9;2;2;1;4;;5;;2;;22;3;1;2;;1;17;;1;5558;1893;1368;133;3520;119;172;229;95;0;620;11043498;20;0;0;20;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;4;1;
2020;BFC-05;27105;NORD YONNE;277;76;30;383;11580;2870;1926;16376;84004;12860;6465;103329;16;11;0;27;617;2298;0;2915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;931;26954;3235;22;64;40;19489;50;485;8421;369;;;3;20081;270;1;7100;68;;;;;;;2;1528;;;;6;35499;414;;;;2;7;1;1;1;;;1;;;;9;2;;2;2;;12;2;;4261;949;17;187;2197;66;308;;50;;240;2758033;100;0;100;50;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;4;;1
