NOM_COURT_GHT;CODE_GHT;NOM_COMPLET_GHT;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;CAP_HTP_GEN;CAP_HTP_INF;CAP_HTP_PEN;CAP_HTP_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;JOU_USLD;PLATOT_HAD;SEJ_HAD;JOU_HAD;FIL_HAD;BIO_B2;BIO_B3;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;NB_MAMM;ACTEX_MAMM;NB_LITHO;ACT_LITHO;NB_RADIO;ACT_RADIO;NB_VASC;ACT_VASC;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_C10;BLOCS_C11;BLOCS_C12;BLOCS_C13;BLOCS_C14;BLOCS_C15;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A16_POURCENTOUI;PHARMA_A17_POURCENTOUI;PHARMA_A18_POURCENTOUI;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;EFF_INT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRSOI;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRSOI;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_ETAB;NB_CHRCHU;NB_CH;NB_CHS;NB_AUT
ARA-01;84101;ALLIER PUY-DE-DÔME;1713;505;196;2414;88022;29631;12570;130223;563729;146010;44227;753966;195;83;19;297;34073;21728;3450;59251;808;57;;865;473;23;;496;4609;223;;4832;163;86;;249;27373;9567;;36940;0;0;0;0;0;0;13275;4431;84;17469;18968;5439;84;23807;652;5978;193745;10841;50;582;378;192065;100;1231;31517;887;7849370;1309445;16;153117;10;42793;1;9267;;;6;6636;3;1179;37;253672;7;15792;11;45;4;7;4;10;0;13;0;2;0;77;8;1;17;3;2;101;9;13;49507;6463;7734;3572;29726;1686;;;;;;;;;1007;195;98;135;192;61;94;65;90;121;1569;48;12;0;0;5;0;0;0;0;0;53;800.63;140.08;81.87;130.05;143.88;46;77.48;30.04;74.12;79.08;1205.23;804;734.16;239;239;505;3945;3434;1621;186;296;10465;54;6;1544;187;93;163;359;270;12;2080;4675;15140;215.77;229.3;470.41;3751.49;3289.79;1544.81;143.73;246.61;9891.91;49.41;6.12;1479.87;174.05;87.36;148.52;351.43;257.97;8.74;2008.33;4484.44;14376.35;20;4;15;1;
ARA-02;84102;SAVOIE BELLEY;845;292;132;1269;43389;17073;6556;67018;259011;72433;25868;357312;95;82;19;196;7004;17726;1230;25960;230;10;0;240;200;10;0;210;2129;369;;2498;77;28;;105;5646;838;;6484;;;;;;;7741;4853;1201;13625;9130;5008;1231;15142;281;2336;80720;8792;34;173;153;61154;68;1947;27796;743;1650392;216185;9;73120;5;18325;3;9091;1;9567;2;4662;1;325;14;159488;2;3350;7;21;4;4;2;1;1;2;0;0;0;28;7;10;5;2;2;47;11;22;32285;3763;1515;201;15182;292;;;;;;;;;605;126;130;66;112;35;54;11;61;26;869;1;0;0;0;8;0;;;0;4;13;454.07;75.41;101.33;52.08;96.79;29.92;42.89;8.74;51.59;17.1;671.18;152;162.82;132;130;225;1838;1231;606;156;195;4513;38;4;1017;128;60;96;100;145;15;819;2362;6875;108.28;122.25;201.92;1680.77;1114.96;528.22;114.01;152.71;4023.12;35.29;3.85;901.65;107.08;52.16;85.36;91.47;133.55;13.35;756.83;2128.43;6151.55;13;;11;1;1
ARA-03;84103;BRESSE HAUT-BUGEY;355;88;57;500;16571;4710;4331;25612;115866;22736;12762;151364;29;28;5;62;4985;5070;677;10732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;335;3713;104833;3293;13;136;115;47309;45;575;12378;290;1565036;102051;3;22218;4;11172;;;;;;;;;8;49598;2;127;3;10;;3;3;0;;3;;1;;18;3;;3;;;27;;;10795;1072;57;396;6596;65;;;;;;;;;234;69;22;36;55;16;;2;34;8;333;3;0;3;0;8;5;;;0;0;11;180.7;51.96;17.64;28.04;44.64;13.31;;1.6;25.37;2.82;255.13;79;58.17;63;58;109;736;748;288;37;103;2142;18;5;441;35;18;65;45;46;6;431;1092;3234;52.76;54.76;101.09;669.79;702.3;283.44;24.39;78.14;1966.67;12.31;2.81;380.2;19.65;13.79;55.75;41.53;41.49;4.51;378.27;936.52;2903.19;11;;9;;2
ARA-04;84104;CANTAL;354;69;33;456;13605;3952;1770;19327;93517;16718;5434;115669;33;16;0;49;2764;3393;0;6157;110;14;;124;103;10;;113;1130;385;;1515;57;22;;79;7492;3475;;10967;1;;1;39;;39;3242;700;143;4066;4226;805;;5149;186;1460;47513;2161;15;138;110;45959;15;551;6107;206;1309120;271860;2;23542;2;13992;;;;;2;2909;;;7;35896;1;2281;3;9;3;2;2;1;1;2;1;0;0;15;7;0;2;1;0;17;1;0;6883;810;1260;231;4400;31;;;;;;;;;142;21;31;19;33;9;9;1;15;14;214;1;0;;;;;;;;;1;104.73;19.58;28.01;14.51;25.25;5.4;7.85;0.5;11.66;10.41;160.4;70;69.17;31;42;55;640;590;260;34;55;1707;11;5;289;69;19;37;25;37;6;304;783;2490;30.53;37.07;50.79;602.55;549.04;237.39;24.81;39.74;1571.92;9.67;3.74;271.71;48.54;14.87;33.64;23.45;31.65;5.08;292.72;720.2;2292.12;8;;8;;
ARA-05;84105;ALPES DAUPHINÉ;1007;397;87;1491;49387;19726;6930;76043;297639;100187;25476;423302;120;52;18;190;23957;12481;4019;40457;303;22;0;325;285;22;0;307;2597;201;0;2798;100;104;14;218;11032;14197;2801;28030;0;1;1;0;0;0;12177;5532;1290;18658;14438;6025;1330;23141;442;4364;114005;18504;54;346;301;101884;100;4080;25447;1019;5561374;263610;7;186484;6;88229;4;16303;1;15825;2;6535;1;0;25;184123;4;19642;5;45;7;3;1;6;;4;;;;58;8;0;6;2;;73;10;;42626;3872;3570;2346;12782;434;;;;;;;;;965;185;93;155;172;33;132;4;123;81;1477;14;0;;;3;1;0;0;0;0;17;678;115.38;36.05;130.52;125.38;25.26;108.17;1.2;101.45;78.27;1092.47;585;555.84;140;211;468;2637;1791;1019;285;373;6924;40;3;1445;199;105;120;312;213;36;1408;3776;10700;116.84;201.58;427.7;2466.39;1664.19;981.14;206.61;310.69;6375.14;38;3.59;1304.43;173.29;98.19;107.13;294.6;199.1;32.92;1335.21;3488.27;9863.41;11;3;6;1;1
ARA-06;84106;HAUTE-LOIRE;310;103;21;434;17568;5529;1270;24367;89956;28168;4688;122812;29;28;2;59;2618;8490;79;11187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101;1215;33638;1468;9;145;83;48964;42;539;15351;363;1235525;238094;3;47459;2;18349;;;;;1;3624;;;7;52237;1;1886;2;10;1;1;1;1;0;2;0;0;0;14;2;2;3;1;1;20;14;2;11462;799;517;507;5901;26;;;;;;;;;143;34;30;17;44;9;1;2;20;10;220;22;16;;;;;;;0;0;22;115.75;24.32;24.06;15.96;37.76;6.23;0.49;0.73;16.22;6.9;177.85;67;74.08;30;34;69;641;591;291;19;52;1727;12;3;286;25;14;37;42;59;2;252;718;2445;25.01;35.24;63.58;576.08;535.46;253.43;15.5;41.29;1545.59;12.11;1.93;256.65;18.75;12.64;33.6;41.27;53.78;2.45;219.61;640.15;2185.74;5;;5;;
ARA-07;84107;LÉMAN MONT-BLANC;541;156;83;780;30509;10336;6314;47159;180998;40255;22042;243295;48;49;1;98;6750;12594;1050;20394;165;0;0;165;165;0;0;165;1409;0;;1409;58;29;;87;9860;1539;;11399;5;0;5;0;;0;6034;2495;498;8486;7022;2565;498;9534;68;595;18959;0;0;60;49;19353;62;1484;19074;717;1416201;130935;4;43522;4;23532;3;6078;1;9634;3;3710;;;10;84555;;;4;17;3;3;3;0;;6;;3;;29;6;0;3;2;0;36;15;0;20625;3334;190;641;14184;84;;;;;;;;;396;91;61;64;82;29;35;2;31;12;558;9;0;;;2;;;1;;;12;297.12;66.98;44.69;50.86;73.09;23.88;34.9;0.28;25.65;13.6;444.64;141;128.41;122;79;93;1106;826;348;97;111;2782;48;4;599;98;36;63;78;67;5;574;1536;4318;106.75;73.77;87.95;1014.92;750.74;323.79;79.84;82.91;2520.67;41.83;3.84;557.24;80.58;30.98;55.08;70.89;65.91;5.33;550.39;1431.09;3951.76;8;;6;1;1
ARA-08;84108;HAUTE-SAVOIE PAYS DE GEX;567;162;73;802;31724;9625;5781;47130;170587;43720;22652;236959;54;27;0;81;6504;8573;12;15089;91;;;91;73;;;73;803;12;;815;20;28;;48;3442;2416;;5858;;;;;;;4732;2582;;7096;5223;2592;;7638;147;954;35713;7720;25;135;79;41756;35;412;9974;239;1351277;163669;4;44296;3;11524;;;;;1;2899;1;78;7;65041;3;6486;8;15;2;3;2;3;1;8;0;0;0;30;6;6;3;2;1;27;6;12;18806;2763;2611;625;8459;194;;;;;;;;;440;100;63;64;70;18;42;7;31;19;609;;;;;3;;;;;;3;338.59;57.83;56.54;51.83;64.46;19.05;32.84;0.52;27.99;16.91;481.31;123;126.15;87;62;138;1173;897;370;84;128;2939;16;2;603;88;42;64;67;76;10;504;1430;4369;78.93;63.24;120.1;1075.21;831.13;340.67;58.37;102.64;2670.29;12.63;1.7;548.22;63.86;35.47;57.26;62.26;69.44;9.81;462.5;1287.68;3957.97;7;;6;;1
ARA-09;84109;LOIRE;1481;410;189;2080;85080;20086;11335;116501;456970;109773;38609;605352;147;107;15;269;30831;26884;2595;60310;288;12;0;300;252;11;0;263;3587;262;;3849;181;64;;245;24306;6961;;31267;0;0;0;0;0;0;14486;3847;847;19323;17567;4259;847;22860;746;6901;206661;18758;88;370;301;128055;50;264;8786;171;5720568;1242946;10;172616;6;37906;3;5883;2;5410;4;8221;1;68;29;218088;4;3567;9;48;4;6;3;9;3;14;1;5;1;83;12;0;10;3;0;81;22;0;52780;5542;4685;1479;23657;1631;;;;;;;;;960;325;59;120;217;65;82;4;98;82;1443;40;21;0;0;8;0;;;0;1;49;697.12;247.61;37.2;85.5;151.81;43.58;70.35;1.48;83.12;57.98;1061.86;574;611.54;223;252;373;3839;2700;1324;256;393;9360;43;8;1797;206;108;167;326;265;126;1736;4674;14034;186.48;213.67;328.52;3366.19;2287.65;947.15;137.57;229.53;7696.76;38.41;6.34;1575.7;162.33;90.34;134.14;285.53;240.89;70.07;1483.46;3996.87;11693.63;23;5;18;;
ARA-11;84111;NORD DAUPHINÉ;328;55;31;414;18759;2909;1950;23618;95293;14688;5970;115951;22;13;1;36;3559;3427;191;7177;;;;;;;;;;;;;;34;;34;;1916;;1916;;;;;;;;1448;;1448;;1464;;1464;110;728;24671;2639;12;155;114;54965;;;;;1370661;472902;3;29449;2;17441;;;;;;;;;6;50343;;;2;6;1;1;1;2;;3;;;;12;2;1;1;1;1;12;12;4;5400;1039;149;73;4276;60;;;;;;;;;146;44;16;17;26;7;3;;12;8;195;0;0;0;0;0;;;;0;;0;117.47;37.75;11.2;12.47;21.92;5.9;2.05;;9.58;8.78;159.8;54;54.22;18;29;50;460;460;294;41;68;1420;9;1;269;43;16;29;30;35;4;174;594;2014;16.17;25.61;47.74;416.42;364.06;205.26;28.52;50.69;1154.47;6.81;1;233;32.22;13.04;20.64;30.41;34.42;4;147.32;509.82;1664.29;6;;4;;2
