BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSOIN;ADMIN;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2023;010000107;010780138;2100;;;;;0.22;3.4;;4.49;1.84;0.09;;0.72;10.76;;0.05;0.05;;;10.81
Q24;2023;010000107;010780138;2400;;;;;0.29;4.5;;5.96;2.37;0.15;;0.81;14.08;;0.08;0.08;;;14.16
Q24;2023;010000107;010780138;9999;0.17;;2.78;2.95;0.51;7.9;;10.61;4.21;0.24;;1.53;25;;0.13;0.13;0.3;3.14;31.52
Q24;2023;010000115;010009132;1000;0.4;0.2;4;4.6;;;;;8.53;;;0.04;8.57;;;;;12.39;25.56
Q24;2023;010000115;010009132;2000;0.12;0.06;1.24;1.42;1.6;12.75;;23.19;15.17;0.43;;3.82;56.96;0.1;0.61;0.71;2.03;2.63;63.75
Q24;2023;010000115;010009132;2100;;;0.28;0.28;0.3;3.58;;9.51;4.5;0.22;;0.58;18.69;;0.25;0.25;0.61;0.24;20.07
Q24;2023;010000115;010009132;2400;;;0.62;0.62;0.3;2.25;;2.09;0;0.21;;0.89;5.74;;0.25;0.25;0.62;0.29;7.52
Q24;2023;010000115;010009132;2500;0.12;0.06;0.34;0.52;1;6.92;;11.59;10.67;;;2.35;32.53;0.1;0.11;0.21;0.8;2.1;36.16
Q24;2023;010000115;010009132;9999;0.52;0.26;5.24;6.02;1.6;12.75;;23.19;23.7;0.43;;3.86;65.53;0.1;0.61;0.71;2.03;15.02;89.31
Q24;2023;010000131;010009132;1000;0.6;0.3;3.61;4.51;;;;0.72;8.98;;;0.25;9.95;;;;0.5;8.1;23.06
Q24;2023;010000131;010009132;2000;;;0.99;0.99;1;12.85;;11.29;5.5;0.4;;1.83;32.87;0.25;0.67;0.92;;0.25;35.03
Q24;2023;010000131;010009132;2100;;;0.11;0.11;0.22;5.05;;4.44;4.63;0.13;;0.4;14.87;;0.67;0.67;;0.06;15.71
Q24;2023;010000131;010009132;2400;;;0.88;0.88;0.78;7.8;;6.85;0.87;0.27;;1.43;18;0.25;;0.25;;0.19;19.32
Q24;2023;010000131;010009132;9999;0.6;0.3;4.6;5.5;1;12.85;;12.01;14.48;0.4;;2.08;42.82;0.25;0.67;0.92;0.5;8.35;58.09
Q24;2023;010000180;010007987;2000;0.1;;2;2.1;1;4.9;;5;7.85;3;;2.2;23.95;;0.8;0.8;;0.7;27.55
Q24;2023;010000180;010007987;2400;0.1;;2;2.1;1;4.9;;5;7.85;3;;2.2;23.95;;0.8;0.8;;0.7;27.55
Q24;2023;010000180;010007987;9999;0.1;;2;2.1;1;4.9;;5;7.85;3;;2.2;23.95;;0.8;0.8;;0.7;27.55
Q24;2023;010000198;010007987;2000;0.1;;3.88;3.98;1;7.85;;8.57;13.91;0.3;;10.7;42.33;;0.2;0.2;;2.2;48.71
Q24;2023;010000198;010007987;2400;0.1;;3.88;3.98;1;7.85;;8.57;13.91;0.3;;10.7;42.33;;0.2;0.2;;2.2;48.71
Q24;2023;010000198;010007987;9999;0.1;;3.88;3.98;1;7.85;;8.57;13.91;0.3;;10.7;42.33;;0.2;0.2;;2.2;48.71
Q24;2023;010000214;010007987;1000;;;27.31;27.31;1.03;;;;;1;;;2.03;;;;8.53;31.91;69.78
Q24;2023;010000214;010007987;2000;0.7;;4.65;5.35;11.82;65.29;1;88.81;70.85;4.6;;18.8;261.17;;2.9;2.9;;;269.42
Q24;2023;010000214;010007987;2100;0.05;;1.2;1.25;1.03;8.49;0.13;11.55;9.21;0.73;;2.44;33.58;;0.38;0.38;;;35.21
Q24;2023;010000214;010007987;2400;0.65;;3.45;4.1;10.79;56.8;0.87;77.26;61.64;3.87;;16.36;227.59;;2.52;2.52;;;234.21
Q24;2023;010000214;010007987;9999;0.7;;31.96;32.66;12.85;65.29;1;88.81;70.85;5.6;;18.8;263.2;;2.9;2.9;8.53;31.91;339.2
Q24;2023;010000495;010783009;1000;7.83;;68.43;76.26;9.26;29.42;0.74;12.16;19.32;3.57;;2.18;76.65;1.38;2.16;3.54;0.7;70.12;227.27
Q24;2023;010000495;010783009;2000;;;51.24;51.24;31.22;343.59;3.39;90.47;72.32;57.65;;17.27;615.91;34.04;20.35;54.39;3.14;0.03;724.71
Q24;2023;010000495;010783009;2200;;;51.24;51.24;31.22;343.59;3.39;90.47;72.32;57.65;;17.27;615.91;34.04;20.35;54.39;3.14;0.03;724.71
Q24;2023;010000495;010783009;9999;7.83;;119.67;127.5;40.48;373.01;4.13;102.63;91.64;61.22;;19.45;692.56;35.42;22.51;57.93;3.84;70.15;951.98
Q24;2023;010002129;310025010;2000;1.98;;8.03;10.01;3;21.47;;23.77;12.97;1.58;;14.68;77.47;;0.57;0.57;1.14;8.36;97.55
Q24;2023;010002129;310025010;2400;1.98;;8.03;10.01;3;21.47;;23.77;12.97;1.58;;14.68;77.47;;0.57;0.57;1.14;8.36;97.55
Q24;2023;010002129;310025010;9999;1.98;;8.03;10.01;3;21.47;;23.77;12.97;1.58;;14.68;77.47;;0.57;0.57;1.14;8.36;97.55
Q24;2023;010005239;010008407;1000;3;0.85;37.78;41.63;5;8.32;1.53;9.97;15.94;0.01;2.67;4.25;47.69;0.82;0;0.82;4.29;56.32;150.75
Q24;2023;010005239;010008407;2000;0;0;30.71;30.71;0.1;95.63;16.26;114.64;5.94;1.8;15.15;0;249.52;0;1;1;22.43;1.74;305.4
Q24;2023;010005239;010008407;2100;0;0;30.31;30.31;0.05;92.51;16.26;99.68;5.94;1.8;15.15;0;231.39;0;1;1;22.43;1.16;286.29
Q24;2023;010005239;010008407;2300;0;0;0;0;0;0;0;1.25;0;0;0;0;1.25;0;0;0;0;0;1.25
Q24;2023;010005239;010008407;2400;0;0;0.4;0.4;0.05;3.12;0;13.71;0;0;0;0;16.88;0;0;0;0;0.58;17.86
Q24;2023;010005239;010008407;9999;3;0.85;68.49;72.34;5.1;103.95;17.79;124.61;21.88;1.81;17.82;4.25;297.21;0.82;1;1.82;26.72;58.06;456.15
Q24;2023;010005379;010010718;2000;;;1.6;1.6;1;5.48;;1.72;1;0.5;;;9.7;;0.57;0.57;1.8;;13.67
Q24;2023;010005379;010010718;2300;;;1.6;1.6;1;5.48;;1.72;1;0.5;;;9.7;;0.57;0.57;1.8;;13.67
Q24;2023;010005379;010010718;9999;;;1.6;1.6;1;5.48;;1.72;1;0.5;;;9.7;;0.57;0.57;1.8;;13.67
Q24;2023;010006526;690796552;1000;;;0.13;0.13;;;;;;;;;;;;;;;0.13
Q24;2023;010006526;690796552;2000;;;;;0.25;7.19;;;;0.03;;;7.47;;;;;;7.47
Q24;2023;010006526;690796552;2100;;;;;0.25;7.19;;;;0.03;;;7.47;;;;;;7.47
Q24;2023;010006526;690796552;9999;;;0.13;0.13;0.25;7.19;;;;0.03;;;7.47;;;;;;7.6
Q24;2023;010007300;010007292;2000;1.08;;1.6;2.68;;3;0.72;0.86;;;;;4.58;;;;;;7.26
Q24;2023;010007300;010007292;2100;1.08;;1.6;2.68;;3;0.72;0.86;;;;;4.58;;;;;;7.26
Q24;2023;010007300;010007292;9999;1.08;;1.6;2.68;;3;0.72;0.86;;;;;4.58;;;;;;7.26
Q24;2023;010008852;010783009;2000;2.2;;7.75;9.95;5.34;14.71;;18.04;23.63;2.97;;20.85;85.54;2.83;2.4;5.23;1.13;1;102.85
Q24;2023;010008852;010783009;2400;2.2;;7.75;9.95;5.34;14.71;;18.04;23.63;2.97;;20.85;85.54;2.83;2.4;5.23;1.13;1;102.85
Q24;2023;010008852;010783009;9999;2.2;;7.75;9.95;5.34;14.71;;18.04;23.63;2.97;;20.85;85.54;2.83;2.4;5.23;1.13;1;102.85
Q24;2023;010009702;010780054;2000;;;;;0.15;2.92;;8.64;3.15;0.5;;0.8;16.16;;;;;;16.16
Q24;2023;010009702;010780054;2500;;;;;0.15;2.92;;8.64;3.15;0.5;;0.8;16.16;;;;;;16.16
Q24;2023;010009702;010780054;9999;;;;;0.15;2.92;;8.64;3.15;0.5;;0.8;16.16;;;;;;16.16
Q24;2023;010010171;010011559;2000;3.87;;6.69;10.56;3.63;22.57;;19.94;;5.57;;4.54;56.25;;1.01;1.01;;4.27;72.09
Q24;2023;010010171;010011559;2200;3.87;;6.69;10.56;3.63;22.57;;19.94;;5.57;;4.54;56.25;;1.01;1.01;;4.27;72.09
Q24;2023;010010171;010011559;9999;3.87;;6.69;10.56;3.63;22.57;;19.94;;5.57;;4.54;56.25;;1.01;1.01;;4.27;72.09
Q24;2023;010011641;010000222;2000;2;;7.74;9.74;2;17.54;;9.53;14.39;1.54;;9.76;54.76;;0.79;0.79;0.71;0.94;66.94
Q24;2023;010011641;010000222;2400;2;;7.74;9.74;2;17.54;;9.53;14.39;1.54;;9.76;54.76;;0.79;0.79;0.71;0.94;66.94
Q24;2023;010011641;010000222;9999;2;;7.74;9.74;2;17.54;;9.53;14.39;1.54;;9.76;54.76;;0.79;0.79;0.71;0.94;66.94
Q24;2023;010780195;010000156;2000;;0.33;27.26;27.59;5.44;105.77;7.86;56.21;16.56;0.15;;0.95;192.94;;0.49;0.49;10.56;11.98;243.56
Q24;2023;010780195;010000156;2100;;0.33;27.26;27.59;5.44;105.77;7.86;56.21;16.56;0.15;;0.95;192.94;;0.49;0.49;10.56;11.98;243.56
Q24;2023;010780195;010000156;9999;;0.33;27.26;27.59;5.44;105.77;7.86;56.21;16.56;0.15;;0.95;192.94;;0.49;0.49;10.56;11.98;243.56
Q24;2023;010780203;010010718;1000;3.83;;22.51;26.34;;;;;;;;;;;;;;3.15;29.49
Q24;2023;010780203;010010718;2000;;0.74;10.34;11.08;3.68;70.45;3.21;47.27;24.33;0.51;12.84;0.8;163.09;;1.57;1.57;13.06;5.53;194.33
Q24;2023;010780203;010010718;2100;;0.74;8.74;9.48;2.68;64.97;3.21;45.55;23.33;0.01;12.84;0.8;153.39;;1;1;11.26;5.53;180.66
Q24;2023;010780203;010010718;2300;;;1.6;1.6;1;5.48;;1.72;1;0.5;;;9.7;;0.57;0.57;1.8;;13.67
Q24;2023;010780203;010010718;9999;3.83;0.74;32.85;37.42;3.68;70.45;3.21;47.27;24.33;0.51;12.84;0.8;163.09;;1.57;1.57;13.06;8.68;223.82
Q24;2023;010780278;010783009;2000;2.2;;13.19;15.39;5.22;23.35;;18.88;41.29;4.61;;23.57;116.92;6.75;2;8.75;1.17;24.88;167.11
Q24;2023;010780278;010783009;2400;2.2;;13.19;15.39;5.22;23.35;;18.88;41.29;4.61;;23.57;116.92;6.75;2;8.75;1.17;24.88;167.11
Q24;2023;010780278;010783009;9999;2.2;;13.19;15.39;5.22;23.35;;18.88;41.29;4.61;;23.57;116.92;6.75;2;8.75;1.17;24.88;167.11
Q24;2023;010780294;690000278;2000;0.1;;1;1.1;0.8;14.19;;3.83;;;;;18.82;;;;;0.25;20.17
Q24;2023;010780294;690000278;2100;0.1;;1;1.1;0.8;14.19;;3.83;;;;;18.82;;;;;0.25;20.17
Q24;2023;010780294;690000278;9999;0.1;;1;1.1;0.8;14.19;;3.83;;;;;18.82;;;;;0.25;20.17
Q24;2023;010780476;750005068;1000;;;10.61;10.61;1;;;;;;;;1;;;;;22.91;34.52
Q24;2023;010780476;750005068;2000;;;2.45;2.45;1.38;15.96;;17.19;3.82;4.01;;4;46.36;17.5;1.75;19.25;;;68.06
Q24;2023;010780476;750005068;2200;;;0.4;0.4;0.1;1;;;;0.5;;0.3;1.9;0.73;0.15;0.88;;;3.18
Q24;2023;010780476;750005068;2400;;;2.05;2.05;1.28;14.96;;17.19;3.82;3.51;;3.7;44.46;16.77;1.6;18.37;;;64.88
Q24;2023;010780476;750005068;9999;;;13.06;13.06;2.38;15.96;;17.19;3.82;4.01;;4;47.36;17.5;1.75;19.25;;22.91;102.58
Q24;2023;010780492;360000707;2000;3.16;;12.43;15.59;2.56;11.74;5.09;39.63;5.17;3.52;;34.29;102;14.37;0.88;15.25;0.68;19.12;152.64
Q24;2023;010780492;360000707;2400;3.16;;12.43;15.59;2.56;11.74;5.09;39.63;5.17;3.52;;34.29;102;14.37;0.88;15.25;0.68;19.12;152.64
Q24;2023;010780492;360000707;9999;3.16;;12.43;15.59;2.56;11.74;5.09;39.63;5.17;3.52;;34.29;102;14.37;0.88;15.25;0.68;19.12;152.64
Q24;2023;010780799;010783009;2000;0.85;;2.21;3.06;1.5;3.9;;4.5;8.2;;;2.35;20.45;;;;0.25;1.95;25.71
Q24;2023;010780799;010783009;2400;0.85;;2.21;3.06;1.5;3.9;;4.5;8.2;;;2.35;20.45;;;;0.25;1.95;25.71
Q24;2023;010780799;010783009;9999;0.85;;2.21;3.06;1.5;3.9;;4.5;8.2;;;2.35;20.45;;;;0.25;1.95;25.71
Q24;2023;010789576;010780096;1000;0.05;;0.94;0.99;;0.14;;0.55;0.05;;;;0.74;;;;;0.96;2.69
Q24;2023;010789576;010780096;2000;;;0.14;0.14;1.1;6.8;;9.66;3.62;0.04;;0.3;21.52;;;;0.34;;22
Q24;2023;010789576;010780096;2500;;;0.14;0.14;1.1;6.8;;9.66;3.62;0.04;;0.3;21.52;;;;0.34;;22
Q24;2023;010789576;010780096;9999;0.05;;1.08;1.13;1.1;6.94;;10.21;3.67;0.04;;0.3;22.26;;;;0.34;0.96;24.69
Q24;2023;010789717;010008407;1000;;;0;0;0;0.01;;0.1;0;0.01;;;0.12;0;;0;0;0;0.12
Q24;2023;010789717;010008407;2000;;;0.75;0.75;0.63;2.67;;9.5;7.07;0.1;;;19.97;0.27;;0.27;0.3;0.4;21.69
Q24;2023;010789717;010008407;2500;;;0.75;0.75;0.63;2.67;;9.5;7.07;0.1;;;19.97;0.27;;0.27;0.3;0.4;21.69
Q24;2023;010789717;010008407;9999;;;0.75;0.75;0.63;2.68;;9.6;7.07;0.11;;;20.09;0.27;;0.27;0.3;0.4;21.81
Q24;2023;020000089;020000022;1000;;;8.86;8.86;1;1;;1;9.7;;;;12.7;;;;;23.7;45.26
Q24;2023;020000089;020000022;2000;;;11.17;11.17;4.5;44.11;;82.1;24.71;0.7;;2.7;158.82;;2.46;2.46;6.57;0.3;179.32
Q24;2023;020000089;020000022;2100;;;9.5;9.5;2;22.04;;15.06;5.75;0.1;;0.75;45.7;;1.09;1.09;6.57;;62.86
Q24;2023;020000089;020000022;2300;;;;;0.5;4;;24.29;;;;;28.79;;0.09;0.09;;0.3;29.18
Q24;2023;020000089;020000022;2400;;;1.5;1.5;1;12.07;;29;9.96;0.5;;1.6;54.13;;1.2;1.2;;;56.83
Q24;2023;020000089;020000022;2500;;;0.17;0.17;1;6;;13.75;9;0.1;;0.35;30.2;;0.08;0.08;;;30.45
Q24;2023;020000089;020000022;9999;;;20.03;20.03;5.5;45.11;;83.1;34.41;0.7;;2.7;171.52;;2.46;2.46;6.57;24;224.58
Q24;2023;020000097;020000048;1000;;0.69;17.86;18.55;;1.83;;2.81;4.71;1;;;10.35;;;;1.86;16.83;47.59
Q24;2023;020000097;020000048;2000;;;2;2;1;21.26;;43.43;9.34;1;;2.06;78.09;1;1;2;;;82.09
Q24;2023;020000097;020000048;2100;;;1.2;1.2;0.46;14.23;;32.07;4.5;;;;51.26;;;;;;52.46
Q24;2023;020000097;020000048;2400;;;0.8;0.8;0.54;7.03;;11.36;4.84;1;;2.06;26.83;1;1;2;;;29.63
Q24;2023;020000097;020000048;9999;;0.69;19.86;20.55;1;23.09;;46.24;14.05;2;;2.06;88.44;1;1;2;1.86;16.83;129.68
Q24;2023;020000105;020000055;1000;1;;7;8;;1;;;3.5;0.04;;0.1;4.64;;;;;17.14;29.78
Q24;2023;020000105;020000055;2000;;;1;1;0.86;8.8;;13.75;4.01;0.26;;0.66;28.34;;0.32;0.32;;;29.66
Q24;2023;020000105;020000055;2100;;;0.35;0.35;0.43;5.83;;8.68;2;0.13;;0.25;17.32;;0.16;0.16;;;17.83
Q24;2023;020000105;020000055;2400;;;0.65;0.65;0.43;2.97;;5.07;2.01;0.13;;0.41;11.02;;0.16;0.16;;;11.83
Q24;2023;020000105;020000055;9999;1;;8;9;0.86;9.8;;13.75;7.51;0.3;;0.76;32.98;;0.32;0.32;;17.14;59.44
Q24;2023;020000162;020000063;1000;7.2;1.5;144.15;152.85;8.15;54.47;5.43;55.92;60.85;0;0.39;1.32;186.53;3.92;8.51;12.43;5.38;228.03;585.22
Q24;2023;020000162;020000063;2000;;;96.12;96.12;24.43;518.05;79.17;368.99;164.53;20.81;30.19;25.17;1231.34;4.14;1.87;6.01;109.57;58.99;1502.03
Q24;2023;020000162;020000063;2100;;;87.25;87.25;19.22;392.12;78.23;308.06;121.71;11.45;30.19;10.86;971.84;4.14;0.82;4.96;109.32;53.97;1227.34
Q24;2023;020000162;020000063;2200;;;6.36;6.36;3.91;92.92;0.8;0.17;11.27;4.37;;;113.44;;1.05;1.05;;2.38;123.23
Q24;2023;020000162;020000063;2400;;;2.36;2.36;1.3;24.99;0.14;25.52;18.03;4.37;;13.52;87.87;;;;0.25;1;91.48
Q24;2023;020000162;020000063;2500;;;0.15;0.15;;8.02;;35.24;13.52;0.62;;0.79;58.19;;;;;1.64;59.98
Q24;2023;020000162;020000063;9999;7.2;1.5;240.27;248.97;32.58;572.52;84.6;424.91;225.38;20.81;30.58;26.49;1417.87;8.06;10.38;18.44;114.95;287.02;2087.25
Q24;2023;020000246;020000071;1000;;;6.5;6.5;;1.25;;0.1;1;;;;2.35;;;;;18;26.85
Q24;2023;020000246;020000071;2000;;;1;1;1.5;18.03;;29.61;10.36;1;;2.15;62.65;0.9;;0.9;;;64.55
Q24;2023;020000246;020000071;2100;;;0.5;0.5;0.6;8.71;;14.36;5.36;0.87;;0.77;30.67;0.4;;0.4;;;31.57
Q24;2023;020000246;020000071;2400;;;0.5;0.5;0.9;9.32;;15.25;5;0.13;;1.38;31.98;0.5;;0.5;;;32.98
Q24;2023;020000246;020000071;9999;;;7.5;7.5;1.5;19.28;;29.71;11.36;1;;2.15;65;0.9;;0.9;;18;91.4
Q24;2023;020000303;750814030;1000;6.06;;44.73;50.79;4.16;1.9;;0.51;1;;;;7.57;;;;5.78;61.33;125.47
Q24;2023;020000303;750814030;2000;;;13.35;13.35;10.78;105.35;;115.73;61.12;6.25;;42.11;341.34;1.01;2.64;3.65;;2.24;360.58
Q24;2023;020000303;750814030;2400;;;13.35;13.35;10.78;105.35;;115.73;61.12;6.25;;42.11;341.34;1.01;2.64;3.65;;2.24;360.58
Q24;2023;020000303;750814030;9999;6.06;;58.08;64.14;14.94;107.25;;116.24;62.12;6.25;;42.11;348.91;1.01;2.64;3.65;5.78;63.57;486.05
Q24;2023;020000360;020014742;1000;1;;9.12;10.12;;;;;;;;;;;;;;0.9;11.02
Q24;2023;020000360;020014742;2000;;;;;1;8.12;0.99;6.03;6.73;;;;22.87;;;;2.96;;25.83
Q24;2023;020000360;020014742;2100;;;;;1;8.12;0.99;6.03;6.73;;;;22.87;;;;2.96;;25.83
Q24;2023;020000360;020014742;9999;1;;9.12;10.12;1;8.12;0.99;6.03;6.73;;;;22.87;;;;2.96;0.9;36.85
Q24;2023;020000386;020000600;2000;1.2;;8.13;9.33;1;25.65;;4.66;0.79;1.97;;;34.07;1.96;0.08;2.04;;14.3;59.74
Q24;2023;020000386;020000600;2200;1.2;;8.13;9.33;1;25.65;;4.66;0.79;1.97;;;34.07;1.96;0.08;2.04;;14.3;59.74
Q24;2023;020000386;020000600;9999;1.2;;8.13;9.33;1;25.65;;4.66;0.79;1.97;;;34.07;1.96;0.08;2.04;;14.3;59.74
Q24;2023;020000394;020000253;1000;4;1;52.69;57.69;4.53;17.73;0.8;17.14;58.61;1.7;1;1.7;103.21;;1.19;1.19;1.05;96.53;259.67
Q24;2023;020000394;020000253;2000;;;77.12;77.12;7.59;223.63;20.82;145.8;22.68;6.53;19.63;5.47;452.15;2.67;2.38;5.05;36.87;17.14;588.33
Q24;2023;020000394;020000253;2100;;;76.1;76.1;7.59;221.86;20.82;145.8;22.68;6.36;19.63;5.15;449.89;1.58;2.38;3.96;36.87;17.14;583.96
Q24;2023;020000394;020000253;2400;;;1.02;1.02;;1.77;;;;0.17;;0.32;2.26;1.09;;1.09;;;4.37
Q24;2023;020000394;020000253;9999;4;1;129.81;134.81;12.12;241.36;21.62;162.94;81.29;8.23;20.63;7.17;555.36;2.67;3.57;6.24;37.92;113.67;848
Q24;2023;020000519;020000261;1000;5.67;;59.5;65.17;1.24;22.81;2.89;44.04;45.48;0.1;0.23;0.28;117.07;2;1.76;3.76;2.5;154.74;343.24
Q24;2023;020000519;020000261;2000;0.05;1;67.1;68.15;9.4;287.56;34.02;209.12;94.47;4.76;18.97;9.21;667.51;1.24;2;3.24;49.85;20.52;809.27
Q24;2023;020000519;020000261;2100;;1;64.57;65.57;8.04;270.54;34.02;182.83;82.13;4.76;18.97;8.91;610.2;1.24;2;3.24;49.71;20.52;749.24
Q24;2023;020000519;020000261;2400;0.05;;2.53;2.58;1.36;17.02;;26.29;12.34;;;0.3;57.31;;;;0.14;;60.03
Q24;2023;020000519;020000261;9999;5.72;1;126.6;133.32;10.64;310.37;36.91;253.16;139.95;4.86;19.2;9.49;784.58;3.24;3.76;7;52.35;175.26;1152.51
Q24;2023;020000535;020000287;1000;1.16;;85.41;86.57;1.32;6.29;;14;15.25;0.35;1;2;40.21;;1.9;1.9;1.17;80.74;210.59
Q24;2023;020000535;020000287;2000;;;7.49;7.49;9.75;118.83;8.83;126.01;48.28;0.76;11.24;1.88;325.58;0.33;0.1;0.43;23.9;3;360.4
Q24;2023;020000535;020000287;2100;;;7.01;7.01;8.55;109.06;8.83;112.01;43.83;0.16;11.24;1.38;295.06;;0.1;0.1;23.87;3;329.04
Q24;2023;020000535;020000287;2400;;;0.48;0.48;1.2;9.77;;14;4.45;0.6;;0.5;30.52;;;;0.03;;31.03
Q24;2023;020000535;020000287;2500;;;;;;;;;;;;;;0.33;;0.33;;;0.33
Q24;2023;020000535;020000287;9999;1.16;;92.9;94.06;11.07;125.12;8.83;140.01;63.53;1.11;12.24;3.88;365.79;0.33;2;2.33;25.07;83.74;570.99
Q24;2023;020000543;020000295;1000;1.24;;56;57.24;2;2;;;;;;;4;;;;;135.7;196.94
Q24;2023;020000543;020000295;2000;;;34.6;34.6;32;430;5.8;97.1;169.7;54.5;;12.6;801.7;39.5;15.7;55.2;6.9;;898.4
Q24;2023;020000543;020000295;2200;;;34.6;34.6;32;430;5.8;97.1;169.7;54.5;;12.6;801.7;39.5;15.7;55.2;6.9;;898.4
Q24;2023;020000543;020000295;9999;1.24;;90.6;91.84;34;432;5.8;97.1;169.7;54.5;;12.6;805.7;39.5;15.7;55.2;6.9;135.7;1095.34
Q24;2023;020000915;020003620;1000;;1;26.8;27.8;;;;;;;;;;;;;1;36.8;65.6
Q24;2023;020000915;020003620;2000;;0;0;0;6;37.8;;72.6;23;1.2;;40.4;181;2;1;3;0;0;184
