BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSOIN;ADMIN;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2023;010000024;010780054;1000;6.22;1.4;125.22;132.84;11.28;63.54;6.54;71.82;36;0.92;1.96;0.89;192.95;1.65;7.14;8.79;7.54;225.42;567.54
Q24;2023;010000024;010780054;2000;;;131.2;131.2;18.64;377.42;75.76;322.74;75.61;10.38;32.98;31.36;944.89;2.29;0.12;2.41;95.16;28.48;1202.14
Q24;2023;010000024;010780054;2100;;;123.41;123.41;17.58;331.39;74.94;271.93;60.03;7.91;32.98;26.27;823.03;2.14;0.12;2.26;80.14;25.88;1054.72
Q24;2023;010000024;010780054;2300;;;6.51;6.51;1.06;21.12;0.82;11.45;4.4;1.77;;;40.62;;;;15.02;1.6;63.75
Q24;2023;010000024;010780054;2400;;;1.28;1.28;;13.11;;21.44;0.69;0.7;;3.34;39.28;0.15;;0.15;;;40.71
Q24;2023;010000024;010780054;2500;;;;;;11.8;;17.92;10.49;;;1.75;41.96;;;;;1;42.96
Q24;2023;010000024;010780054;9999;6.22;1.4;256.42;264.04;29.92;440.96;82.3;394.56;111.61;11.3;34.94;32.25;1137.84;3.94;7.26;11.2;102.7;253.9;1769.68
Q24;2023;010000032;010780062;1000;1.8;;24.7;26.5;1.41;5.91;0.6;6.91;13.77;0.85;0.08;0.56;30.09;;0.07;0.07;1.62;23.43;81.71
Q24;2023;010000032;010780062;2000;;;30.36;30.36;7.42;82.05;4.64;69.89;29.26;2.01;10.94;8.51;214.72;;1.37;1.37;23.43;6.87;276.75
Q24;2023;010000032;010780062;2100;;;29.08;29.08;6.1;72.35;4.64;57.6;21.08;0.5;10.94;4.37;177.58;;1.15;1.15;23.43;6.87;238.11
Q24;2023;010000032;010780062;2400;;;1.28;1.28;1.32;9.7;;12.29;8.18;1.51;;4.14;37.14;;0.22;0.22;;;38.64
Q24;2023;010000032;010780062;9999;1.8;;55.06;56.86;8.83;87.96;5.24;76.8;43.03;2.86;11.02;9.07;244.81;;1.44;1.44;25.05;30.3;358.46
Q24;2023;010000065;010780096;1000;0.6;;16.51;17.11;1.75;2.9;;12.1;3.09;0.03;;0.28;20.15;;0.1;0.1;;7.04;44.4
Q24;2023;010000065;010780096;2000;;;5.42;5.42;6.75;59.58;;74.95;4.81;4.13;;11.72;161.94;0.42;3.76;4.18;3.51;;175.05
Q24;2023;010000065;010780096;2100;;;3.75;3.75;3.37;28.73;;32.28;2.04;2.43;;3.77;72.62;0.27;1.76;2.03;1.17;;79.57
Q24;2023;010000065;010780096;2400;;;1.67;1.67;3.38;30.85;;42.67;2.77;1.7;;7.95;89.32;0.15;2;2.15;;;93.14
Q24;2023;010000065;010780096;2500;;;;;;;;;;;;;;;;;2.34;;2.34
Q24;2023;010000065;010780096;9999;0.6;;21.93;22.53;8.5;62.48;;87.05;7.9;4.16;;12;182.09;0.42;3.86;4.28;3.51;7.04;219.45
Q24;2023;010000081;010780112;2000;0.68;;2.66;3.34;1;7.2;;14.5;15.4;0.34;;0.88;39.32;2;0.14;2.14;0.48;5.29;50.57
Q24;2023;010000081;010780112;2400;0.28;;1.06;1.34;0.4;3.8;;5.48;2.9;0.14;;0.35;13.07;0.8;0.06;0.86;0.19;2.12;17.58
Q24;2023;010000081;010780112;2500;0.4;;1.6;2;0.6;3.4;;9.02;12.5;0.2;;0.53;26.25;1.2;0.08;1.28;0.29;3.17;32.99
Q24;2023;010000081;010780112;9999;0.68;;2.66;3.34;1;7.2;;14.5;15.4;0.34;;0.88;39.32;2;0.14;2.14;0.48;5.29;50.57
Q24;2023;010000099;010780120;1000;0.9;;4.08;4.98;0;0;;0;0;0;;0;0;0;0;0;2.2;4.59;11.77
Q24;2023;010000099;010780120;2000;0;;0;0;1;7.74;;16.7;4.73;0.7;;1.67;32.54;0.48;0.22;0.7;0;0;33.24
Q24;2023;010000099;010780120;2100;0;;0;0;0.33;2.51;;5.51;1.56;0.23;;0.53;10.67;0.15;0.07;0.22;0;0;10.89
Q24;2023;010000099;010780120;2400;0;;0;0;0.67;5.23;;11.19;3.17;0.47;;1.14;21.87;0.33;0.15;0.48;0;0;22.35
Q24;2023;010000099;010780120;9999;0.9;;4.08;4.98;1;7.74;;16.7;4.73;0.7;;1.67;32.54;0.48;0.22;0.7;2.2;4.59;45.01
Q24;2023;010000107;010780138;1000;0.17;;2.78;2.95;;;;0.16;;;;;0.16;;;;0.3;3.14;6.55
Q24;2023;010000107;010780138;2000;;;;;0.51;7.9;;10.45;4.21;0.24;;1.53;24.84;;0.13;0.13;;;24.97
